distinctive	(adj) 有特色的;特殊的	(n) 壞人;反派角色	(n) 污點;色斑;染色劑	(n) (餐館等的)主廚;大師傅
cactus	(n) 仙人掌	(n) 小牛;(鯨、象等的)幼兒;小腿	(n) 書法;筆跡	(n) 運河;河渠
calf	(n) 小牛;(鯨、象等的)幼兒;小腿	(n) 書法;筆跡	(n) 運河;河渠	(n) 大砲;榴彈砲
calligraphy	(n) 書法;筆跡	(n) 運河;河渠	(n) 大砲;榴彈砲	(n) 碳;複寫紙
canal	(n) 運河;河渠	(n) 大砲;榴彈砲	(n) 碳;複寫紙	(n) 硬紙板;卡紙板
cannon	(n) 大砲;榴彈砲	(n) 碳;複寫紙	(n) 硬紙板;卡紙板	(n) 照顧者;管理人
carbon	(n) 碳;複寫紙	(n) 硬紙板;卡紙板	(n) 照顧者;管理人	(n) 狂歡節;嘉年華會
cardboard	(n) 硬紙板;卡紙板	(n) 照顧者;管理人	(n) 狂歡節;嘉年華會	(n) 鯉魚
caretaker	(n) 照顧者;管理人	(n) 狂歡節;嘉年華會	(n) 鯉魚	(n) 紙盒;紙板箱
carnival	(n) 狂歡節;嘉年華會	(n) 鯉魚	(n) 紙盒;紙板箱	(n) 種類;類別
carp	(n) 鯉魚	(n) 紙盒;紙板箱	(n) 種類;類別	(n) 大教堂
carton	(n) 紙盒;紙板箱	(n) 種類;類別	(n) 大教堂	(n) 小心;謹慎;警告
category	(n) 種類;類別	(n) 大教堂	(n) 小心;謹慎;警告	(n) 名人;名流
cathedral	(n) 大教堂	(n) 小心;謹慎;警告	(n) 名人;名流	(n) 芹菜
caution	(n) 小心;謹慎;警告	(n) 名人;名流	(n) 芹菜	(n) 地下室;地窖;酒窖
celebrity	(n) 名人;名流	(n) 芹菜	(n) 地下室;地窖;酒窖	(n) 大提琴
celery	(n) 芹菜	(n) 地下室;地窖;酒窖	(n) 大提琴	(n) 手機,大哥大
cellar	(n) 地下室;地窖;酒窖	(n) 大提琴	(n) 手機,大哥大	(n) 手機,大哥大
cello	(n) 大提琴	(n) 手機,大哥大	(n) 手機,大哥大	(n) 手機,大哥大
cellphone	(n) 手機,大哥大	(n) 手機,大哥大	(n) 手機,大哥大	(n) 攝氏度
cell-phone	(n) 手機,大哥大	(n) 手機,大哥大	(n) 攝氏度	(n) 儀式,典禮
cellular phone	(n) 手機,大哥大	(n) 攝氏度	(n) 儀式,典禮	(n) 證明書;執照
Centigrade	(n) 攝氏度	(n) 儀式,典禮	(n) 證明書;執照	(n) 椅子
ceremony	(n) 儀式,典禮	(n) 證明書;執照	(n) 椅子	(n) 主席
certificate	(n) 證明書;執照	(n) 椅子	(n) 主席	(n) 主席(沒有性別歧視的字眼)
chair	(n) 椅子	(n) 主席	(n) 主席(沒有性別歧視的字眼)	(n) 女主席;女議長
chairman	(n) 主席	(n) 主席(沒有性別歧視的字眼)	(n) 女主席;女議長	(n) 詠唱;吟誦;單調的語調
chairperson	(n) 主席(沒有性別歧視的字眼)	(n) 女主席;女議長	(n) 詠唱;吟誦;單調的語調	(n) 嘮叨;饒舌;吱吱聲
chairwoman	(n) 女主席;女議長	(n) 詠唱;吟誦;單調的語調	(n) 嘮叨;饒舌;吱吱聲	(n) 支票簿
chant	(n) 詠唱;吟誦;單調的語調	(n) 嘮叨;饒舌;吱吱聲	(n) 支票簿	(n) 辦理投宿(或登機)手續;報到
chatter	(n) 嘮叨;饒舌;吱吱聲	(n) 支票簿	(n) 辦理投宿(或登機)手續;報到	(n) 檢查;調查;付款退租;下班離開
checkbook	(n) 支票簿	(n) 辦理投宿(或登機)手續;報到	(n) 檢查;調查;付款退租;下班離開	(n) 檢查;體檢
check-in	(n) 辦理投宿(或登機)手續;報到	(n) 檢查;調查;付款退租;下班離開	(n) 檢查;體檢	(n) 化學家
check-out	(n) 檢查;調查;付款退租;下班離開	(n) 檢查;體檢	(n) 化學家	(n) 紅番椒
checkup	(n) 檢查;體檢	(n) 化學家	(n) 紅番椒	(n) 黑猩猩
chemist	(n) 化學家	(n) 紅番椒	(n) 黑猩猩	(n) (教堂的)唱詩班;合唱團
chili	(n) 紅番椒	(n) 黑猩猩	(n) (教堂的)唱詩班;合唱團	(n) (樂器的)弦;心弦;弦桿;和音
chimpanzee	(n) 黑猩猩	(n) (教堂的)唱詩班;合唱團	(n) (樂器的)弦;心弦;弦桿;和音	(n) 環道;一圈;巡迴路線;電路
choir	(n) (教堂的)唱詩班;合唱團	(n) (樂器的)弦;心弦;弦桿;和音	(n) 環道;一圈;巡迴路線;電路	(n) 蛤;蚌;守口如瓶的人
chord	(n) (樂器的)弦;心弦;弦桿;和音	(n) 環道;一圈;巡迴路線;電路	(n) 蛤;蚌;守口如瓶的人	(n) 氏族;部落;家族
circuit	(n) 環道;一圈;巡迴路線;電路	(n) 蛤;蚌;守口如瓶的人	(n) 氏族;部落;家族	(n) 扣子;鉤子;夾子;緊握;緊抱
clam	(n) 蛤;蚌;守口如瓶的人	(n) 氏族;部落;家族	(n) 扣子;鉤子;夾子;緊握;緊抱	(n) (文件的)條款;子句
clan	(n) 氏族;部落;家族	(n) 扣子;鉤子;夾子;緊握;緊抱	(n) (文件的)條款;子句	(n) 苜蓿
clasp	(n) 扣子;鉤子;夾子;緊握;緊抱	(n) (文件的)條款;子句	(n) 苜蓿	(n) 串;簇;群
clause	(n) (文件的)條款;子句	(n) 苜蓿	(n) 串;簇;群	(n) 爪子;手;掌握;攫取;離合器
clover	(n) 苜蓿	(n) 串;簇;群	(n) 爪子;手;掌握;攫取;離合器	(n) 海岸線
cluster	(n) 串;簇;群	(n) 爪子;手;掌握;攫取;離合器	(n) 海岸線	(n) 繭
clutch	(n) 爪子;手;掌握;攫取;離合器	(n) 海岸線	(n) 繭	(n) (一)捲;(一)圈;(一)匝;線圈
coastline	(n) 海岸線	(n) 繭	(n) (一)捲;(一)圈;(一)匝;線圈	(n) 同事,同僚
cocoon	(n) 繭	(n) (一)捲;(一)圈;(一)匝;線圈	(n) 同事,同僚	(n) 陸軍上校
coil	(n) (一)捲;(一)圈;(一)匝;線圈	(n) 同事,同僚	(n) 陸軍上校	(n) 殖民地居民
colleague	(n) 同事,同僚	(n) 陸軍上校	(n) 殖民地居民	(n) 戰鬥;格鬥;反對
colonel	(n) 陸軍上校	(n) 殖民地居民	(n) 戰鬥;格鬥;反對	(n) 喜劇演員
colonial	(n) 殖民地居民	(n) 戰鬥;格鬥;反對	(n) 喜劇演員	(n) 彗星
combat	(n) 戰鬥;格鬥;反對	(n) 喜劇演員	(n) 彗星	(n) (電臺、電視臺等)時事評論者
comedian	(n) 喜劇演員	(n) 彗星	(n) (電臺、電視臺等)時事評論者	(n) 佣金
comet	(n) 彗星	(n) (電臺、電視臺等)時事評論者	(n) 佣金	(n) 商品;日用品
commentator	(n) (電臺、電視臺等)時事評論者	(n) 佣金	(n) 商品;日用品	(n) 司空見慣的事;老生常談
commission	(n) 佣金	(n) 商品;日用品	(n) 司空見慣的事;老生常談	(n) 共產主義
commodity	(n) 商品;日用品	(n) 司空見慣的事;老生常談	(n) 共產主義	(n) 共產主義者
commonplace	(n) 司空見慣的事;老生常談	(n) 共產主義	(n) 共產主義者	(n) 通勤者
communism	(n) 共產主義	(n) 共產主義者	(n) 通勤者	(n) 連鏡小粉盒;小型轎車
communist	(n) 共產主義者	(n) 通勤者	(n) 連鏡小粉盒;小型轎車	(n) 羅盤;指南針;圓規
commuter	(n) 通勤者	(n) 連鏡小粉盒;小型轎車	(n) 羅盤;指南針;圓規	(n) 憐憫;同情
compact	(n) 連鏡小粉盒;小型轎車	(n) 羅盤;指南針;圓規	(n) 憐憫;同情	(n) 恭維;問候;致意
compass	(n) 羅盤;指南針;圓規	(n) 憐憫;同情	(n) 恭維;問候;致意	(n) 混合物
compassion	(n) 憐憫;同情	(n) 恭維;問候;致意	(n) 混合物	(n) 理解;理解力
compliment	(n) 恭維;問候;致意	(n) 混合物	(n) 理解;理解力	(n) 妥協;危及;(原則等的)放棄
compound	(n) 混合物	(n) 理解;理解力	(n) 妥協;危及;(原則等的)放棄	(n) 夥伴;同事;(共產黨的)同志
comprehension	(n) 理解;理解力	(n) 妥協;危及;(原則等的)放棄	(n) 夥伴;同事;(共產黨的)同志	(n) 行為,品行,舉動
compromise	(n) 妥協;危及;(原則等的)放棄	(n) 夥伴;同事;(共產黨的)同志	(n) 行為,品行,舉動	(n) 承認;供認;告解
comrade	(n) 夥伴;同事;(共產黨的)同志	(n) 行為,品行,舉動	(n) 承認;供認;告解	(n) 同意;贊成
conduct	(n) 行為,品行,舉動	(n) 承認;供認;告解	(n) 同意;贊成	(n) 糖漬食品,蜜餞;果醬
confession	(n) 承認;供認;告解	(n) 同意;贊成	(n) 糖漬食品,蜜餞;果醬	(n) 操縱臺
consent	(n) 同意;贊成	(n) 糖漬食品,蜜餞;果醬	(n) 操縱臺	(n) 保健散步;保健運動
conserve	(n) 糖漬食品,蜜餞;果醬	(n) 操縱臺	(n) 保健散步;保健運動	(n) 同時代的人;同年齡的人;同時期的東西
console	(n) 操縱臺	(n) 保健散步;保健運動	(n) 同時代的人;同年齡的人;同時期的東西	(n) 輕視;(對法庭等的)藐視
constitutional	(n) 保健散步;保健運動	(n) 同時代的人;同年齡的人;同時期的東西	(n) 輕視;(對法庭等的)藐視	(n) 連續性;一貫性
contemporary	(n) 同時代的人;同年齡的人;同時期的東西	(n) 輕視;(對法庭等的)藐視	(n) 連續性;一貫性	(n) (服刑的)囚犯
contempt	(n) 輕視;(對法庭等的)藐視	(n) 連續性;一貫性	(n) (服刑的)囚犯	(n) 版權;著作權
continuity	(n) 連續性;一貫性	(n) (服刑的)囚犯	(n) 版權;著作權	(n) 珊瑚
convict	(n) (服刑的)囚犯	(n) 版權;著作權	(n) 珊瑚	(n) 股份(有限)公司
copyright	(n) 版權;著作權	(n) 珊瑚	(n) 股份(有限)公司	(n) 一致;相對應;通信;(總稱)信件
coral	(n) 珊瑚	(n) 股份(有限)公司	(n) 一致;相對應;通信;(總稱)信件	(n) 迴廊,通道
corporation	(n) 股份(有限)公司	(n) 一致;相對應;通信;(總稱)信件	(n) 迴廊,通道	(n) 商議;忠告;法律顧問
correspondence	(n) 一致;相對應;通信;(總稱)信件	(n) 迴廊,通道	(n) 商議;忠告;法律顧問	(n) 顧問;(學生的)輔導員;律師
corridor	(n) 迴廊,通道	(n) 商議;忠告;法律顧問	(n) 顧問;(學生的)輔導員;律師	(n) 回數票;減價優待券
counsel	(n) 商議;忠告;法律顧問	(n) 顧問;(學生的)輔導員;律師	(n) 回數票;減價優待券	(n) 庭院;天井
counselor	(n) 顧問;(學生的)輔導員;律師	(n) 回數票;減價優待券	(n) 庭院;天井	(n) (淡或鹹的)薄脆餅乾;鞭炮
coupon	(n) 回數票;減價優待券	(n) 庭院;天井	(n) (淡或鹹的)薄脆餅乾;鞭炮	(n) 火山口;巨大坑洞
courtyard	(n) 庭院;天井	(n) (淡或鹹的)薄脆餅乾;鞭炮	(n) 火山口;巨大坑洞	(n) 咯吱咯吱聲
cracker	(n) (淡或鹹的)薄脆餅乾;鞭炮	(n) 火山口;巨大坑洞	(n) 咯吱咯吱聲	(n) 小河;溪
crater	(n) 火山口;巨大坑洞	(n) 咯吱咯吱聲	(n) 小河;溪	(n) 嬰兒床
creak	(n) 咯吱咯吱聲	(n) 小河;溪	(n) 嬰兒床	(n) 鱷魚
creek	(n) 小河;溪	(n) 嬰兒床	(n) 鱷魚	(n) 交叉;交叉點,橫穿;雜交
crib	(n) 嬰兒床	(n) 鱷魚	(n) 交叉;交叉點,橫穿;雜交	(n) 蹲伏(姿勢)
crocodile	(n) 鱷魚	(n) 交叉;交叉點,橫穿;雜交	(n) 蹲伏(姿勢)	(n) 嘎吱吱(咬嚼)聲音;關鍵時刻
crossing	(n) 交叉;交叉點,橫穿;雜交	(n) 蹲伏(姿勢)	(n) 嘎吱吱(咬嚼)聲音;關鍵時刻	(n) 水晶
crouch	(n) 蹲伏(姿勢)	(n) 嘎吱吱(咬嚼)聲音;關鍵時刻	(n) 水晶	(n) 烹飪(法);菜餚
crunch	(n) 嘎吱吱(咬嚼)聲音;關鍵時刻	(n) 水晶	(n) 烹飪(法);菜餚	(n) 人行道旁的水泥(或石)邊;抑制
crystal	(n) 水晶	(n) 烹飪(法);菜餚	(n) 人行道旁的水泥(或石)邊;抑制	(n) 通貨;貨幣
cuisine	(n) 烹飪(法);菜餚	(n) 人行道旁的水泥(或石)邊;抑制	(n) 通貨;貨幣	(n) 學校的全部課程
curb	(n) 人行道旁的水泥(或石)邊;抑制	(n) 通貨;貨幣	(n) 學校的全部課程	(n) 咖喱
currency	(n) 通貨;貨幣	(n) 學校的全部課程	(n) 咖喱	(n) 關稅;報關手續;海關出入境口
curriculum	(n) 學校的全部課程	(n) 咖喱	(n) 關稅;報關手續;海關出入境口	(n) 標槍;鏢;飛奔
curry	(n) 咖喱	(n) 關稅;報關手續;海關出入境口	(n) 標槍;鏢;飛奔	(n) 耀眼的光;令人讚歎的東西
customs	(n) 關稅;報關手續;海關出入境口	(n) 標槍;鏢;飛奔	(n) 耀眼的光;令人讚歎的東西	(n) 腐爛;蛀牙
dart	(n) 標槍;鏢;飛奔	(n) 耀眼的光;令人讚歎的東西	(n) 腐爛;蛀牙	(n) 宣佈,宣告;宣言,聲明
dazzle	(n) 耀眼的光;令人讚歎的東西	(n) 腐爛;蛀牙	(n) 宣佈,宣告;宣言,聲明	(n) 代表;會議代表
decay	(n) 腐爛;蛀牙	(n) 宣佈,宣告;宣言,聲明	(n) 代表;會議代表	(n) 授權;代表團
declaration	(n) 宣佈,宣告;宣言,聲明	(n) 代表;會議代表	(n) 授權;代表團	(n) 民主主義者
delegate	(n) 代表;會議代表	(n) 授權;代表團	(n) 民主主義者	(n) 否認;拒絕
delegation	(n) 授權;代表團	(n) 民主主義者	(n) 否認;拒絕	(n) 絕望
democrat	(n) 民主主義者	(n) 否認;拒絕	(n) 絕望	(n) 目的地,終點
denial	(n) 否認;拒絕	(n) 絕望	(n) 目的地,終點	(n) 命運;天數
despair	(n) 絕望	(n) 目的地,終點	(n) 命運;天數	(n) 洗潔劑,洗衣粉
destination	(n) 目的地,終點	(n) 命運;天數	(n) 洗潔劑,洗衣粉	(n) 奉獻
destiny	(n) 命運;天數	(n) 洗潔劑,洗衣粉	(n) 奉獻	(n) 方言
detergent	(n) 洗潔劑,洗衣粉	(n) 奉獻	(n) 方言	(n) 不信;懷疑
devotion	(n) 奉獻	(n) 方言	(n) 不信;懷疑	(n) 拋棄,丟棄
dialect	(n) 方言	(n) 不信;懷疑	(n) 拋棄,丟棄	(n) 信徒;門徒
disbelief	(n) 不信;懷疑	(n) 拋棄,丟棄	(n) 信徒;門徒	(n) 區別;殊勳;榮譽
discard	(n) 拋棄,丟棄	(n) 信徒;門徒	(n) 區別;殊勳;榮譽	(n) 悲痛;苦惱
disciple	(n) 信徒;門徒	(n) 區別;殊勳;榮譽	(n) 悲痛;苦惱	(n) 文件;證件
distinction	(n) 區別;殊勳;榮譽	(n) 悲痛;苦惱	(n) 文件;證件	(n) 門階
distress	(n) 悲痛;苦惱	(n) 文件;證件	(n) 門階	(n) 出入口;門口
document	(n) 文件;證件	(n) 門階	(n) 出入口;門口	(n) 學生宿舍
doorstep	(n) 門階	(n) 出入口;門口	(n) 學生宿舍	(n) 生麵糰;現款
doorway	(n) 出入口;門口	(n) 學生宿舍	(n) 生麵糰;現款	(n) 簾(尤指窗簾);幔
dormitory	(n) 學生宿舍	(n) 生麵糰;現款	(n) 簾(尤指窗簾);幔	(n) 衣櫃
dough	(n) 生麵糰;現款	(n) 簾(尤指窗簾);幔	(n) 衣櫃	(n) 打扮;佈置,裝飾;(拌沙拉等用的)調料
drape	(n) 簾(尤指窗簾);幔	(n) 衣櫃	(n) 打扮;佈置,裝飾;(拌沙拉等用的)調料	(n) 車道
dresser	(n) 衣櫃	(n) 打扮;佈置,裝飾;(拌沙拉等用的)調料	(n) 車道	(n) 持續,持久
dressing	(n) 打扮;佈置,裝飾;(拌沙拉等用的)調料	(n) 車道	(n) 持續,持久	(n) 薄暮,黃昏
driveway	(n) 車道	(n) 持續,持久	(n) 薄暮,黃昏	(n) 矮子;矮小的動(植)物
duration	(n) 持續,持久	(n) 薄暮,黃昏	(n) 矮子;矮小的動(植)物	(n) 住處;寓所
dusk	(n) 薄暮,黃昏	(n) 矮子;矮小的動(植)物	(n) 住處;寓所	(n) 鰻魚
dwarf	(n) 矮子;矮小的動(植)物	(n) 住處;寓所	(n) 鰻魚	(n) 自我;自負
dwelling	(n) 住處;寓所	(n) 鰻魚	(n) 自我;自負	(n) 擁抱
eel	(n) 鰻魚	(n) 自我;自負	(n) 擁抱	(n) 努力;盡力
ego	(n) 自我;自負	(n) 擁抱	(n) 努力;盡力	(n) 登記;入會;入伍;登記人數
embrace	(n) 擁抱	(n) 努力;盡力	(n) 登記;入會;入伍;登記人數	(n) 企業,公司
endeavor	(n) 努力;盡力	(n) 登記;入會;入伍;登記人數	(n) 企業,公司	(n) 護衛隊;護航隊;護送;護航
enrollment	(n) 登記;入會;入伍;登記人數	(n) 企業,公司	(n) 護衛隊;護航隊;護送;護航	(n) 地產
enterprise	(n) 企業,公司	(n) 護衛隊;護航隊;護送;護航	(n) 地產	(n) 尊重;評價
escort	(n) 護衛隊;護航隊;護送;護航	(n) 地產	(n) 尊重;評價	(n) 倫理標準
estate	(n) 地產	(n) 尊重;評價	(n) 倫理標準	(n) 常綠樹;萬年青
esteem	(n) 尊重;評價	(n) 倫理標準	(n) 常綠樹;萬年青	(n) 誇張
ethic	(n) 倫理標準	(n) 常綠樹;萬年青	(n) 誇張	(n) 超越;過量
evergreen	(n) 常綠樹;萬年青	(n) 誇張	(n) 超越;過量	(n) 執行者;業務主管
exaggeration	(n) 誇張	(n) 超越;過量	(n) 執行者;業務主管	(n) 流放;流亡;被流放者
excess	(n) 超越;過量	(n) 執行者;業務主管	(n) 流放;流亡;被流放者	(n) 伸長;擴大;延期
executive	(n) 執行者;業務主管	(n) 流放;流亡;被流放者	(n) 伸長;擴大;延期	(n) 外部;外表;外景
exile	(n) 流放;流亡;被流放者	(n) 伸長;擴大;延期	(n) 外部;外表;外景	(n) 外表;表面
extension	(n) 伸長;擴大;延期	(n) 外部;外表;外景	(n) 外表;表面	(n) (一根)睫毛;(一根)眼毛
exterior	(n) 外部;外表;外景	(n) 外表;表面	(n) (一根)睫毛;(一根)眼毛	(n) 眼皮;眼瞼
external	(n) 外表;表面	(n) (一根)睫毛;(一根)眼毛	(n) 眼皮;眼瞼	(n) 布料;織品
eyelash	(n) (一根)睫毛;(一根)眼毛	(n) 眼皮;眼瞼	(n) 布料;織品	(n) 一時的流行(或風尚)
eyelid	(n) 眼皮;眼瞼	(n) 布料;織品	(n) 一時的流行(或風尚)	(n) 華氏溫標
fabric	(n) 布料;織品	(n) 一時的流行(或風尚)	(n) 華氏溫標	(n) 疲勞;勞累
fad	(n) 一時的流行(或風尚)	(n) 華氏溫標	(n) 疲勞;勞累	(n) 女性;陰性;陰性詞(或形式)
Fahrenheit	(n) 華氏溫標	(n) 疲勞;勞累	(n) 女性;陰性;陰性詞(或形式)	(n) 肥料
fatigue	(n) 疲勞;勞累	(n) 女性;陰性;陰性詞(或形式)	(n) 肥料	(n) 未婚夫
feminine	(n) 女性;陰性;陰性詞(或形式)	(n) 肥料	(n) 未婚夫	(n) 未婚妻
fertilizer	(n) 肥料	(n) 未婚夫	(n) 未婚妻	(n) 纖維
fiancé	(n) 未婚夫	(n) 未婚妻	(n) 纖維	(n) 小提琴;欺詐
fiancée	(n) 未婚妻	(n) 纖維	(n) 小提琴;欺詐	(n) 濾器
fiber	(n) 纖維	(n) 小提琴;欺詐	(n) 濾器	(n) 鰭;鰭狀物
fiddle	(n) 小提琴;欺詐	(n) 濾器	(n) 鰭;鰭狀物	(n) 漁業
filter	(n) 濾器	(n) 鰭;鰭狀物	(n) 漁業	(n) 小薄片
fin	(n) 鰭;鰭狀物	(n) 漁業	(n) 小薄片	(n) 薄片;(信封的)蓋口;拍動
fishery	(n) 漁業	(n) 小薄片	(n) 薄片;(信封的)蓋口;拍動	(n) 缺點;瑕疵;裂隙
flake	(n) 小薄片	(n) 薄片;(信封的)蓋口;拍動	(n) 缺點;瑕疵;裂隙	(n) (鞭子的)輕打;(手指的)輕彈
flap	(n) 薄片;(信封的)蓋口;拍動	(n) 缺點;瑕疵;裂隙	(n) (鞭子的)輕打;(手指的)輕彈	(n) 輕彈;輕擊
flaw	(n) 缺點;瑕疵;裂隙	(n) (鞭子的)輕打;(手指的)輕彈	(n) 輕彈;輕擊	(n) 揮舞;炫耀性的動作
flick	(n) (鞭子的)輕打;(手指的)輕彈	(n) 輕彈;輕擊	(n) 揮舞;炫耀性的動作	(n) 流暢;流暢的說話(或寫作)
flip	(n) 輕彈;輕擊	(n) 揮舞;炫耀性的動作	(n) 流暢;流暢的說話(或寫作)	(n) 敵人;反對者
flourish	(n) 揮舞;炫耀性的動作	(n) 流暢;流暢的說話(或寫作)	(n) 敵人;反對者	(n) 箔;花劍劍術
fluency	(n) 流暢;流暢的說話(或寫作)	(n) 敵人;反對者	(n) 箔;花劍劍術	(n) 民間傳說
foe	(n) 敵人;反對者	(n) 箔;花劍劍術	(n) 民間傳說	(n) 版式;形式
foil	(n) 箔;花劍劍術	(n) 民間傳說	(n) 版式;形式	(n) (比賽中)犯規
folklore	(n) 民間傳說	(n) 版式;形式	(n) (比賽中)犯規	(n) 禽;禽肉
format	(n) 版式;形式	(n) (比賽中)犯規	(n) 禽;禽肉	(n) 小部分;片段;碎片
foul	(n) (比賽中)犯規	(n) 禽;禽肉	(n) 小部分;片段;碎片	(n) 架構;組織
fowl	(n) 禽;禽肉	(n) 小部分;片段;碎片	(n) 架構;組織	(n) (船運的)貨物;運費
fraction	(n) 小部分;片段;碎片	(n) 架構;組織	(n) (船運的)貨物;運費	(n) 邊境;邊疆;新領域
framework	(n) 架構;組織	(n) (船運的)貨物;運費	(n) 邊境;邊疆;新領域	(n) 煙;氣;憤怒
freight	(n) (船運的)貨物;運費	(n) 邊境;邊疆;新領域	(n) 煙;氣;憤怒	(n) 狂怒;狂暴;猛烈
frontier	(n) 邊境;邊疆;新領域	(n) 煙;氣;憤怒	(n) 狂怒;狂暴;猛烈	(n) 保險絲;引信
fume	(n) 煙;氣;憤怒	(n) 狂怒;狂暴;猛烈	(n) 保險絲;引信	(n) 忙亂;小題大作;爭論
fury	(n) 狂怒;狂暴;猛烈	(n) 保險絲;引信	(n) 忙亂;小題大作;爭論	(n) (馬等的)疾馳;騎馬奔馳
fuse	(n) 保險絲;引信	(n) 忙亂;小題大作;爭論	(n) (馬等的)疾馳;騎馬奔馳	(n) 服裝;衣著
fuss	(n) 忙亂;小題大作;爭論	(n) (馬等的)疾馳;騎馬奔馳	(n) 服裝;衣著	(n) 倒抽一口氣;喘氣
gallop	(n) (馬等的)疾馳;騎馬奔馳	(n) 服裝;衣著	(n) 倒抽一口氣;喘氣	(n) 集會,聚集
garment	(n) 服裝;衣著	(n) 倒抽一口氣;喘氣	(n) 集會,聚集	(n) 同性戀者
gasp	(n) 倒抽一口氣;喘氣	(n) 集會,聚集	(n) 同性戀者	(n) 性別
gathering	(n) 集會,聚集	(n) 同性戀者	(n) 性別	(n) 幾何學
gay	(n) 同性戀者	(n) 性別	(n) 幾何學	(n) 冰河
gender	(n) 性別	(n) 幾何學	(n) 冰河	(n) 瞪眼;怒視;刺眼的強光
geometry	(n) 幾何學	(n) 冰河	(n) 瞪眼;怒視;刺眼的強光	(n) 微光;閃光;一絲
glacier	(n) 冰河	(n) 瞪眼;怒視;刺眼的強光	(n) 微光;閃光;一絲	(n) 快樂;歡欣
glare	(n) 瞪眼;怒視;刺眼的強光	(n) 微光;閃光;一絲	(n) 快樂;歡欣	(n) 閃光;光彩;(裝飾用)小發光物
gleam	(n) 微光;閃光;一絲	(n) 快樂;歡欣	(n) 閃光;光彩;(裝飾用)小發光物	(n) 陰暗;暗處;沮喪的氣氛
glee	(n) 快樂;歡欣	(n) 閃光;光彩;(裝飾用)小發光物	(n) 陰暗;暗處;沮喪的氣氛	(n) 峽谷;暴食
glitter	(n) 閃光;光彩;(裝飾用)小發光物	(n) 陰暗;暗處;沮喪的氣氛	(n) 峽谷;暴食	(n) 大猩猩
gloom	(n) 陰暗;暗處;沮喪的氣氛	(n) 峽谷;暴食	(n) 大猩猩	(n) 基督教教義;福音書
gorge	(n) 峽谷;暴食	(n) 大猩猩	(n) 基督教教義;福音書	(n) 獎學金,助學金
gorilla	(n) 大猩猩	(n) 基督教教義;福音書	(n) 獎學金,助學金	(n) 地心吸力
gospel	(n) 基督教教義;福音書	(n) 獎學金,助學金	(n) 地心吸力	(n) 油脂;賄賂
grant	(n) 獎學金,助學金	(n) 地心吸力	(n) 油脂;賄賂	(n) 貪心
gravity	(n) 地心吸力	(n) 油脂;賄賂	(n) 貪心	(n) 緊握;(咬或夾)住;理解;掌握
grease	(n) 油脂;賄賂	(n) 貪心	(n) 緊握;(咬或夾)住;理解;掌握	(n) 呻吟聲;抱怨(聲)
greed	(n) 貪心	(n) 緊握;(咬或夾)住;理解;掌握	(n) 呻吟聲;抱怨(聲)	(n) 總額;總量
grip	(n) 緊握;(咬或夾)住;理解;掌握	(n) 呻吟聲;抱怨(聲)	(n) 總額;總量	(n) 嗥叫(聲);咆哮
groan	(n) 呻吟聲;抱怨(聲)	(n) 總額;總量	(n) 嗥叫(聲);咆哮	(n) 牢騷;轟隆聲
gross	(n) 總額;總量	(n) 嗥叫(聲);咆哮	(n) 牢騷;轟隆聲	(n) 指南;指導方針
growl	(n) 嗥叫(聲);咆哮	(n) 牢騷;轟隆聲	(n) 指南;指導方針	(n) 吞嚥;一(大)口;哽塞(聲)
grumble	(n) 牢騷;轟隆聲	(n) 指南;指導方針	(n) 吞嚥;一(大)口;哽塞(聲)	(n) 一陣強風
guideline	(n) 指南;指導方針	(n) 吞嚥;一(大)口;哽塞(聲)	(n) 一陣強風	(n) 腸子;內臟;勇氣
gulp	(n) 吞嚥;一(大)口;哽塞(聲)	(n) 一陣強風	(n) 腸子;內臟;勇氣	(n) 吉普賽人;流浪者
gust	(n) 一陣強風	(n) 腸子;內臟;勇氣	(n) 吉普賽人;流浪者	(n) 髮式,髮型; 做頭髮
gut	(n) 腸子;內臟;勇氣	(n) 吉普賽人;流浪者	(n) 髮式,髮型; 做頭髮	(n) 髮型
gypsy	(n) 吉普賽人;流浪者	(n) 髮式,髮型; 做頭髮	(n) 髮型	(n) 障礙,不利條件
hairdo	(n) 髮式,髮型; 做頭髮	(n) 髮型	(n) 障礙,不利條件	(n) 手工藝;手工藝品
hairstyle	(n) 髮型	(n) 障礙,不利條件	(n) 手工藝;手工藝品	(n) 馬具;挽具;保險帶
handicap	(n) 障礙,不利條件	(n) 手工藝;手工藝品	(n) 馬具;挽具;保險帶	(n) 拖;拉;拖運;一次獲得的量
handicraft	(n) 手工藝;手工藝品	(n) 馬具;挽具;保險帶	(n) 拖;拉;拖運;一次獲得的量	(n) 常去之處
harness	(n) 馬具;挽具;保險帶	(n) 拖;拉;拖運;一次獲得的量	(n) 常去之處	(n) 樹籬;界限;兩面下注
haul	(n) 拖;拉;拖運;一次獲得的量	(n) 常去之處	(n) 樹籬;界限;兩面下注	(n) 留心;注意
haunt	(n) 常去之處	(n) 樹籬;界限;兩面下注	(n) 留心;注意	(n) 繼承人;嗣子
hedge	(n) 樹籬;界限;兩面下注	(n) 留心;注意	(n) 繼承人;嗣子	(n) 報信者;使者;先驅
heed	(n) 留心;注意	(n) 繼承人;嗣子	(n) 報信者;使者;先驅	(n) 草本植物;藥草
