enact	(v) 制定(法律);扮演(角色)	(adj) 不正常的	(adj) 土著的;土著居民的	(adj) 心不在焉的;健忘的
yearn	(v) 思念;渴望;嚮往	(adv.)照著;相應地;因此	(adv.)在旁邊;沿著	(adv.)死一般地;非常,極度地
accordingly	(adv.)照著;相應地;因此	(adv.)在旁邊;沿著	(adv.)死一般地;非常,極度地	(adv.)此後;在來世
alongside	(adv.)在旁邊;沿著	(adv.)死一般地;非常,極度地	(adv.)此後;在來世	(adv.)同樣地;也;又
deadly	(adv.)死一般地;非常,極度地	(adv.)此後;在來世	(adv.)同樣地;也;又	(adv.)全部地;無保留地;公然
hereafter	(adv.)此後;在來世	(adv.)同樣地;也;又	(adv.)全部地;無保留地;公然	(adv.)在頭頂上;在上頭;高高地
likewise	(adv.)同樣地;也;又	(adv.)全部地;無保留地;公然	(adv.)在頭頂上;在上頭;高高地	(adv.)無論如何
outright	(adv.)全部地;無保留地;公然	(adv.)在頭頂上;在上頭;高高地	(adv.)無論如何	(adv.)以零售方式;以零售價格
overhead	(adv.)在頭頂上;在上頭;高高地	(adv.)無論如何	(adv.)以零售方式;以零售價格	(adv.)全然;十足地;陡峭地
regardless	(adv.)無論如何	(adv.)以零售方式;以零售價格	(adv.)全然;十足地;陡峭地	(adv.)猛然地;砰然作聲地;不偏不倚地
retail	(adv.)以零售方式;以零售價格	(adv.)全然;十足地;陡峭地	(adv.)猛然地;砰然作聲地;不偏不倚地	(adv.)之後;以後
sheer	(adv.)全然;十足地;陡峭地	(adv.)猛然地;砰然作聲地;不偏不倚地	(adv.)之後;以後	(adv.)因此;由此
smack	(adv.)猛然地;砰然作聲地;不偏不倚地	(adv.)之後;以後	(adv.)因此;由此	(prep.)在...旁邊;沿著...的邊
thereafter	(adv.)之後;以後	(adv.)因此;由此	(prep.)在...旁邊;沿著...的邊	(n) 縮寫;省略
thereby	(adv.)因此;由此	(prep.)在...旁邊;沿著...的邊	(n) 縮寫;省略	(n) 土著居民; 土生動物(或植物)
alongside	(prep.)在...旁邊;沿著...的邊	(n) 縮寫;省略	(n) 土著居民; 土生動物(或植物)	(n) 土著居民
abbreviation	(n) 縮寫;省略	(n) 土著居民; 土生動物(或植物)	(n) 土著居民	(n) 抽象
aboriginal	(n) 土著居民; 土生動物(或植物)	(n) 土著居民	(n) 抽象	(n) 豐富;充足
aborigine	(n) 土著居民	(n) 抽象	(n) 豐富;充足	(n) 濫用;虐待
abstraction	(n) 抽象	(n) 豐富;充足	(n) 濫用;虐待	(n) 加速;促進
abundance	(n) 豐富;充足	(n) 濫用;虐待	(n) 加速;促進	(n) 附件;配件;從犯
abuse	(n) 濫用;虐待	(n) 加速;促進	(n) 附件;配件;從犯	(n) 適應;方便設施;住處
acceleration	(n) 加速;促進	(n) 附件;配件;從犯	(n) 適應;方便設施;住處	(n) 一致;符合
accessory	(n) 附件;配件;從犯	(n) 適應;方便設施;住處	(n) 一致;符合	(n) 一致;和諧;符合
accommodation	(n) 適應;方便設施;住處	(n) 一致;符合	(n) 一致;和諧;符合	(n) 會計;會計學
accord	(n) 一致;符合	(n) 一致;和諧;符合	(n) 會計;會計學	(n) 累積;積聚
accordance	(n) 一致;和諧;符合	(n) 會計;會計學	(n) 累積;積聚	(n) 指控;指責
accounting	(n) 會計;會計學	(n) 累積;積聚	(n) 指控;指責	(n) 收購;取得
accumulation	(n) 累積;積聚	(n) 指控;指責	(n) 收購;取得	(n) 激進主義份子;行動主義者
accusation	(n) 指控;指責	(n) 收購;取得	(n) 激進主義份子;行動主義者	(n) 適應;改寫
acquisition	(n) 收購;取得	(n) 激進主義份子;行動主義者	(n) 適應;改寫	(n) 入迷的人;有癮的人
activist	(n) 激進主義份子;行動主義者	(n) 適應;改寫	(n) 入迷的人;有癮的人	(n) 沈溺;上癮
adaptation	(n) 適應;改寫	(n) 入迷的人;有癮的人	(n) 沈溺;上癮	(n) 管理;經營;管理部門
addict	(n) 入迷的人;有癮的人	(n) 沈溺;上癮	(n) 管理;經營;管理部門	(n) 管理人;行政官員
addiction	(n) 沈溺;上癮	(n) 管理;經營;管理部門	(n) 管理人;行政官員	(n) 提倡者;擁護者
administration	(n) 管理;經營;管理部門	(n) 管理人;行政官員	(n) 提倡者;擁護者	(n) 侵略;侵犯行為
administrator	(n) 管理人;行政官員	(n) 提倡者;擁護者	(n) 侵略;侵犯行為	(n) 酒鬼
advocate	(n) 提倡者;擁護者	(n) 侵略;侵犯行為	(n) 酒鬼	(n) 結盟;聯盟
aggression	(n) 侵略;侵犯行為	(n) 酒鬼	(n) 結盟;聯盟	(n) 選擇的自由(或餘地)
alcoholic	(n) 酒鬼	(n) 結盟;聯盟	(n) 選擇的自由(或餘地)	(n) 意義不明確;模稜兩可的話
alliance	(n) 結盟;聯盟	(n) 選擇的自由(或餘地)	(n) 意義不明確;模稜兩可的話	(n) 救護車
alternative	(n) 選擇的自由(或餘地)	(n) 意義不明確;模稜兩可的話	(n) 救護車	(n) 埋伏;伏擊
ambiguity	(n) 意義不明確;模稜兩可的話	(n) 救護車	(n) 埋伏;伏擊	(n) 文選;論集
ambulance	(n) 救護車	(n) 埋伏;伏擊	(n) 文選;論集	(n) 相似;類推;類比
ambush	(n) 埋伏;伏擊	(n) 文選;論集	(n) 相似;類推;類比	(n) 分析師
analects	(n) 文選;論集	(n) 相似;類推;類比	(n) 分析師	(n) 男主播
analogy	(n) 相似;類推;類比	(n) 分析師	(n) 男主播	(n) 女主播
analyst	(n) 分析師	(n) 男主播	(n) 女主播	(n) 軼事;祕史
anchorman	(n) 男主播	(n) 女主播	(n) 軼事;祕史	(n) 惱怒;打擾;討厭的東西(或人)
anchorwoman	(n) 女主播	(n) 軼事;祕史	(n) 惱怒;打擾;討厭的東西(或人)	(n) 南極區
anecdote	(n) 軼事;祕史	(n) 惱怒;打擾;討厭的東西(或人)	(n) 南極區	(n) 觸角;觸鬚;天線
annoyance	(n) 惱怒;打擾;討厭的東西(或人)	(n) 南極區	(n) 觸角;觸鬚;天線	(n) 抗生素;抗菌素
Antarctic	(n) 南極區	(n) 觸角;觸鬚;天線	(n) 抗生素;抗菌素	(n) 抗體
antenna	(n) 觸角;觸鬚;天線	(n) 抗生素;抗菌素	(n) 抗體	(n) 預期
antibiotic	(n) 抗生素;抗菌素	(n) 抗體	(n) 預期	(n) 反義字
antibody	(n) 抗體	(n) 預期	(n) 反義字	(n) 學徒;生手
anticipation	(n) 預期	(n) 反義字	(n) 學徒;生手	(n) 傾向;習性;天資
antonym	(n) 反義字	(n) 學徒;生手	(n) 傾向;習性;天資	(n) 北極地帶;北極圈
apprentice	(n) 學徒;生手	(n) 傾向;習性;天資	(n) 北極地帶;北極圈	(n) 動脈;要道
aptitude	(n) 傾向;習性;天資	(n) 北極地帶;北極圈	(n) 動脈;要道	(n) 人工製品;手工藝品
Arctic	(n) 北極地帶;北極圈	(n) 動脈;要道	(n) 人工製品;手工藝品	(n) 估價;評價
artery	(n) 動脈;要道	(n) 人工製品;手工藝品	(n) 估價;評價	(n) 假設;擔任
artifact	(n) 人工製品;手工藝品	(n) 估價;評價	(n) 假設;擔任	(n) 氣喘(病);哮喘
assessment	(n) 估價;評價	(n) 假設;擔任	(n) 氣喘(病);哮喘	(n) 收容院;避難所;政治庇護
assumption	(n) 假設;擔任	(n) 氣喘(病);哮喘	(n) 收容院;避難所;政治庇護	(n) 達到;獲得;到達;成就;學識,才能
asthma	(n) 氣喘(病);哮喘	(n) 收容院;避難所;政治庇護	(n) 達到;獲得;到達;成就;學識,才能	(n) 出席者;陪從;服務員
asylum	(n) 收容院;避難所;政治庇護	(n) 達到;獲得;到達;成就;學識,才能	(n) 出席者;陪從;服務員	(n) 頂樓;閣樓
attainment	(n) 達到;獲得;到達;成就;學識,才能	(n) 出席者;陪從;服務員	(n) 頂樓;閣樓	(n) 拍賣
attendant	(n) 出席者;陪從;服務員	(n) 頂樓;閣樓	(n) 拍賣	(n) (尤指名人的)親筆簽名
attic	(n) 頂樓;閣樓	(n) 拍賣	(n) (尤指名人的)親筆簽名	(n) 自治;自治權;自治團體
auction	(n) 拍賣	(n) (尤指名人的)親筆簽名	(n) 自治;自治權;自治團體	(n) 航空;飛行
autograph	(n) (尤指名人的)親筆簽名	(n) 自治;自治權;自治團體	(n) 航空;飛行	(n) 晴雨表;顯示變化的事物
autonomy	(n) 自治;自治權;自治團體	(n) 航空;飛行	(n) 晴雨表;顯示變化的事物	(n) 飲料
aviation	(n) 航空;飛行	(n) 晴雨表;顯示變化的事物	(n) 飲料	(n) 偏見;成見;斜線
barometer	(n) 晴雨表;顯示變化的事物	(n) 飲料	(n) 偏見;成見;斜線	(n) 雙筒望遠鏡
beverage	(n) 飲料	(n) 偏見;成見;斜線	(n) 雙筒望遠鏡	(n) 生物化學
bias	(n) 偏見;成見;斜線	(n) 雙筒望遠鏡	(n) 生物化學	(n) 大錯
binoculars	(n) 雙筒望遠鏡	(n) 生物化學	(n) 大錯	(n) 奴隸身分;奴役;束縛
biochemistry	(n) 生物化學	(n) 大錯	(n) 奴隸身分;奴役;束縛	(n) 一舉;一抬;推動;促進
blunder	(n) 大錯	(n) 奴隸身分;奴役;束縛	(n) 一舉;一抬;推動;促進	(n) (拳擊等)比賽;較量;(疾病等)發作
bondage	(n) 奴隸身分;奴役;束縛	(n) 一舉;一抬;推動;促進	(n) (拳擊等)比賽;較量;(疾病等)發作	(n) 聯合抵制
boost	(n) 一舉;一抬;推動;促進	(n) (拳擊等)比賽;較量;(疾病等)發作	(n) 聯合抵制	(n) 故障;損壞;崩潰;分析
bout	(n) (拳擊等)比賽;較量;(疾病等)發作	(n) 聯合抵制	(n) 故障;損壞;崩潰;分析	(n) 突圍;突破;突破性進展
boycott	(n) 聯合抵制	(n) 故障;損壞;崩潰;分析	(n) 突圍;突破;突破性進展	(n) 分裂;關係破裂;解體
breakdown	(n) 故障;損壞;崩潰;分析	(n) 突圍;突破;突破性進展	(n) 分裂;關係破裂;解體	(n) 釀製飲料
breakthrough	(n) 突圍;突破;突破性進展	(n) 分裂;關係破裂;解體	(n) 釀製飲料	(n) 邊;邊緣
breakup	(n) 分裂;關係破裂;解體	(n) 釀製飲料	(n) 邊;邊緣	(n) 小冊子
brew	(n) 釀製飲料	(n) 邊;邊緣	(n) 小冊子	(n) 畜生;殘暴的人
brink	(n) 邊;邊緣	(n) 小冊子	(n) 畜生;殘暴的人	(n) 帶釦;搭鉤
brochure	(n) 小冊子	(n) 畜生;殘暴的人	(n) 帶釦;搭鉤	(n) 官僚政治;(總稱)官僚
brute	(n) 畜生;殘暴的人	(n) 帶釦;搭鉤	(n) 官僚政治;(總稱)官僚	(n) 埋葬;葬禮;墓地
buckle	(n) 帶釦;搭鉤	(n) 官僚政治;(總稱)官僚	(n) 埋葬;葬禮;墓地	(n) (電腦)位元組
bureaucracy	(n) 官僚政治;(總稱)官僚	(n) 埋葬;葬禮;墓地	(n) (電腦)位元組	(n) 咖啡因
burial	(n) 埋葬;葬禮;墓地	(n) (電腦)位元組	(n) 咖啡因	(n) 鈣
byte	(n) (電腦)位元組	(n) 咖啡因	(n) 鈣	(n) 油畫布
caffeine	(n) 咖啡因	(n) 鈣	(n) 油畫布	(n) 能力;性能
calcium	(n) 鈣	(n) 油畫布	(n) 能力;性能	(n) 小盒;膠囊;太空艙
canvas	(n) 油畫布	(n) 能力;性能	(n) 小盒;膠囊;太空艙	(n) 標題;字幕
capability	(n) 能力;性能	(n) 小盒;膠囊;太空艙	(n) 標題;字幕	(n) 俘虜;獵獲物;著迷的人
capsule	(n) 小盒;膠囊;太空艙	(n) 標題;字幕	(n) 俘虜;獵獲物;著迷的人	(n) 囚禁;束縛
caption	(n) 標題;字幕	(n) 俘虜;獵獲物;著迷的人	(n) 囚禁;束縛	(n) 碳水化合物;含醣食物
captive	(n) 俘虜;獵獲物;著迷的人	(n) 囚禁;束縛	(n) 碳水化合物;含醣食物	(n) 愛撫;撫摸;寵愛
captivity	(n) 囚禁;束縛	(n) 碳水化合物;含醣食物	(n) 愛撫;撫摸;寵愛	(n) (耶誕)頌歌;讚美詩
carbohydrate	(n) 碳水化合物;含醣食物	(n) 愛撫;撫摸;寵愛	(n) (耶誕)頌歌;讚美詩	(n) 出納員
caress	(n) 愛撫;撫摸;寵愛	(n) (耶誕)頌歌;讚美詩	(n) 出納員	(n) 傷亡人員
carol	(n) (耶誕)頌歌;讚美詩	(n) 出納員	(n) 傷亡人員	(n) 大災難;慘敗
cashier	(n) 出納員	(n) 傷亡人員	(n) 大災難;慘敗	(n) 騎兵;騎兵部隊
casualty	(n) 傷亡人員	(n) 大災難;慘敗	(n) 騎兵;騎兵部隊	(n) 洞;(身體的)腔;(牙的)蛀洞
catastrophe	(n) 大災難;慘敗	(n) 騎兵;騎兵部隊	(n) 洞;(身體的)腔;(牙的)蛀洞	(n) 公墓;墓地
cavalry	(n) 騎兵;騎兵部隊	(n) 洞;(身體的)腔;(牙的)蛀洞	(n) 公墓;墓地	(n) 確實;必然
cavity	(n) 洞;(身體的)腔;(牙的)蛀洞	(n) 公墓;墓地	(n) 確實;必然	(n) 混亂;雜亂的一團
cemetery	(n) 公墓;墓地	(n) 確實;必然	(n) 混亂;雜亂的一團	(n) (古代的)雙輪戰車
certainty	(n) 確實;必然	(n) 混亂;雜亂的一團	(n) (古代的)雙輪戰車	(n) 膽固醇
chaos	(n) 混亂;雜亂的一團	(n) (古代的)雙輪戰車	(n) 膽固醇	(n) 咯咯聲;輕笑聲
chariot	(n) (古代的)雙輪戰車	(n) 膽固醇	(n) 咯咯聲;輕笑聲	(n) (肉、木材等的)大塊;厚片
cholesterol	(n) 膽固醇	(n) 咯咯聲;輕笑聲	(n) (肉、木材等的)大塊;厚片	(n) 螺絲鉗;鐵箍
chuckle	(n) 咯咯聲;輕笑聲	(n) (肉、木材等的)大塊;厚片	(n) 螺絲鉗;鐵箍	(n) (思想、文體等的)清楚;明晰
chunk	(n) (肉、木材等的)大塊;厚片	(n) 螺絲鉗;鐵箍	(n) (思想、文體等的)清楚;明晰	(n) 清掃;出空;清倉大拍賣
clamp	(n) 螺絲鉗;鐵箍	(n) (思想、文體等的)清楚;明晰	(n) 清掃;出空;清倉大拍賣	(n) 緊握;緊咬
clarity	(n) (思想、文體等的)清楚;明晰	(n) 清掃;出空;清倉大拍賣	(n) 緊握;緊咬	(n) 無性繁殖系;複製品
clearance	(n) 清掃;出空;清倉大拍賣	(n) 緊握;緊咬	(n) 無性繁殖系;複製品	(n) 關閉;打烊;結束;終止
clench	(n) 緊握;緊咬	(n) 無性繁殖系;複製品	(n) 關閉;打烊;結束;終止	(n) 棺材;靈柩
clone	(n) 無性繁殖系;複製品	(n) 關閉;打烊;結束;終止	(n) 棺材;靈柩	(n) 巧合
closure	(n) 關閉;打烊;結束;終止	(n) 棺材;靈柩	(n) 巧合	(n) 集體農場(或企業);集團
coffin	(n) 棺材;靈柩	(n) 巧合	(n) 集體農場(或企業);集團	(n) 收集者;收藏家
coincidence	(n) 巧合	(n) 集體農場(或企業);集團	(n) 收集者;收藏家	(n) 相撞;衝突;抵觸
collective	(n) 集體農場(或企業);集團	(n) 收集者;收藏家	(n) 相撞;衝突;抵觸	(n) 專欄作家
collector	(n) 收集者;收藏家	(n) 相撞;衝突;抵觸	(n) 專欄作家	(n) 評論;註釋
collision	(n) 相撞;衝突;抵觸	(n) 專欄作家	(n) 評論;註釋	(n) 託付,交託; 承諾, 保證
columnist	(n) 專欄作家	(n) 評論;註釋	(n) 託付,交託; 承諾, 保證	(n) 友誼;交往;伴侶關係
commentary	(n) 評論;註釋	(n) 託付,交託; 承諾, 保證	(n) 友誼;交往;伴侶關係	(n) 補償;賠償;報酬
commitment	(n) 託付,交託; 承諾, 保證	(n) 友誼;交往;伴侶關係	(n) 補償;賠償;報酬	(n) 能力;勝任;稱職
companionship	(n) 友誼;交往;伴侶關係	(n) 補償;賠償;報酬	(n) 能力;勝任;稱職	(n) 補充物;補足物
compensation	(n) 補償;賠償;報酬	(n) 能力;勝任;稱職	(n) 補充物;補足物	(n) 複雜(性);錯綜(性)
competence	(n) 能力;勝任;稱職	(n) 補充物;補足物	(n) 複雜(性);錯綜(性)	(n) 複雜(化);併發症;(新出現的)困難
complement	(n) 補充物;補足物	(n) 複雜(性);錯綜(性)	(n) 複雜(化);併發症;(新出現的)困難	(n) 構成要素;零件;成分
complexity	(n) 複雜(性);錯綜(性)	(n) 複雜(化);併發症;(新出現的)困難	(n) 構成要素;零件;成分	(n) 自滿;自負
complication	(n) 複雜(化);併發症;(新出現的)困難	(n) 構成要素;零件;成分	(n) 自滿;自負	(n) 概念;創始
component	(n) 構成要素;零件;成分	(n) 自滿;自負	(n) 概念;創始	(n) 讓步;讓予物
conceit	(n) 自滿;自負	(n) 概念;創始	(n) 讓步;讓予物	(n) 對抗
conception	(n) 概念;創始	(n) 讓步;讓予物	(n) 對抗	(n) 美國眾議院議員
concession	(n) 讓步;讓予物	(n) 對抗	(n) 美國眾議院議員	(n) 國會女議員;女眾議員
confrontation	(n) 對抗	(n) 美國眾議院議員	(n) 國會女議員;女眾議員	(n) 征服;克服;佔領
congressman	(n) 美國眾議院議員	(n) 國會女議員;女眾議員	(n) 征服;克服;佔領	(n) 一致;合意;輿論
congresswoman	(n) 國會女議員;女眾議員	(n) 征服;克服;佔領	(n) 一致;合意;輿論	(n) 保存;(對自然資源的)保護
conquest	(n) 征服;克服;佔領	(n) 一致;合意;輿論	(n) 保存;(對自然資源的)保護	(n) 安慰;慰藉
consensus	(n) 一致;合意;輿論	(n) 保存;(對自然資源的)保護	(n) 安慰;慰藉	(n) 陰謀;謀叛;共謀
conservation	(n) 保存;(對自然資源的)保護	(n) 安慰;慰藉	(n) 陰謀;謀叛;共謀	(n) 成分;組成的要素;選民
consolation	(n) 安慰;慰藉	(n) 陰謀;謀叛;共謀	(n) 成分;組成的要素;選民	(n) 諮詢;商議
conspiracy	(n) 陰謀;謀叛;共謀	(n) 成分;組成的要素;選民	(n) 諮詢;商議	(n) 消耗;用盡;消耗量
constituent	(n) 成分;組成的要素;選民	(n) 諮詢;商議	(n) 消耗;用盡;消耗量	(n) 凝視;沈思;冥想
consultation	(n) 諮詢;商議	(n) 消耗;用盡;消耗量	(n) 凝視;沈思;冥想	(n) 參加競賽者;角逐者
consumption	(n) 消耗;用盡;消耗量	(n) 凝視;沈思;冥想	(n) 參加競賽者;角逐者	(n) 承包商;立契約者
contemplation	(n) 凝視;沈思;冥想	(n) 參加競賽者;角逐者	(n) 承包商;立契約者	(n) 矛盾;否認;反駁
contestant	(n) 參加競賽者;角逐者	(n) 承包商;立契約者	(n) 矛盾;否認;反駁	(n) 爭論;爭議
contractor	(n) 承包商;立契約者	(n) 矛盾;否認;反駁	(n) 爭論;爭議	(n) 定罪;證明有罪;確信
contradiction	(n) 矛盾;否認;反駁	(n) 爭論;爭議	(n) 定罪;證明有罪;確信	(n) 同等的人(或物);座標
controversy	(n) 爭論;爭議	(n) 定罪;證明有罪;確信	(n) 同等的人(或物);座標	(n) 果核;精髓;要義
conviction	(n) 定罪;證明有罪;確信	(n) 同等的人(或物);座標	(n) 果核;精髓;要義	(n) 兵團;部隊;團
coordinate	(n) 同等的人(或物);座標	(n) 果核;精髓;要義	(n) 兵團;部隊;團	(n) 屍體;殘骸
core	(n) 果核;精髓;要義	(n) 兵團;部隊;團	(n) 屍體;殘骸	(n) 通信者;通訊記者
corps	(n) 兵團;部隊;團	(n) 屍體;殘骸	(n) 通信者;通訊記者	(n) 墮落;腐化;貪污;賄賂
corpse	(n) 屍體;殘骸	(n) 通信者;通訊記者	(n) 墮落;腐化;貪污;賄賂	(n) 化妝品,美容品
correspondent	(n) 通信者;通訊記者	(n) 墮落;腐化;貪污;賄賂	(n) 化妝品,美容品	(n) 世界主義者;四海為家者
corruption	(n) 墮落;腐化;貪污;賄賂	(n) 化妝品,美容品	(n) 世界主義者;四海為家者	(n) 對應的人(或物)
cosmetics	(n) 化妝品,美容品	(n) 世界主義者;四海為家者	(n) 對應的人(或物)	(n) 覆蓋範圍;保險項目;新聞報導
cosmopolitan	(n) 世界主義者;四海為家者	(n) 對應的人(或物)	(n) 覆蓋範圍;保險項目;新聞報導	(n) 抽筋;夾鉗;束縛
counterpart	(n) 對應的人(或物)	(n) 覆蓋範圍;保險項目;新聞報導	(n) 抽筋;夾鉗;束縛	(n) 可信性;確實性
coverage	(n) 覆蓋範圍;保險項目;新聞報導	(n) 抽筋;夾鉗;束縛	(n) 可信性;確實性	(n) (判斷、批評的)標準;尺度
cramp	(n) 抽筋;夾鉗;束縛	(n) 可信性;確實性	(n) (判斷、批評的)標準;尺度	(n) 彎曲的東西;騙子;偷兒
credibility	(n) 可信性;確實性	(n) (判斷、批評的)標準;尺度	(n) 彎曲的東西;騙子;偷兒	(n) 巡航;航遊;巡邏
criterion	(n) (判斷、批評的)標準;尺度	(n) 彎曲的東西;騙子;偷兒	(n) 巡航;航遊;巡邏	(n) 巡洋艦;遊艇;警察巡邏車
crook	(n) 彎曲的東西;騙子;偷兒	(n) 巡航;航遊;巡邏	(n) 巡洋艦;遊艇;警察巡邏車	(n) 麵包屑;碎屑;少許
cruise	(n) 巡航;航遊;巡邏	(n) 巡洋艦;遊艇;警察巡邏車	(n) 麵包屑;碎屑;少許	(n) 酥皮點心(水果派)
cruiser	(n) 巡洋艦;遊艇;警察巡邏車	(n) 麵包屑;碎屑;少許	(n) 酥皮點心(水果派)	(n) 麵包皮;派餅皮;硬外皮
crumb	(n) 麵包屑;碎屑;少許	(n) 酥皮點心(水果派)	(n) 麵包皮;派餅皮;硬外皮	(n) 頭皮屑
crumble	(n) 酥皮點心(水果派)	(n) 麵包皮;派餅皮;硬外皮	(n) 頭皮屑	(n) 黎明;破曉
crust	(n) 麵包皮;派餅皮;硬外皮	(n) 頭皮屑	(n) 黎明;破曉	(n) 下降;減少;衰退;傾斜
dandruff	(n) 頭皮屑	(n) 黎明;破曉	(n) 下降;減少;衰退;傾斜	(n) 奉獻;揭幕儀式;獻身
daybreak	(n) 黎明;破曉	(n) 下降;減少;衰退;傾斜	(n) 奉獻;揭幕儀式;獻身	(n) 缺點;缺陷;不足之處
decline	(n) 下降;減少;衰退;傾斜	(n) 奉獻;揭幕儀式;獻身	(n) 缺點;缺陷;不足之處	(n) 不足;缺陷;缺點
dedication	(n) 奉獻;揭幕儀式;獻身	(n) 缺點;缺陷;不足之處	(n) 不足;缺陷;缺點	(n) 青少年罪犯;違法者
defect	(n) 缺點;缺陷;不足之處	(n) 不足;缺陷;缺點	(n) 青少年罪犯;違法者	(n) 密度
deficiency	(n) 不足;缺陷;缺點	(n) 青少年罪犯;違法者	(n) 密度	(n) 代表,代理人;副職,副手
delinquent	(n) 青少年罪犯;違法者	(n) 密度	(n) 代表,代理人;副職,副手	(n) 後裔;從某一來源傳下的東西
density	(n) 密度	(n) 代表,代理人;副職,副手	(n) 後裔;從某一來源傳下的東西	(n) 下降;下傾;血統
deputy	(n) 代表,代理人;副職,副手	(n) 後裔;從某一來源傳下的東西	(n) 下降;下傾;血統	(n) 糖尿病
descendant	(n) 後裔;從某一來源傳下的東西	(n) 下降;下傾;血統	(n) 糖尿病	(n) 診斷;診斷書;調查分析
descent	(n) 下降;下傾;血統	(n) 糖尿病	(n) 診斷;診斷書;調查分析	(n) 圖表;(曲)線圖
diabetes	(n) 糖尿病	(n) 診斷;診斷書;調查分析	(n) 圖表;(曲)線圖	(n) 直徑
diagnosis	(n) 診斷;診斷書;調查分析	(n) 圖表;(曲)線圖	(n) 直徑	(n) 口述;聽寫
diagram	(n) 圖表;(曲)線圖	(n) 直徑	(n) 口述;聽寫	(n) 獨裁者
diameter	(n) 直徑	(n) 口述;聽寫	(n) 獨裁者	(n) 困境;進退兩難
dictation	(n) 口述;聽寫	(n) 獨裁者	(n) 困境;進退兩難	(n) (長;寬;厚;高等的)尺寸;大小
dictator	(n) 獨裁者	(n) 困境;進退兩難	(n) (長;寬;厚;高等的)尺寸;大小	(n) 外交;外交手腕
dilemma	(n) 困境;進退兩難	(n) (長;寬;厚;高等的)尺寸;大小	(n) 外交;外交手腕	(n) 姓名住址簿;使用手冊
dimension	(n) (長;寬;厚;高等的)尺寸;大小	(n) 外交;外交手腕	(n) 姓名住址簿;使用手冊	(n) 無能;殘障
diplomacy	(n) 外交;外交手腕	(n) 姓名住址簿;使用手冊	(n) 無能;殘障	(n) 卸貨;發射;排出;釋放;解雇
directory	(n) 姓名住址簿;使用手冊	(n) 無能;殘障	(n) 卸貨;發射;排出;釋放;解雇	(n) 透露;揭發的事情
disability	(n) 無能;殘障	(n) 卸貨;發射;排出;釋放;解雇	(n) 透露;揭發的事情	(n) 不舒服;不安
discharge	(n) 卸貨;發射;排出;釋放;解雇	(n) 透露;揭發的事情	(n) 不舒服;不安	(n) 歧視;辨別力
disclosure	(n) 透露;揭發的事情	(n) 不舒服;不安	(n) 歧視;辨別力	(n) 恥辱;丟臉的事(或人)
discomfort	(n) 不舒服;不安	(n) 歧視;辨別力	(n) 恥辱;丟臉的事(或人)	(n) 驚慌;沮喪
discrimination	(n) 歧視;辨別力	(n) 恥辱;丟臉的事(或人)	(n) 驚慌;沮喪	(n) 派遣;發送
disgrace	(n) 恥辱;丟臉的事(或人)	(n) 驚慌;沮喪	(n) 派遣;發送	(n) 用完即丟棄的物品(如紙尿布)
dismay	(n) 驚慌;沮喪	(n) 派遣;發送	(n) 用完即丟棄的物品(如紙尿布)	(n) 處理;(自由)處置權
dispatch	(n) 派遣;發送	(n) 用完即丟棄的物品(如紙尿布)	(n) 處理;(自由)處置權	(n) 漠視
disposable	(n) 用完即丟棄的物品(如紙尿布)	(n) 處理;(自由)處置權	(n) 漠視	(n) 不贊成者;持不同政見者
disposal	(n) 處理;(自由)處置權	(n) 漠視	(n) 不贊成者;持不同政見者	(n) 分心;注意力分散
disregard	(n) 漠視	(n) 不贊成者;持不同政見者	(n) 分心;注意力分散	(n) 不信任;懷疑
dissident	(n) 不贊成者;持不同政見者	(n) 分心;注意力分散	(n) 不信任;懷疑	(n) 擾亂;打擾
distraction	(n) 分心;注意力分散	(n) 不信任;懷疑	(n) 擾亂;打擾	(n) 轉向;轉移;分散注意力
distrust	(n) 不信任;懷疑	(n) 擾亂;打擾	(n) 轉向;轉移;分散注意力	(n) 差異;多樣性
disturbance	(n) 擾亂;打擾	(n) 轉向;轉移;分散注意力	(n) 差異;多樣性	(n) 教義;信條
diversion	(n) 轉向;轉移;分散注意力	(n) 差異;多樣性	(n) 教義;信條	(n) 記錄影片
diversity	(n) 差異;多樣性	(n) 教義;信條	(n) 記錄影片	(n) 圓屋頂;穹窿;半球形物
doctrine	(n) 教義;信條	(n) 記錄影片	(n) 圓屋頂;穹窿;半球形物	(n) 捐獻;捐款
documentary	(n) 記錄影片	(n) 圓屋頂;穹窿;半球形物	(n) 捐獻;捐款	(n) 贈送人;捐贈者
dome	(n) 圓屋頂;穹窿;半球形物	(n) 捐獻;捐款	(n) 贈送人;捐贈者	(n) 厄運;毀滅
donation	(n) 捐獻;捐款	(n) 贈送人;捐贈者	(n) 厄運;毀滅	(n) (藥的)劑量;服法
donor	(n) 贈送人;捐贈者	(n) 厄運;毀滅	(n) (藥的)劑量;服法	(n) 缺點;不利條件;障礙
doom	(n) 厄運;毀滅	(n) (藥的)劑量;服法	(n) 缺點;不利條件;障礙	(n) 毛毛雨
dosage	(n) (藥的)劑量;服法	(n) 缺點;不利條件;障礙	(n) 毛毛雨	(n) 旱災
drawback	(n) 缺點;不利條件;障礙	(n) 毛毛雨	(n) 旱災	(n) 炸藥;具有爆炸性的事
drizzle	(n) 毛毛雨	(n) 旱災	(n) 炸藥;具有爆炸性的事	(n) 退潮;衰退
