cast	(v) 投,擲; 選派...扮演角色	(v) 以...為特色	(n) 性別;色情;性交;性慾;性感	(adj) 奇特的,古怪的;單數的
burglar	(n) 夜賊,破門盜竊者	(n) 灌木	(n) 嗡嗡聲	(n) 客艙
bush	(n) 灌木	(n) 嗡嗡聲	(n) 客艙	(n) 校園
buzz	(n) 嗡嗡聲	(n) 客艙	(n) 校園	(n) 藤條;手杖
cabin	(n) 客艙	(n) 校園	(n) 藤條;手杖	(n) 皮划
campus	(n) 校園	(n) 藤條;手杖	(n) 皮划	(n) 峽谷
cane	(n) 藤條;手杖	(n) 皮划	(n) 峽谷	(n) 首都;首府;資本
canoe	(n) 皮划	(n) 峽谷	(n) 首都;首府;資本	(n) 佔領;獲得
canyon	(n) 峽谷	(n) 首都;首府;資本	(n) 佔領;獲得	(n) 木工,木匠
capital	(n) 首都;首府;資本	(n) 佔領;獲得	(n) 木工,木匠	(n) 運輸;運費
capture	(n) 佔領;獲得	(n) 木工,木匠	(n) 運輸;運費	(n) 鑄型;模子;投;擲;拋
carpenter	(n) 木工,木匠	(n) 運輸;運費	(n) 鑄型;模子;投;擲;拋	(n) 履帶牽引車
carriage	(n) 運輸;運費	(n) 鑄型;模子;投;擲;拋	(n) 履帶牽引車	(n) 牛;牲口,家畜
cast	(n) 鑄型;模子;投;擲;拋	(n) 履帶牽引車	(n) 牛;牲口,家畜	(n) 公分
caterpillar	(n) 履帶牽引車	(n) 牛;牲口,家畜	(n) 公分	(n) (當單數用)製陶業
cattle	(n) 牛;牲口,家畜	(n) 公分	(n) (當單數用)製陶業	(n) 鏈條;項圈
centimeter	(n) 公分	(n) (當單數用)製陶業	(n) 鏈條;項圈	(n) 挑戰;艱鉅的事
ceramics	(n) (當單數用)製陶業	(n) 鏈條;項圈	(n) 挑戰;艱鉅的事	(n) 優勝者,冠軍
chain	(n) 鏈條;項圈	(n) 挑戰;艱鉅的事	(n) 優勝者,冠軍	(n) 管道;頻道
challenge	(n) 挑戰;艱鉅的事	(n) 優勝者,冠軍	(n) 管道;頻道	(n) (書籍的)章,回
champion	(n) 優勝者,冠軍	(n) 管道;頻道	(n) (書籍的)章,回	(n) 魅力
channel	(n) 管道;頻道	(n) (書籍的)章,回	(n) 魅力	(n) 閒談,聊天
chapter	(n) (書籍的)章,回	(n) 魅力	(n) 閒談,聊天	(n) 臉頰;腮幫子
charm	(n) 魅力	(n) 閒談,聊天	(n) 臉頰;腮幫子	(n) 喝采;鼓勵
chat	(n) 閒談,聊天	(n) 臉頰;腮幫子	(n) 喝采;鼓勵	(n) 起司;乳酪
cheek	(n) 臉頰;腮幫子	(n) 喝采;鼓勵	(n) 起司;乳酪	(n) 櫻桃
cheer	(n) 喝采;鼓勵	(n) 起司;乳酪	(n) 櫻桃	(n) 胸;箱子,盒子
cheese	(n) 起司;乳酪	(n) 櫻桃	(n) 胸;箱子,盒子	(n) 咀嚼
cherry	(n) 櫻桃	(n) 胸;箱子,盒子	(n) 咀嚼	(n) 幼時
chest	(n) 胸;箱子,盒子	(n) 咀嚼	(n) 幼時	(n) 寒冷,寒氣
chew	(n) 咀嚼	(n) 幼時	(n) 寒冷,寒氣	(n) 煙囪
childhood	(n) 幼時	(n) 寒冷,寒氣	(n) 煙囪	(n) 中國
chill	(n) 寒冷,寒氣	(n) 煙囪	(n) 中國	(n) 晶片;屑片;炸洋芋片;籌碼
chimney	(n) 煙囪	(n) 中國	(n) 晶片;屑片;炸洋芋片;籌碼	(n) 窒息,噎
China	(n) 中國	(n) 晶片;屑片;炸洋芋片;籌碼	(n) 窒息,噎	(n) 肋骨肉
chip	(n) 晶片;屑片;炸洋芋片;籌碼	(n) 窒息,噎	(n) 肋骨肉	(n) 香煙,紙煙
choke	(n) 窒息,噎	(n) 肋骨肉	(n) 香煙,紙煙	(n) 馬戲團
chop	(n) 肋骨肉	(n) 香煙,紙煙	(n) 馬戲團	(n) 卡嗒聲
cigarette	(n) 香煙,紙煙	(n) 馬戲團	(n) 卡嗒聲	(n) 顧客,客戶
circus	(n) 馬戲團	(n) 卡嗒聲	(n) 顧客,客戶	(n) 診所,門診所
click	(n) 卡嗒聲	(n) 顧客,客戶	(n) 診所,門診所	(n) 夾;鉗;迴紋針
client	(n) 顧客,客戶	(n) 診所,門診所	(n) 夾;鉗;迴紋針	(n) 線索,跡象,提示
clinic	(n) 診所,門診所	(n) 夾;鉗;迴紋針	(n) 線索,跡象,提示	(n) 雞尾酒
clip	(n) 夾;鉗;迴紋針	(n) 線索,跡象,提示	(n) 雞尾酒	(n) 椰子;椰子肉
clue	(n) 線索,跡象,提示	(n) 雞尾酒	(n) 椰子;椰子肉	(n) 衣領
cocktail	(n) 雞尾酒	(n) 椰子;椰子肉	(n) 衣領	(n) 收集
coconut	(n) 椰子;椰子肉	(n) 衣領	(n) 收集	(n) 學院;大學
collar	(n) 衣領	(n) 收集	(n) 學院;大學	(n) 殖民地
collection	(n) 收集	(n) 學院;大學	(n) 殖民地	(n) (報紙的)欄,段;行
college	(n) 學院;大學	(n) 殖民地	(n) (報紙的)欄,段;行	(n) 安逸,舒適
colony	(n) 殖民地	(n) (報紙的)欄,段;行	(n) 安逸,舒適	(n) 逗號;停頓
column	(n) (報紙的)欄,段;行	(n) 安逸,舒適	(n) 逗號;停頓	(n) 命令
comfort	(n) 安逸,舒適	(n) 逗號;停頓	(n) 命令	(n) 商業廣告
comma	(n) 逗號;停頓	(n) 命令	(n) 商業廣告	(n) 委員會
command	(n) 命令	(n) 商業廣告	(n) 委員會	(n) 比較,對照
commercial	(n) 商業廣告	(n) 委員會	(n) 比較,對照	(n) 抱怨;抗議;怨言
committee	(n) 委員會	(n) 比較,對照	(n) 抱怨;抗議;怨言	(n) 複合物
comparison	(n) 比較,對照	(n) 抱怨;抗議;怨言	(n) 複合物	(n) 關懷
complaint	(n) 抱怨;抗議;怨言	(n) 複合物	(n) 關懷	(n) 音樂會,演奏會
complex	(n) 複合物	(n) 關懷	(n) 音樂會,演奏會	(n) 結論;推論
concern	(n) 關懷	(n) 音樂會,演奏會	(n) 結論;推論	(n) 情況;條件
concert	(n) 音樂會,演奏會	(n) 結論;推論	(n) 情況;條件	(n) 圓錐體;圓錐形
conclusion	(n) 結論;推論	(n) 情況;條件	(n) 圓錐體;圓錐形	(n) 連接;聯絡;銜接
condition	(n) 情況;條件	(n) 圓錐體;圓錐形	(n) 連接;聯絡;銜接	(n) 考慮
cone	(n) 圓錐體;圓錐形	(n) 連接;聯絡;銜接	(n) 考慮	(n) 常數,衡量;不變的事物
connection	(n) 連接;聯絡;銜接	(n) 考慮	(n) 常數,衡量;不變的事物	(n) 大陸,陸地;大洲
consideration	(n) 考慮	(n) 常數,衡量;不變的事物	(n) 大陸,陸地;大洲	(n) 和約
constant	(n) 常數,衡量;不變的事物	(n) 大陸,陸地;大洲	(n) 和約	(n) 長沙發
continent	(n) 大陸,陸地;大洲	(n) 和約	(n) 長沙發	(n) 懦夫,膽怯者
contract	(n) 和約	(n) 長沙發	(n) 懦夫,膽怯者	(n) 搖籃
couch	(n) 長沙發	(n) 懦夫,膽怯者	(n) 搖籃	(n) 相撞(事故)
coward	(n) 懦夫,膽怯者	(n) 搖籃	(n) 相撞(事故)	(n) 緩慢的行進
cradle	(n) 搖籃	(n) 相撞(事故)	(n) 緩慢的行進	(n) 創造者;創作者
crash	(n) 相撞(事故)	(n) 緩慢的行進	(n) 創造者;創作者	(n) 生物;動物
crawl	(n) 緩慢的行進	(n) 創造者;創作者	(n) 生物;動物	(n) 信用;貸方
creator	(n) 創造者;創作者	(n) 生物;動物	(n) 信用;貸方	(n) 全體船員
creature	(n) 生物;動物	(n) 信用;貸方	(n) 全體船員	(n) 蟋蟀
credit	(n) 信用;貸方	(n) 全體船員	(n) 蟋蟀	(n) 罪犯
crew	(n) 全體船員	(n) 蟋蟀	(n) 罪犯	(n) 王冠
cricket	(n) 蟋蟀	(n) 罪犯	(n) 王冠	(n) 丁形柺杖
criminal	(n) 罪犯	(n) 王冠	(n) 丁形柺杖	(n) 食櫥;碗櫃
crown	(n) 王冠	(n) 丁形柺杖	(n) 食櫥;碗櫃	(n) 水流;電流
crutch	(n) 丁形柺杖	(n) 食櫥;碗櫃	(n) 水流;電流	(n) 週期;循環
cupboard	(n) 食櫥;碗櫃	(n) 水流;電流	(n) 週期;循環	(n) 牛奶店;牛奶及乳品業
current	(n) 水流;電流	(n) 週期;循環	(n) 牛奶店;牛奶及乳品業	(n) 水壩
cycle	(n) 週期;循環	(n) 牛奶店;牛奶及乳品業	(n) 水壩	(n) 心愛的人
dairy	(n) 牛奶店;牛奶及乳品業	(n) 水壩	(n) 心愛的人	(n) 急衝,奔跑;破折號
dam	(n) 水壩	(n) 心愛的人	(n) 急衝,奔跑;破折號	(n) 業者;商人;發牌者
darling	(n) 心愛的人	(n) 急衝,奔跑;破折號	(n) 業者;商人;發牌者	(n) 十;十年
dash	(n) 急衝,奔跑;破折號	(n) 業者;商人;發牌者	(n) 十;十年	(n) (船的) 艙面,甲板;(紙牌的)一副
dealer	(n) 業者;商人;發牌者	(n) 十;十年	(n) (船的) 艙面,甲板;(紙牌的)一副	(n) 契據;證書
decade	(n) 十;十年	(n) (船的) 艙面,甲板;(紙牌的)一副	(n) 契據;證書	(n) 定義;釋義
deck	(n) (船的) 艙面,甲板;(紙牌的)一副	(n) 契據;證書	(n) 定義;釋義	(n) 投遞,傳送
deed	(n) 契據;證書	(n) 定義;釋義	(n) 投遞,傳送	(n) 民主
definition	(n) 定義;釋義	(n) 投遞,傳送	(n) 民主	(n) 存款
delivery	(n) 投遞,傳送	(n) 民主	(n) 存款	(n) 敘述;形容
democracy	(n) 民主	(n) 存款	(n) 敘述;形容	(n) 設計者;構思者;時裝設計師
deposit	(n) 存款	(n) 敘述;形容	(n) 設計者;構思者;時裝設計師	(n) 細節;詳情
description	(n) 敘述;形容	(n) 設計者;構思者;時裝設計師	(n) 細節;詳情	(n) 魔鬼,惡魔
designer	(n) 設計者;構思者;時裝設計師	(n) 細節;詳情	(n) 魔鬼,惡魔	(n) 對話;交談
detail	(n) 細節;詳情	(n) 魔鬼,惡魔	(n) 對話;交談	(n) 飲食;特種飲食
devil	(n) 魔鬼,惡魔	(n) 對話;交談	(n) 飲食;特種飲食	(n) 一角硬幣
dialogue	(n) 對話;交談	(n) 飲食;特種飲食	(n) 一角硬幣	(n) (價格的)下跌
diet	(n) 飲食;特種飲食	(n) 一角硬幣	(n) (價格的)下跌	(n) 污物;爛泥;灰塵
dime	(n) 一角硬幣	(n) (價格的)下跌	(n) 污物;爛泥;灰塵	(n) 失望;掃興,沮喪
dip	(n) (價格的)下跌	(n) 污物;爛泥;灰塵	(n) 失望;掃興,沮喪	(n) 圓盤;盤狀物;磁盤;鐵餅
dirt	(n) 污物;爛泥;灰塵	(n) 失望;掃興,沮喪	(n) 圓盤;盤狀物;磁盤;鐵餅	(n) 迪斯科音樂
disappointment	(n) 失望;掃興,沮喪	(n) 圓盤;盤狀物;磁盤;鐵餅	(n) 迪斯科音樂	(n) 小舞廳;迪斯科舞廳
disc	(n) 圓盤;盤狀物;磁盤;鐵餅	(n) 迪斯科音樂	(n) 小舞廳;迪斯科舞廳	(n) 折扣
disco	(n) 迪斯科音樂	(n) 小舞廳;迪斯科舞廳	(n) 折扣	(n) 發現
discotheque	(n) 小舞廳;迪斯科舞廳	(n) 折扣	(n) 發現	(n) 病,疾病
discount	(n) 折扣	(n) 發現	(n) 病,疾病	(n) 圓盤;(電腦)磁盤
discovery	(n) 發現	(n) 病,疾病	(n) 圓盤;(電腦)磁盤	(n) 不喜愛,厭惡
disease	(n) 病,疾病	(n) 圓盤;(電腦)磁盤	(n) 不喜愛,厭惡	(n) 溝;壕溝
disk	(n) 圓盤;(電腦)磁盤	(n) 不喜愛,厭惡	(n) 溝;壕溝	(n) 俯衝,急劇下降
dislike	(n) 不喜愛,厭惡	(n) 溝;壕溝	(n) 俯衝,急劇下降	(n) 碼頭
ditch	(n) 溝;壕溝	(n) 俯衝,急劇下降	(n) 碼頭	(n) 躲閃;託詞
dive	(n) 俯衝,急劇下降	(n) 碼頭	(n) 躲閃;託詞	(n) (藥物等的)一劑,一服
dock	(n) 碼頭	(n) 躲閃;託詞	(n) (藥物等的)一劑,一服	(n) 排水管
dodge	(n) 躲閃;託詞	(n) (藥物等的)一劑,一服	(n) 排水管	(n) 滴下;滴水聲
dose	(n) (藥物等的)一劑,一服	(n) 排水管	(n) 滴下;滴水聲	(n) 醉漢,酒鬼;酒宴,鬧飲
drain	(n) 排水管	(n) 滴下;滴水聲	(n) 醉漢,酒鬼;酒宴,鬧飲	(n) 應得之物;應得權益;應付款;稅金
drip	(n) 滴下;滴水聲	(n) 醉漢,酒鬼;酒宴,鬧飲	(n) 應得之物;應得權益;應付款;稅金	(n) 垃圾場
drunk	(n) 醉漢,酒鬼;酒宴,鬧飲	(n) 應得之物;應得權益;應付款;稅金	(n) 垃圾場	(n) 灰塵,塵土
due	(n) 應得之物;應得權益;應付款;稅金	(n) 垃圾場	(n) 灰塵,塵土	(n) 收入,工資
dump	(n) 垃圾場	(n) 灰塵,塵土	(n) 收入,工資	(n) 回聲;回響
dust	(n) 灰塵,塵土	(n) 收入,工資	(n) 回聲;回響	(n) 版本
earnings	(n) 收入,工資	(n) 回聲;回響	(n) 版本	(n) 編者;校訂者
echo	(n) 回聲;回響	(n) 版本	(n) 編者;校訂者	(n) 肘部
edition	(n) 版本	(n) 編者;校訂者	(n) 肘部	(n) 選舉
editor	(n) 編者;校訂者	(n) 肘部	(n) 選舉	(n) 電;電流
elbow	(n) 肘部	(n) 選舉	(n) 電;電流	(n) 緊急情況
election	(n) 選舉	(n) 電;電流	(n) 緊急情況	(n) 皇帝
electricity	(n) 電;電流	(n) 緊急情況	(n) 皇帝	(n) 受雇者,雇工,雇員
emergency	(n) 緊急情況	(n) 皇帝	(n) 受雇者,雇工,雇員	(n) 雇主,雇用者
emperor	(n) 皇帝	(n) 受雇者,雇工,雇員	(n) 雇主,雇用者	(n) 雇用;受雇
employee	(n) 受雇者,雇工,雇員	(n) 雇主,雇用者	(n) 雇用;受雇	(n) 訂婚;諾言;雇用;交戰
employer	(n) 雇主,雇用者	(n) 雇用;受雇	(n) 訂婚;諾言;雇用;交戰	(n) 引擎
employment	(n) 雇用;受雇	(n) 訂婚;諾言;雇用;交戰	(n) 引擎	(n) 工程師
engagement	(n) 訂婚;諾言;雇用;交戰	(n) 引擎	(n) 工程師	(n) 進入,入場;入口
engine	(n) 引擎	(n) 工程師	(n) 進入,入場;入口	(n) 妒忌;羨慕
engineer	(n) 工程師	(n) 進入,入場;入口	(n) 妒忌;羨慕	(n) 逃跑;逃脫
entry	(n) 進入,入場;入口	(n) 妒忌;羨慕	(n) 逃跑;逃脫	(n) 邪惡,罪惡
envy	(n) 妒忌;羨慕	(n) 逃跑;逃脫	(n) 邪惡,罪惡	(n) 優秀;傑出;卓越
escape	(n) 逃跑;逃脫	(n) 邪惡,罪惡	(n) 優秀;傑出;卓越	(n) 交換;交流;交易所
evil	(n) 邪惡,罪惡	(n) 優秀;傑出;卓越	(n) 交換;交流;交易所	(n) 展覽;展覽會
excellence	(n) 優秀;傑出;卓越	(n) 交換;交流;交易所	(n) 展覽;展覽會	(n) 存在,實在
exchange	(n) 交換;交流;交易所	(n) 展覽;展覽會	(n) 存在,實在	(n) 出口
exhibition	(n) 展覽;展覽會	(n) 存在,實在	(n) 出口	(n) 期待;預期
existence	(n) 存在,實在	(n) 出口	(n) 期待;預期	(n) 費用;支出;消耗
exit	(n) 出口	(n) 期待;預期	(n) 費用;支出;消耗	(n) 實驗;試驗
expectation	(n) 期待;預期	(n) 費用;支出;消耗	(n) 實驗;試驗	(n) 出口
expense	(n) 費用;支出;消耗	(n) 實驗;試驗	(n) 出口	(n) 表達;表示
experiment	(n) 實驗;試驗	(n) 出口	(n) 表達;表示	(n) 極端,末端
export	(n) 出口	(n) 表達;表示	(n) 極端,末端	(n) 寓言
expression	(n) 表達;表示	(n) 極端,末端	(n) 寓言	(n) 因素;要素
extreme	(n) 極端,末端	(n) 寓言	(n) 因素;要素	(n) 昏厥
fable	(n) 寓言	(n) 因素;要素	(n) 昏厥	(n) 小妖精;仙女
factor	(n) 因素;要素	(n) 昏厥	(n) 小妖精;仙女	(n) 信念;信任,完全信賴
faint	(n) 昏厥	(n) 小妖精;仙女	(n) 信念;信任,完全信賴	(n) 冒牌貨;仿造品
fairy	(n) 小妖精;仙女	(n) 信念;信任,完全信賴	(n) 冒牌貨;仿造品	(n) 風扇;扇子;迷友
faith	(n) 信念;信任,完全信賴	(n) 冒牌貨;仿造品	(n) 風扇;扇子;迷友	(n) 狂熱者;盲信者
fake	(n) 冒牌貨;仿造品	(n) 風扇;扇子;迷友	(n) 狂熱者;盲信者	(n) 愛好;迷戀;想像;怪念頭
fan	(n) 風扇;扇子;迷友	(n) 狂熱者;盲信者	(n) 愛好;迷戀;想像;怪念頭	(n) (交通工具的)票價,車(船)費
fanatic	(n) 狂熱者;盲信者	(n) 愛好;迷戀;想像;怪念頭	(n) (交通工具的)票價,車(船)費	(n) 流行式樣;時尚
fancy	(n) 愛好;迷戀;想像;怪念頭	(n) (交通工具的)票價,車(船)費	(n) 流行式樣;時尚	(n) 命運
fare	(n) (交通工具的)票價,車(船)費	(n) 流行式樣;時尚	(n) 命運	(n) 水龍頭
fashion	(n) 流行式樣;時尚	(n) 命運	(n) 水龍頭	(n) 傳真通信
fate	(n) 命運	(n) 水龍頭	(n) 傳真通信	(n) 羽毛
faucet	(n) 水龍頭	(n) 傳真通信	(n) 羽毛	(n) 檔案,案卷
fax	(n) 傳真通信	(n) 羽毛	(n) 檔案,案卷	(n) 煙火
feather	(n) 羽毛	(n) 檔案,案卷	(n) 煙火	(n) 拳;掌握;支配
file	(n) 檔案,案卷	(n) 煙火	(n) 拳;掌握;支配	(n) 火焰;火舌
firework	(n) 煙火	(n) 拳;掌握;支配	(n) 火焰;火舌	(n) 味,味道
fist	(n) 拳;掌握;支配	(n) 火焰;火舌	(n) 味,味道	(n) 跳蚤
flame	(n) 火焰;火舌	(n) 味,味道	(n) 跳蚤	(n) 肉,肌肉
flavor	(n) 味,味道	(n) 跳蚤	(n) 肉,肌肉	(n) 漂游物;木筏
flea	(n) 跳蚤	(n) 肉,肌肉	(n) 漂游物;木筏	(n) (飛禽,牲畜等的)群;人群,群眾
flesh	(n) 肉,肌肉	(n) 漂游物;木筏	(n) (飛禽,牲畜等的)群;人群,群眾	(n) 摺疊
float	(n) 漂游物;木筏	(n) (飛禽,牲畜等的)群;人群,群眾	(n) 摺疊	(n) 人們
flock	(n) (飛禽,牲畜等的)群;人群,群眾	(n) 摺疊	(n) 人們	(n) 追隨者;信徒
fold	(n) 摺疊	(n) 人們	(n) 追隨者;信徒	(n) 額,前額
folk	(n) 人們	(n) 追隨者;信徒	(n) 額,前額	(n) 財產,財富;巨款
follower	(n) 追隨者;信徒	(n) 額,前額	(n) 財產,財富;巨款	(n) 泉水;噴泉;水源
forehead	(n) 額,前額	(n) 財產,財富;巨款	(n) 泉水;噴泉;水源	(n) 結冰;凝固;(物價,工資等的)凍結
fortune	(n) 財產,財富;巨款	(n) 泉水;噴泉;水源	(n) 結冰;凝固;(物價,工資等的)凍結	(n) 友誼
fountain	(n) 泉水;噴泉;水源	(n) 結冰;凝固;(物價,工資等的)凍結	(n) 友誼	(n) 炸薯條
freeze	(n) 結冰;凝固;(物價,工資等的)凍結	(n) 友誼	(n) 炸薯條	(n) 資金,基金
friendship	(n) 友誼	(n) 炸薯條	(n) 資金,基金	(n) 軟毛;毛皮製品
fry	(n) 炸薯條	(n) 資金,基金	(n) 軟毛;毛皮製品	(n) 傢俱
fund	(n) 資金,基金	(n) 軟毛;毛皮製品	(n) 傢俱	(n) 加侖
fur	(n) 軟毛;毛皮製品	(n) 傢俱	(n) 加侖	(n) 賭博;打賭
furniture	(n) 傢俱	(n) 加侖	(n) 賭博;打賭	(n) 一幫,一群;惡少幫
gallon	(n) 加侖	(n) 賭博;打賭	(n) 一幫,一群;惡少幫	(n) 裂口,缺口
gamble	(n) 賭博;打賭	(n) 一幫,一群;惡少幫	(n) 裂口,缺口	(n) 大蒜;蒜頭
gang	(n) 一幫,一群;惡少幫	(n) 裂口,缺口	(n) 大蒜;蒜頭	(n) 瓦斯;汽油
gap	(n) 裂口,缺口	(n) 大蒜;蒜頭	(n) 瓦斯;汽油	(n) 汽油
garlic	(n) 大蒜;蒜頭	(n) 瓦斯;汽油	(n) 汽油	(n) 姿勢;表示
gas	(n) 瓦斯;汽油	(n) 汽油	(n) 姿勢;表示	(n) 一瞥;掃視
gasoline	(n) 汽油	(n) 姿勢;表示	(n) 一瞥;掃視	(n) 光榮,榮譽
gesture	(n) 姿勢;表示	(n) 一瞥;掃視	(n) 光榮,榮譽	(n) 灼熱;光輝
glance	(n) 一瞥;掃視	(n) 光榮,榮譽	(n) 灼熱;光輝	(n) 閒話,聊天;流言蜚語
glory	(n) 光榮,榮譽	(n) 灼熱;光輝	(n) 閒話,聊天;流言蜚語	(n) 州長
glow	(n) 灼熱;光輝	(n) 閒話,聊天;流言蜚語	(n) 州長	(n) (婦女穿的)長禮服;晨衣,睡袍
gossip	(n) 閒話,聊天;流言蜚語	(n) 州長	(n) (婦女穿的)長禮服;晨衣,睡袍	(n) 攫取,霸佔
governor	(n) 州長	(n) (婦女穿的)長禮服;晨衣,睡袍	(n) 攫取,霸佔	(n) 大學畢業生
gown	(n) (婦女穿的)長禮服;晨衣,睡袍	(n) 攫取,霸佔	(n) 大學畢業生	(n) 穀物;(砂,鹽等的)粒,細粒
grab	(n) 攫取,霸佔	(n) 大學畢業生	(n) 穀物;(砂,鹽等的)粒,細粒	(n) 公克
graduate	(n) 大學畢業生	(n) 穀物;(砂,鹽等的)粒,細粒	(n) 公克	(n) 抓,緊握;抱
grain	(n) 穀物;(砂,鹽等的)粒,細粒	(n) 公克	(n) 抓,緊握;抱	(n) 蚱蜢
gram	(n) 公克	(n) 抓,緊握;抱	(n) 蚱蜢	(n) 溫室,暖房
grasp	(n) 抓,緊握;抱	(n) 蚱蜢	(n) 溫室,暖房	(n) 露齒的笑
grasshopper	(n) 蚱蜢	(n) 溫室,暖房	(n) 露齒的笑	(n) 食品雜貨; 食品雜貨店
greenhouse	(n) 溫室,暖房	(n) 露齒的笑	(n) 食品雜貨; 食品雜貨店	(n) 保護者,守護者;管理員
grin	(n) 露齒的笑	(n) 食品雜貨; 食品雜貨店	(n) 保護者,守護者;管理員	(n) 指導;引導;領導
grocery	(n) 食品雜貨; 食品雜貨店	(n) 保護者,守護者;管理員	(n) 指導;引導;領導	(n) 口香糖
guardian	(n) 保護者,守護者;管理員	(n) 指導;引導;領導	(n) 口香糖	(n) 體育館;體育;體操
guidance	(n) 指導;引導;領導	(n) 口香糖	(n) 體育館;體育;體操	(n) 體育館;健身房
gum	(n) 口香糖	(n) 體育館;體育;體操	(n) 體育館;健身房	(n) 美髮師
gym	(n) 體育館;體育;體操	(n) 體育館;健身房	(n) 美髮師	(n) 玄關;門廳,走
gymnasium	(n) 體育館;健身房	(n) 美髮師	(n) 玄關;門廳,走	(n) 少數,少量
hairdresser	(n) 美髮師	(n) 玄關;門廳,走	(n) 少數,少量	(n) 港灣,海港
hallway	(n) 玄關;門廳,走	(n) 少數,少量	(n) 港灣,海港	(n) 損傷,傷害;危害
handful	(n) 少數,少量	(n) 港灣,海港	(n) 損傷,傷害;危害	(n) 收穫
harbor	(n) 港灣,海港	(n) 損傷,傷害;危害	(n) 收穫	(n) (船的)艙口
harm	(n) 損傷,傷害;危害	(n) 收穫	(n) (船的)艙口	(n) 鷹,隼
harvest	(n) 收穫	(n) (船的)艙口	(n) 鷹,隼	(n) (做飼料用的)乾草
hatch	(n) (船的)艙口	(n) 鷹,隼	(n) (做飼料用的)乾草	(n) (報紙等的)標題
hawk	(n) 鷹,隼	(n) (做飼料用的)乾草	(n) (報紙等的)標題	(n) 總部,總公司,總局
hay	(n) (做飼料用的)乾草	(n) (報紙等的)標題	(n) 總部,總公司,總局	(n) (一)堆,堆積
headline	(n) (報紙等的)標題	(n) 總部,總公司,總局	(n) (一)堆,堆積	(n) 天國;上帝
headquarters	(n) 總部,總公司,總局	(n) (一)堆,堆積	(n) 天國;上帝	(n) 腳後跟,踵
heap	(n) (一)堆,堆積	(n) 天國;上帝	(n) 腳後跟,踵	(n) 地獄,冥府
heaven	(n) 天國;上帝	(n) 腳後跟,踵	(n) 地獄,冥府	(n) 盔;頭盔;鋼盔;帽盔;安全帽
heel	(n) 腳後跟,踵	(n) 地獄,冥府	(n) 盔;頭盔;鋼盔;帽盔;安全帽	(n) 徒步旅行
hell	(n) 地獄,冥府	(n) 盔;頭盔;鋼盔;帽盔;安全帽	(n) 徒步旅行	(n) 暗示
helmet	(n) 盔;頭盔;鋼盔;帽盔;安全帽	(n) 徒步旅行	(n) 暗示	(n) 歷史學家
hike	(n) 徒步旅行	(n) 暗示	(n) 歷史學家	(n) 蜂房;蜂巢;熱鬧的場所
hint	(n) 暗示	(n) 歷史學家	(n) 蜂房;蜂巢;熱鬧的場所	(n) 洞,穴;坑
historian	(n) 歷史學家	(n) 蜂房;蜂巢;熱鬧的場所	(n) 洞,穴;坑	(n) 故鄉;家鄉
hive	(n) 蜂房;蜂巢;熱鬧的場所	(n) 洞,穴;坑	(n) 故鄉;家鄉	(n) 誠實
hollow	(n) 洞,穴;坑	(n) 故鄉;家鄉	(n) 誠實	(n) 榮譽;名譽
hometown	(n) 故鄉;家鄉	(n) 誠實	(n) 榮譽;名譽	(n) 角;觸角;喇叭
honesty	(n) 誠實	(n) 榮譽;名譽	(n) 角;觸角;喇叭	(n) 恐怖,震驚,毛骨悚然
honor	(n) 榮譽;名譽	(n) 角;觸角;喇叭	(n) 恐怖,震驚,毛骨悚然	(n) 女管家
horn	(n) 角;觸角;喇叭	(n) 恐怖,震驚,毛骨悚然	(n) 女管家	(n) 緊抱;擁抱
horror	(n) 恐怖,震驚,毛骨悚然	(n) 女管家	(n) 緊抱;擁抱	(n) 人類
housekeeper	(n) 女管家	(n) 緊抱;擁抱	(n) 人類	(n) 靜寂,沈默
hug	(n) 緊抱;擁抱	(n) 人類	(n) 靜寂,沈默	(n) 小屋;臨時營房
humankind	(n) 人類	(n) 靜寂,沈默	(n) 小屋;臨時營房	(n) 理想
hush	(n) 靜寂,沈默	(n) 小屋;臨時營房	(n) 理想	(n) 身分
hut	(n) 小屋;臨時營房	(n) 理想	(n) 身分	(n) 無知,不學無術;愚昧
ideal	(n) 理想	(n) 身分	(n) 無知,不學無術;愚昧	(n) 肖像影像
identity	(n) 身分	(n) 無知,不學無術;愚昧	(n) 肖像影像	(n) 想像力;創造力
ignorance	(n) 無知,不學無術;愚昧	(n) 肖像影像	(n) 想像力;創造力	(n) 進口商品
image	(n) 肖像影像	(n) 想像力;創造力	(n) 進口商品	(n) 個人;個體
imagination	(n) 想像力;創造力	(n) 進口商品	(n) 個人;個體	(n) 次品
import	(n) 進口商品	(n) 個人;個體	(n) 次品	(n) 傷害
individual	(n) 個人;個體	(n) 次品	(n) 傷害	(n) 小旅館,客棧
inferior	(n) 次品	(n) 傷害	(n) 小旅館,客棧	(n) 檢查員;視察員;督察員
injury	(n) 傷害	(n) 小旅館,客棧	(n) 檢查員;視察員;督察員	(n) 教學,講授
inn	(n) 小旅館,客棧	(n) 檢查員;視察員;督察員	(n) 教學,講授	(n) 介紹;正式引見
inspector	(n) 檢查員;視察員;督察員	(n) 教學,講授	(n) 介紹;正式引見	(n) 發明家
instruction	(n) 教學,講授	(n) 介紹;正式引見	(n) 發明家	(n) 象牙
