tone	(n) 音色,音調;色調	(adj) 能;有能力的	(adj) 上文的,前述的	(adj) 成年的
twice	(adv.)兩次	(adv.)在下面,在下方;從屬地	(adv.)向上	(adv.)樓上地
under	(adv.)在下面,在下方;從屬地	(adv.)向上	(adv.)樓上地	(adv.)很;非常
up	(adv.)向上	(adv.)樓上地	(adv.)很;非常	(adv.)很好地;充分地
upstairs	(adv.)樓上地	(adv.)很;非常	(adv.)很好地;充分地	(adv.)向西方
very	(adv.)很;非常	(adv.)很好地;充分地	(adv.)向西方	(adv.)何時
well	(adv.)很好地;充分地	(adv.)向西方	(adv.)何時	(adv.)在哪兒
west	(adv.)向西方	(adv.)何時	(adv.)在哪兒	(adv.)為什麼
when	(adv.)何時	(adv.)在哪兒	(adv.)為什麼	(adv.)張得(或開得)很大地;充分地
where	(adv.)在哪兒	(adv.)為什麼	(adv.)張得(或開得)很大地;充分地	(adv.)更壞,更糟,更厲害地
why	(adv.)為什麼	(adv.)張得(或開得)很大地;充分地	(adv.)更壞,更糟,更厲害地	(adv.)最壞地,最惡劣地;最不利地
wide	(adv.)張得(或開得)很大地;充分地	(adv.)更壞,更糟,更厲害地	(adv.)最壞地,最惡劣地;最不利地	(adv.)錯誤地;邪惡地,不正當地
worse	(adv.)更壞,更糟,更厲害地	(adv.)最壞地,最惡劣地;最不利地	(adv.)錯誤地;邪惡地,不正當地	(adv.)是
worst	(adv.)最壞地,最惡劣地;最不利地	(adv.)錯誤地;邪惡地,不正當地	(adv.)是	(adv.)是
wrong	(adv.)錯誤地;邪惡地,不正當地	(adv.)是	(adv.)是	(adv.)昨天
yeah	(adv.)是	(adv.)是	(adv.)昨天	(adv.)尚未;但是
yes	(adv.)是	(adv.)昨天	(adv.)尚未;但是	(prep.)大約;關於
yesterday	(adv.)昨天	(adv.)尚未;但是	(prep.)大約;關於	(prep.)在…之上
yet	(adv.)尚未;但是	(prep.)大約;關於	(prep.)在…之上	(prep.)根據;按照
about	(prep.)大約;關於	(prep.)在…之上	(prep.)根據;按照	(prep.)橫越;穿過
above	(prep.)在…之上	(prep.)根據;按照	(prep.)橫越;穿過	(prep.)在…之後
according to	(prep.)根據;按照	(prep.)橫越;穿過	(prep.)在…之後	(prep.)反對
across	(prep.)橫越;穿過	(prep.)在…之後	(prep.)反對	(prep.)沿著
after	(prep.)在…之後	(prep.)反對	(prep.)沿著	(prep.)在...之中
against	(prep.)反對	(prep.)沿著	(prep.)在...之中	(prep.)差不多;環繞
along	(prep.)沿著	(prep.)在...之中	(prep.)差不多;環繞	(prep.)以…的身份；作為
among	(prep.)在...之中	(prep.)差不多;環繞	(prep.)以…的身份；作為	(prep.)在
around	(prep.)差不多;環繞	(prep.)以…的身份；作為	(prep.)在	(prep.)在…之前
as	(prep.)以…的身份；作為	(prep.)在	(prep.)在…之前	(prep.)在…後面
at	(prep.)在	(prep.)在…之前	(prep.)在…後面	(prep.)在…之下
before	(prep.)在…之前	(prep.)在…後面	(prep.)在…之下	(prep.)在...旁側
behind	(prep.)在…後面	(prep.)在…之下	(prep.)在...旁側	(prep.)在…和…之間
below	(prep.)在…之下	(prep.)在...旁側	(prep.)在…和…之間	(prep.)除...以外
beside	(prep.)在...旁側	(prep.)在…和…之間	(prep.)除...以外	(prep.)經由
between	(prep.)在…和…之間	(prep.)除...以外	(prep.)經由	(prep.)向下
but	(prep.)除...以外	(prep.)經由	(prep.)向下	(prep.)在…期間
by	(prep.)經由	(prep.)向下	(prep.)在…期間	(prep.)除…之外
down	(prep.)向下	(prep.)在…期間	(prep.)除…之外	(prep.)除...之外
during	(prep.)在…期間	(prep.)除…之外	(prep.)除...之外	(prep.)為…做的;給
except	(prep.)除…之外	(prep.)除...之外	(prep.)為…做的;給	(prep.)從
excepting	(prep.)除...之外	(prep.)為…做的;給	(prep.)從	(prep.)在…之內
for	(prep.)為…做的;給	(prep.)從	(prep.)在…之內	(prep.)在…裡面
from	(prep.)從	(prep.)在…之內	(prep.)在…裡面	(prep.)進入
in	(prep.)在…之內	(prep.)在…裡面	(prep.)進入	(prep.)減去;扣除;差...
inside	(prep.)在…裡面	(prep.)進入	(prep.)減去;扣除;差...	(prep.)像;如
into	(prep.)進入	(prep.)減去;扣除;差...	(prep.)像;如	(prep.)接近
less	(prep.)減去;扣除;差...	(prep.)像;如	(prep.)接近	(prep.)…的，屬於
like	(prep.)像;如	(prep.)接近	(prep.)…的，屬於	(prep.)離去
near	(prep.)接近	(prep.)…的，屬於	(prep.)離去	(prep.)在…上面
of	(prep.)…的，屬於	(prep.)離去	(prep.)在…上面	(prep.)通過...而出
off	(prep.)離去	(prep.)在…上面	(prep.)通過...而出	(prep.)在外
on	(prep.)在…上面	(prep.)通過...而出	(prep.)在外	(prep.)在…之上
out	(prep.)通過...而出	(prep.)在外	(prep.)在…之上	(prep.)走過
outside	(prep.)在外	(prep.)在…之上	(prep.)走過	(prep.)圍繞,環繞;在...附近;大約
over	(prep.)在…之上	(prep.)走過	(prep.)圍繞,環繞;在...附近;大約	(prep.)由於;自從...之後
past	(prep.)走過	(prep.)圍繞,環繞;在...附近;大約	(prep.)由於;自從...之後	(prep.)比; 超過
round	(prep.)圍繞,環繞;在...附近;大約	(prep.)由於;自從...之後	(prep.)比; 超過	(prep.)直到
since	(prep.)由於;自從...之後	(prep.)比; 超過	(prep.)直到	(prep.)到;向
than	(prep.)比; 超過	(prep.)直到	(prep.)到;向	(prep.)向;對
till	(prep.)直到	(prep.)到;向	(prep.)向;對	(prep.)向,朝;面對;將近;大約
to	(prep.)到;向	(prep.)向;對	(prep.)向,朝;面對;將近;大約	(prep.)在…下面
toward	(prep.)向;對	(prep.)向,朝;面對;將近;大約	(prep.)在…下面	(prep.)直到
towards	(prep.)向,朝;面對;將近;大約	(prep.)在…下面	(prep.)直到	(prep.)向...上
under	(prep.)在…下面	(prep.)直到	(prep.)向...上	(prep.)跟...在一起;有
until	(prep.)直到	(prep.)向...上	(prep.)跟...在一起;有	(conj.)在...之後
up	(prep.)向...上	(prep.)跟...在一起;有	(conj.)在...之後	(conj.)和；及；而；就
with	(prep.)跟...在一起;有	(conj.)在...之後	(conj.)和；及；而；就	(conj.)依照;當...時
after	(conj.)在...之後	(conj.)和；及；而；就	(conj.)依照;當...時	(conj.)因為
and	(conj.)和；及；而；就	(conj.)依照;當...時	(conj.)因為	(conj.)在...以前;與其...寧可;否則,要不然
as	(conj.)依照;當...時	(conj.)因為	(conj.)在...以前;與其...寧可;否則,要不然	(conj.)但是
because	(conj.)因為	(conj.)在...以前;與其...寧可;否則,要不然	(conj.)但是	(conj.)或者(和or連用)
before	(conj.)在...以前;與其...寧可;否則,要不然	(conj.)但是	(conj.)或者(和or連用)	(conj.)因為,由於
but	(conj.)但是	(conj.)或者(和or連用)	(conj.)因為,由於	(conj.)如果
either	(conj.)或者(和or連用)	(conj.)因為,由於	(conj.)如果	(conj.)亦不
for	(conj.)因為,由於	(conj.)如果	(conj.)亦不	(conj.)一旦,一經...便
if	(conj.)如果	(conj.)亦不	(conj.)一旦,一經...便	(conj.)可是,不過;要不是,若非
nor	(conj.)亦不	(conj.)一旦,一經...便	(conj.)可是,不過;要不是,若非	(conj.)或
once	(conj.)一旦,一經...便	(conj.)可是,不過;要不是,若非	(conj.)或	(conj.)自...以來;因為
only	(conj.)可是,不過;要不是,若非	(conj.)或	(conj.)自...以來;因為	(conj.)因此
or	(conj.)或	(conj.)自...以來;因為	(conj.)因此	(conj.)比較
since	(conj.)自...以來;因為	(conj.)因此	(conj.)比較	(conj.)以致
so	(conj.)因此	(conj.)比較	(conj.)以致	(conj.)雖然
than	(conj.)比較	(conj.)以致	(conj.)雖然	(conj.)直到...為止
that	(conj.)以致	(conj.)雖然	(conj.)直到...為止	(conj.)直到...時
though	(conj.)雖然	(conj.)直到...為止	(conj.)直到...時	(conj.)當...時;既然;然而
till	(conj.)直到...為止	(conj.)直到...時	(conj.)當...時;既然;然而	(conj.)在...處;到...的地方;...的地方
until	(conj.)直到...時	(conj.)當...時;既然;然而	(conj.)在...處;到...的地方;...的地方	(conj.)是否
when	(conj.)當...時;既然;然而	(conj.)在...處;到...的地方;...的地方	(conj.)是否	(conj.)當...的時候
where	(conj.)在...處;到...的地方;...的地方	(conj.)是否	(conj.)當...的時候	(conj.)然而
whether	(conj.)是否	(conj.)當...的時候	(conj.)然而	(n) 行動,法案
while	(conj.)當...的時候	(conj.)然而	(n) 行動,法案	(n) 動作
yet	(conj.)然而	(n) 行動,法案	(n) 動作	(n) 男演員
act	(n) 行動,法案	(n) 動作	(n) 男演員	(n) 女演員
action	(n) 動作	(n) 男演員	(n) 女演員	(n) 地址; 演說
actor	(n) 男演員	(n) 女演員	(n) 地址; 演說	(n) 成年人
actress	(n) 女演員	(n) 地址; 演說	(n) 成年人	(n) 下午;午後
address	(n) 地址; 演說	(n) 成年人	(n) 下午;午後	(n) 年齡
adult	(n) 成年人	(n) 下午;午後	(n) 年齡	(n) 同意
afternoon	(n) 下午;午後	(n) 年齡	(n) 同意	(n) 空氣
age	(n) 年齡	(n) 同意	(n) 空氣	(n) 航空郵件
agreement	(n) 同意	(n) 空氣	(n) 航空郵件	(n) 飛機
air	(n) 空氣	(n) 航空郵件	(n) 飛機	(n) 飛機場
airmail	(n) 航空郵件	(n) 飛機	(n) 飛機場	(n) 全體,一切;全部財產
airplane	(n) 飛機	(n) 飛機場	(n) 全體,一切;全部財產	(n) 生氣
airport	(n) 飛機場	(n) 全體,一切;全部財產	(n) 生氣	(n) 動物
all	(n) 全體,一切;全部財產	(n) 生氣	(n) 動物	(n) 答案
anger	(n) 生氣	(n) 動物	(n) 答案	(n) 螞蟻
animal	(n) 動物	(n) 答案	(n) 螞蟻	(n) 大猩猩
answer	(n) 答案	(n) 螞蟻	(n) 大猩猩	(n) 蘋果
ant	(n) 螞蟻	(n) 大猩猩	(n) 蘋果	(n) 四月
ape	(n) 大猩猩	(n) 蘋果	(n) 四月	(n) 地區;面積
apple	(n) 蘋果	(n) 四月	(n) 地區;面積	(n) 手臂
April	(n) 四月	(n) 地區;面積	(n) 手臂	(n) 軍隊;大群
area	(n) 地區;面積	(n) 手臂	(n) 軍隊;大群	(n) 藝術
arm	(n) 手臂	(n) 軍隊;大群	(n) 藝術	(n) 八月
army	(n) 軍隊;大群	(n) 藝術	(n) 八月	(n) 姨媽;姑媽
art	(n) 藝術	(n) 八月	(n) 姨媽;姑媽	(n) (aunt 的暱稱)伯母;嬸母;姑母;姨母;舅母
August	(n) 八月	(n) 姨媽;姑媽	(n) (aunt 的暱稱)伯母;嬸母;姑母;姨母;舅母	(n) (aunt 的暱稱)伯母;嬸母;姑母;姨母;舅母
aunt	(n) 姨媽;姑媽	(n) (aunt 的暱稱)伯母;嬸母;姑母;姨母;舅母	(n) (aunt 的暱稱)伯母;嬸母;姑母;姨母;舅母	(n) 秋季
auntie	(n) (aunt 的暱稱)伯母;嬸母;姑母;姨母;舅母	(n) (aunt 的暱稱)伯母;嬸母;姑母;姨母;舅母	(n) 秋季	(n) 嬰兒
aunty	(n) (aunt 的暱稱)伯母;嬸母;姑母;姨母;舅母	(n) 秋季	(n) 嬰兒	(n) 背部;後面
autumn	(n) 秋季	(n) 嬰兒	(n) 背部;後面	(n) 袋子
baby	(n) 嬰兒	(n) 背部;後面	(n) 袋子	(n) 球
back	(n) 背部;後面	(n) 袋子	(n) 球	(n) 汽球
bag	(n) 袋子	(n) 球	(n) 汽球	(n) 香蕉
ball	(n) 球	(n) 汽球	(n) 香蕉	(n) 樂團;樂隊
balloon	(n) 汽球	(n) 香蕉	(n) 樂團;樂隊	(n) 銀行;堤;岸
banana	(n) 香蕉	(n) 樂團;樂隊	(n) 銀行;堤;岸	(n) 棒,條;酒吧
band	(n) 樂團;樂隊	(n) 銀行;堤;岸	(n) 棒,條;酒吧	(n) 男理髮師
bank	(n) 銀行;堤;岸	(n) 棒,條;酒吧	(n) 男理髮師	(n) 基;底;基部
bar	(n) 棒,條;酒吧	(n) 男理髮師	(n) 基;底;基部	(n) 棒球
barber	(n) 男理髮師	(n) 基;底;基部	(n) 棒球	(n) 籃子
base	(n) 基;底;基部	(n) 棒球	(n) 籃子	(n) 籃球
baseball	(n) 棒球	(n) 籃子	(n) 籃球	(n) 球棒;蝙蝠
basket	(n) 籃子	(n) 籃球	(n) 球棒;蝙蝠	(n) 洗澡
basketball	(n) 籃球	(n) 球棒;蝙蝠	(n) 洗澡	(n) 廁所;浴室
bat	(n) 球棒;蝙蝠	(n) 洗澡	(n) 廁所;浴室	(n) 海灘
bath	(n) 洗澡	(n) 廁所;浴室	(n) 海灘	(n) 熊
bathroom	(n) 廁所;浴室	(n) 海灘	(n) 熊	(n) 敲打;敲擊聲;心跳聲;滴答聲;拍子
beach	(n) 海灘	(n) 熊	(n) 敲打;敲擊聲;心跳聲;滴答聲;拍子	(n) 美貌;美人
bear	(n) 熊	(n) 敲打;敲擊聲;心跳聲;滴答聲;拍子	(n) 美貌;美人	(n) 床
beat	(n) 敲打;敲擊聲;心跳聲;滴答聲;拍子	(n) 美貌;美人	(n) 床	(n) 蜜蜂
beauty	(n) 美貌;美人	(n) 床	(n) 蜜蜂	(n) 鈴;鐘
bed	(n) 床	(n) 蜜蜂	(n) 鈴;鐘	(n) 最好;最佳;最好
bee	(n) 蜜蜂	(n) 鈴;鐘	(n) 最好;最佳;最好	(n) (人或事物)較優者,較好者
bell	(n) 鈴;鐘	(n) 最好;最佳;最好	(n) (人或事物)較優者,較好者	(n) 腳踏車
best	(n) 最好;最佳;最好	(n) (人或事物)較優者,較好者	(n) 腳踏車	(n) 腳踏車
better	(n) (人或事物)較優者,較好者	(n) 腳踏車	(n) 腳踏車	(n) 鳥
bicycle	(n) 腳踏車	(n) 腳踏車	(n) 鳥	(n) 出生;起源
bike	(n) 腳踏車	(n) 鳥	(n) 出生;起源	(n) 小片,;少量,一點點;片刻;位元
bird	(n) 鳥	(n) 出生;起源	(n) 小片,;少量,一點點;片刻;位元	(n) 咬,叮
birth	(n) 出生;起源	(n) 小片,;少量,一點點;片刻;位元	(n) 咬,叮	(n) 街區
bit	(n) 小片,;少量,一點點;片刻;位元	(n) 咬,叮	(n) 街區	(n) 血
bite	(n) 咬,叮	(n) 街區	(n) 血	(n) 吹動,吹氣;強風;吹牛
block	(n) 街區	(n) 血	(n) 吹動,吹氣;強風;吹牛	(n) 小船
blood	(n) 血	(n) 吹動,吹氣;強風;吹牛	(n) 小船	(n) 身體
blow	(n) 吹動,吹氣;強風;吹牛	(n) 小船	(n) 身體	(n) 骨頭
boat	(n) 小船	(n) 身體	(n) 骨頭	(n) 書本
body	(n) 身體	(n) 骨頭	(n) 書本	(n) 底部;屁股
bone	(n) 骨頭	(n) 書本	(n) 底部;屁股	(n) 碗
book	(n) 書本	(n) 底部;屁股	(n) 碗	(n) 箱;盒;匣
bottom	(n) 底部;屁股	(n) 碗	(n) 箱;盒;匣	(n) 男孩
bowl	(n) 碗	(n) 箱;盒;匣	(n) 男孩	(n) 麵包
box	(n) 箱;盒;匣	(n) 男孩	(n) 麵包	(n) 暫停
boy	(n) 男孩	(n) 麵包	(n) 暫停	(n) 早餐
bread	(n) 麵包	(n) 暫停	(n) 早餐	(n) 橋
break	(n) 暫停	(n) 早餐	(n) 橋	(n) 兄;弟
breakfast	(n) 早餐	(n) 橋	(n) 兄;弟	(n) 雄性動物(鹿、羊或兔等)
bridge	(n) 橋	(n) 兄;弟	(n) 雄性動物(鹿、羊或兔等)	(n) 小蟲
brother	(n) 兄;弟	(n) 雄性動物(鹿、羊或兔等)	(n) 小蟲	(n) 建築物
buck	(n) 雄性動物(鹿、羊或兔等)	(n) 小蟲	(n) 建築物	(n) 公車
bug	(n) 小蟲	(n) 建築物	(n) 公車	(n) 奶油
building	(n) 建築物	(n) 公車	(n) 奶油	(n) 蝴蝶
bus	(n) 公車	(n) 奶油	(n) 蝴蝶	(n) 購買;便宜貨
butter	(n) 奶油	(n) 蝴蝶	(n) 購買;便宜貨	(n) 次要的東西;(體育比賽中)輪空
butterfly	(n) 蝴蝶	(n) 購買;便宜貨	(n) 次要的東西;(體育比賽中)輪空	(n) 計程車;出租馬車
buy	(n) 購買;便宜貨	(n) 次要的東西;(體育比賽中)輪空	(n) 計程車;出租馬車	(n) 鳥籠;獸籠
bye	(n) 次要的東西;(體育比賽中)輪空	(n) 計程車;出租馬車	(n) 鳥籠;獸籠	(n) 蛋糕
cab	(n) 計程車;出租馬車	(n) 鳥籠;獸籠	(n) 蛋糕	(n) 呼叫;請求;通話;(紙牌)叫牌;判決
cage	(n) 鳥籠;獸籠	(n) 蛋糕	(n) 呼叫;請求;通話;(紙牌)叫牌;判決	(n) 駱駝
cake	(n) 蛋糕	(n) 呼叫;請求;通話;(紙牌)叫牌;判決	(n) 駱駝	(n) 照相機
call	(n) 呼叫;請求;通話;(紙牌)叫牌;判決	(n) 駱駝	(n) 照相機	(n) 營地
camel	(n) 駱駝	(n) 照相機	(n) 營地	(n) 罐頭
camera	(n) 照相機	(n) 營地	(n) 罐頭	(n) 糖果
camp	(n) 營地	(n) 罐頭	(n) 糖果	(n) 無邊便帽;蓋子
can	(n) 罐頭	(n) 糖果	(n) 無邊便帽;蓋子	(n) 汽車
candy	(n) 糖果	(n) 無邊便帽;蓋子	(n) 汽車	(n) 卡片
cap	(n) 無邊便帽;蓋子	(n) 汽車	(n) 卡片	(n) 看護;保護;照料;管理;關懷;小心
car	(n) 汽車	(n) 卡片	(n) 看護;保護;照料;管理;關懷;小心	(n) 盒子;案件
card	(n) 卡片	(n) 看護;保護;照料;管理;關懷;小心	(n) 盒子;案件	(n) 貓
care	(n) 看護;保護;照料;管理;關懷;小心	(n) 盒子;案件	(n) 貓	(n) 抓住,捕捉;接球;把手;圈套
case	(n) 盒子;案件	(n) 貓	(n) 抓住,捕捉;接球;把手;圈套	(n) 原因;理由
cat	(n) 貓	(n) 抓住,捕捉;接球;把手;圈套	(n) 原因;理由	(n) 分(錢幣)
catch	(n) 抓住,捕捉;接球;把手;圈套	(n) 原因;理由	(n) 分(錢幣)	(n) 中心(點)
cause	(n) 原因;理由	(n) 分(錢幣)	(n) 中心(點)	(n) 機會
cent	(n) 分(錢幣)	(n) 中心(點)	(n) 機會	(n) 圖表
center	(n) 中心(點)	(n) 機會	(n) 圖表	(n) 追逐;追擊
chance	(n) 機會	(n) 圖表	(n) 追逐;追擊	(n) 支票;買單
chart	(n) 圖表	(n) 追逐;追擊	(n) 支票;買單	(n) 小雞
chase	(n) 追逐;追擊	(n) 支票;買單	(n) 小雞	(n) 雞;雞肉
check	(n) 支票;買單	(n) 小雞	(n) 雞;雞肉	(n) 首領;長官
chick	(n) 小雞	(n) 雞;雞肉	(n) 首領;長官	(n) 小孩
chicken	(n) 雞;雞肉	(n) 首領;長官	(n) 小孩	(n) 耶誕節
chief	(n) 首領;長官	(n) 小孩	(n) 耶誕節	(n) 教堂
child	(n) 小孩	(n) 耶誕節	(n) 教堂	(n) 都市
Christmas	(n) 耶誕節	(n) 教堂	(n) 都市	(n) 階級;班級;上課
church	(n) 教堂	(n) 都市	(n) 階級;班級;上課	(n) 打掃;去垢
city	(n) 都市	(n) 階級;班級;上課	(n) 打掃;去垢	(n) 攀登,攀爬
class	(n) 階級;班級;上課	(n) 打掃;去垢	(n) 攀登,攀爬	(n) 鐘
clean	(n) 打掃;去垢	(n) 攀登,攀爬	(n) 鐘	(n) 結束,終止;(金融)收盤價
climb	(n) 攀登,攀爬	(n) 鐘	(n) 結束,終止;(金融)收盤價	(n) 雲
clock	(n) 鐘	(n) 結束,終止;(金融)收盤價	(n) 雲	(n) 海岸
close	(n) 結束,終止;(金融)收盤價	(n) 雲	(n) 海岸	(n) 外套
cloud	(n) 雲	(n) 海岸	(n) 外套	(n) 咖啡
coast	(n) 海岸	(n) 外套	(n) 咖啡	(n) 可口可樂
coat	(n) 外套	(n) 咖啡	(n) 可口可樂	(n) 可樂
coffee	(n) 咖啡	(n) 可口可樂	(n) 可樂	(n) 感冒
Coke	(n) 可口可樂	(n) 可樂	(n) 感冒	(n) 公共用地,公有地
cola	(n) 可樂	(n) 感冒	(n) 公共用地,公有地	(n) 廚師
cold	(n) 感冒	(n) 公共用地,公有地	(n) 廚師	(n) 餅乾
common	(n) 公共用地,公有地	(n) 廚師	(n) 餅乾	(n) cookie
cook	(n) 廚師	(n) 餅乾	(n) cookie	(n) 涼爽
cookie	(n) 餅乾	(n) cookie	(n) 涼爽	(n) 警察
cooky	(n) cookie	(n) 涼爽	(n) 警察	(n) 玉米
cool	(n) 涼爽	(n) 警察	(n) 玉米	(n) 費用;成本
cop	(n) 警察	(n) 玉米	(n) 費用;成本	(n) 計數;計算
corn	(n) 玉米	(n) 費用;成本	(n) 計數;計算	(n) 國家;鄉下
cost	(n) 費用;成本	(n) 計數;計算	(n) 國家;鄉下	(n) 課程;科目
count	(n) 計數;計算	(n) 國家;鄉下	(n) 課程;科目	(n) 封面
country	(n) 國家;鄉下	(n) 課程;科目	(n) 封面	(n) 母牛
course	(n) 課程;科目	(n) 封面	(n) 母牛	(n) 牛仔
cover	(n) 封面	(n) 母牛	(n) 牛仔	(n) 鴉,烏鴉
cow	(n) 母牛	(n) 牛仔	(n) 鴉,烏鴉	(n) 叫喊;呼叫;(一陣)哭
cowboy	(n) 牛仔	(n) 鴉,烏鴉	(n) 叫喊;呼叫;(一陣)哭	(n) 幼鯨;牛棚
crow	(n) 鴉,烏鴉	(n) 叫喊;呼叫;(一陣)哭	(n) 幼鯨;牛棚	(n) 杯子
cry	(n) 叫喊;呼叫;(一陣)哭	(n) 幼鯨;牛棚	(n) 杯子	(n) 傷口;刻痕;削減;近路;曠課
cub	(n) 幼鯨;牛棚	(n) 杯子	(n) 傷口;刻痕;削減;近路;曠課	(n) 父親
cup	(n) 杯子	(n) 傷口;刻痕;削減;近路;曠課	(n) 父親	(n) 父親
cut	(n) 傷口;刻痕;削減;近路;曠課	(n) 父親	(n) 父親	(n) 舞會
dad	(n) 父親	(n) 父親	(n) 舞會	(n) 舞蹈演員;舞蹈家
daddy	(n) 父親	(n) 舞會	(n) 舞蹈演員;舞蹈家	(n) 危險
dance	(n) 舞會	(n) 舞蹈演員;舞蹈家	(n) 危險	(n) 黑暗,暗處;曖昧;隱晦
dancer	(n) 舞蹈演員;舞蹈家	(n) 危險	(n) 黑暗,暗處;曖昧;隱晦	(n) 日期
danger	(n) 危險	(n) 黑暗,暗處;曖昧;隱晦	(n) 日期	(n) 女兒
dark	(n) 黑暗,暗處;曖昧;隱晦	(n) 日期	(n) 女兒	(n) 白天;日
date	(n) 日期	(n) 女兒	(n) 白天;日	(n) 交易
daughter	(n) 女兒	(n) 白天;日	(n) 交易	(n) (常作稱呼)親愛的(人)
day	(n) 白天;日	(n) 交易	(n) (常作稱呼)親愛的(人)	(n) 死亡
deal	(n) 交易	(n) (常作稱呼)親愛的(人)	(n) 死亡	(n) 十二月
dear	(n) (常作稱呼)親愛的(人)	(n) 死亡	(n) 十二月	(n) 鹿
death	(n) 死亡	(n) 十二月	(n) 鹿	(n) 書桌
December	(n) 十二月	(n) 鹿	(n) 書桌	(n) 刺,戳,碰;挖苦
deer	(n) 鹿	(n) 書桌	(n) 刺,戳,碰;挖苦	(n) 晚餐
desk	(n) 書桌	(n) 刺,戳,碰;挖苦	(n) 晚餐	(n) 盤子;一盤菜
dig	(n) 刺,戳,碰;挖苦	(n) 晚餐	(n) 盤子;一盤菜	(n) 狗
dinner	(n) 晚餐	(n) 盤子;一盤菜	(n) 狗	(n) 洋娃娃
dish	(n) 盤子;一盤菜	(n) 狗	(n) 洋娃娃	(n) 美元
dog	(n) 狗	(n) 洋娃娃	(n) 美元	(n) 門
doll	(n) 洋娃娃	(n) 美元	(n) 門	(n) 鴿
dollar	(n) 美元	(n) 門	(n) 鴿	(n) 下降;蕭條;絨毛;有草丘陵地
door	(n) 門	(n) 鴿	(n) 下降;蕭條;絨毛;有草丘陵地	(n) 樓下
dove	(n) 鴿	(n) 下降;蕭條;絨毛;有草丘陵地	(n) 樓下	(n) 一打
down	(n) 下降;蕭條;絨毛;有草丘陵地	(n) 樓下	(n) 一打	(n) 平局;平手
downstairs	(n) 樓下	(n) 一打	(n) 平局;平手	(n) 夢
dozen	(n) 一打	(n) 平局;平手	(n) 夢	(n) 飲料
draw	(n) 平局;平手	(n) 夢	(n) 飲料	(n) 喝酒
dream	(n) 夢	(n) 飲料	(n) 喝酒	(n) 兜風;車程;幹勁;比賽
drink	(n) 飲料	(n) 喝酒	(n) 兜風;車程;幹勁;比賽	(n) 司機
drinking	(n) 喝酒	(n) 兜風;車程;幹勁;比賽	(n) 司機	(n) 鴨
drive	(n) 兜風;車程;幹勁;比賽	(n) 司機	(n) 鴨	(n) 小鴨
driver	(n) 司機	(n) 鴨	(n) 小鴨	(n) 老鷹
duck	(n) 鴨	(n) 小鴨	(n) 老鷹	(n) 耳朵
duckling	(n) 小鴨	(n) 老鷹	(n) 耳朵	(n) 地球;土地
eagle	(n) 老鷹	(n) 耳朵	(n) 地球;土地	(n) 容易;不費力;舒適;悠閒,放鬆,緩和
ear	(n) 耳朵	(n) 地球;土地	(n) 容易;不費力;舒適;悠閒,放鬆,緩和	(n) 東方
earth	(n) 地球;土地	(n) 容易;不費力;舒適;悠閒,放鬆,緩和	(n) 東方	(n) 邊緣;優勢
ease	(n) 容易;不費力;舒適;悠閒,放鬆,緩和	(n) 東方	(n) 邊緣;優勢	(n) 蛋
east	(n) 東方	(n) 邊緣;優勢	(n) 蛋	(n) 八
edge	(n) 邊緣;優勢	(n) 蛋	(n) 八	(n) 十八
egg	(n) 蛋	(n) 八	(n) 十八	(n) 八十
eight	(n) 八	(n) 十八	(n) 八十	(n) 大象
eighteen	(n) 十八	(n) 八十	(n) 大象	(n) 十一
eighty	(n) 八十	(n) 大象	(n) 十一	(n) 盡頭;結局
elephant	(n) 大象	(n) 十一	(n) 盡頭;結局	(n) 英語
eleven	(n) 十一	(n) 盡頭;結局	(n) 英語	(n) 足夠,充分
end	(n) 盡頭;結局	(n) 英語	(n) 足夠,充分	(n) 相等的事物;相等的數量
English	(n) 英語	(n) 足夠,充分	(n) 相等的事物;相等的數量	(n) 傍晚
enough	(n) 足夠,充分	(n) 相等的事物;相等的數量	(n) 傍晚	(n) 考試
equal	(n) 相等的事物;相等的數量	(n) 傍晚	(n) 考試	(n) 檢查,調查
evening	(n) 傍晚	(n) 考試	(n) 檢查,調查	(n) 例子
exam	(n) 考試	(n) 檢查,調查	(n) 例子	(n) 眼睛
examination	(n) 檢查,調查	(n) 例子	(n) 眼睛	(n) 臉
example	(n) 例子	(n) 眼睛	(n) 臉	(n) 事實
eye	(n) 眼睛	(n) 臉	(n) 事實	(n) 工廠
face	(n) 臉	(n) 事實	(n) 工廠	(n) 秋天
fact	(n) 事實	(n) 工廠	(n) 秋天	(n) 家庭
factory	(n) 工廠	(n) 秋天	(n) 家庭	(n) 農場
fall	(n) 秋天	(n) 家庭	(n) 農場	(n) 農夫
family	(n) 家庭	(n) 農場	(n) 農夫	(n) (動,植物)脂肪;油脂
farm	(n) 農場	(n) 農夫	(n) (動,植物)脂肪;油脂	(n) 父親
farmer	(n) 農夫	(n) (動,植物)脂肪;油脂	(n) 父親	(n) 懼怕
fat	(n) (動,植物)脂肪;油脂	(n) 父親	(n) 懼怕	(n) 二月
father	(n) 父親	(n) 懼怕	(n) 二月	(n) (動物或嬰兒的)一餐;飼料
fear	(n) 懼怕	(n) 二月	(n) (動物或嬰兒的)一餐;飼料	(n) 觸覺;手感;觸,摸;感覺,氣氛
February	(n) 二月	(n) (動物或嬰兒的)一餐;飼料	(n) 觸覺;手感;觸,摸;感覺,氣氛	(n) 感覺
