盆地 (ぼんち)	basin 	each time	pillow	to taste
人文科学 (じんぶんかがく)	humanities	extreme	figure	chart
甚だしい (はなはだしい)	extreme	figure	chart	snow storm
図形 (ずけい)	figure	chart	snow storm	vertical 
図表 (ずひょう)	chart	snow storm	vertical 	water vapour
吹雪 (ふぶき)	snow storm	vertical 	water vapour	drop of water 
垂直 (すいちょく)	vertical 	water vapour	drop of water 	canteen
水蒸気 (すいじょうき)	water vapour	drop of water 	canteen	horizontal
水滴 (すいてき)	drop of water 	canteen	horizontal	horizon 
水筒 (すいとう)	canteen	horizontal	horizon 	cooking
水平 (すいへい)	horizontal	horizon 	cooking	drunkard
水平線 (すいへいせん)	horizon 	cooking	drunkard	essays
炊事 (すいじ)	cooking	drunkard	essays	to become clear 
酔っ払い (よっぱらい)	drunkard	essays	to become clear 	measurement
随筆 (ずいひつ)	essays	to become clear 	measurement	square
澄む (すむ)	to become clear 	measurement	square	main gate
寸法 (すんぽう)	measurement	square	main gate	clear
正方形 (せいほうけい)	square	main gate	clear	impertinent
正門 (せいもん)	main gate	clear	impertinent	growth 
清い (きよい)	clear	impertinent	growth 	birth date
生意気 (なまいき)	impertinent	growth 	birth date	to serve 
生長 (せいちょう)	growth 	birth date	to serve 	Common Era
生年月日 (せいねんがっぴ)	birth date	to serve 	Common Era	to swear
盛る (もる)	to serve 	Common Era	to swear	pale
西暦 (せいれき)	Common Era	to swear	pale	regrettable
誓う (ちかう)	to swear	pale	regrettable	to pile up
青白い (あおじろい)	pale	regrettable	to pile up	equator
惜しい (おしい)	regrettable	to pile up	equator	connection
積む (つむ)	to pile up	equator	connection	to tell someone's fortune
赤道 (せきどう)	equator	connection	to tell someone's fortune	folding fan
接続 (せつぞく)	connection	to tell someone's fortune	folding fan	electric fan
占う (うらなう)	to tell someone's fortune	folding fan	electric fan	surface mail 
扇子 (せんす)	folding fan	electric fan	surface mail 	ancestor
扇風機 (せんぷうき)	electric fan	surface mail 	ancestor	outline
船便 (ふなびん)	surface mail 	ancestor	outline	character
祖先 (そせん)	ancestor	outline	character	to assemble
あらすじ (粗筋)	outline	character	to assemble	fast-talking
素質 (そしつ)	character	to assemble	fast-talking	at once
組み立てる (くみたてる)	to assemble	fast-talking	at once	zori
早口 (はやくち)	fast-talking	at once	zori	farewell
早速 (さっそく)	at once	zori	farewell	noisy
草履 (ぞうり)	zori	farewell	noisy	increase and decrease
送別 (そうべつ)	farewell	noisy	increase and decrease	to hate
騒がしい (さわがしい)	noisy	increase and decrease	to hate	measurement
増減 (ぞうげん)	increase and decrease	to hate	measurement	to be sufficient
憎む (にくむ)	to hate	measurement	to be sufficient	express
測量 (そくりょう)	measurement	to be sufficient	express	to think
足る (たる)	to be sufficient	express	to think	loss and gain
速達 (そくたつ)	express	to think	loss and gain	valid
存じる (ぞんじる)	to think	loss and gain	valid	capacity
損得 (そんとく)	loss and gain	valid	capacity	contrast
妥当 (だとう)	valid	capacity	contrast	to rendezvous
体積 (たいせき)	capacity	contrast	to rendezvous	to be negligent in doing something
対照 (たいしょう)	contrast	to rendezvous	to be negligent in doing something	pronoun 
待ち合わせる (まちあわせる)	to rendezvous	to be negligent in doing something	pronoun 	main street
怠る (おこたる)	to be negligent in doing something	pronoun 	main street	large tree
代名詞 (だいめいし)	pronoun 	main street	large tree	to become muddy
大通り (おおどおり)	main street	large tree	to become muddy	derailment 
大木 (たいぼく)	large tree	to become muddy	derailment 	to shoulder
濁る (にごる)	to become muddy	derailment 	to shoulder	to feel around for
脱線 (だっせん)	derailment 	to shoulder	to feel around for	defect
担ぐ (かつぐ)	to shoulder	to feel around for	defect	chest of drawers
探る (さぐる)	to feel around for	defect	chest of drawers	suspension of water supply
短所 (たんしょ)	defect	chest of drawers	suspension of water supply	conclusion
たんす (箪笥)	chest of drawers	suspension of water supply	conclusion	geological features
断水 (だんすい)	suspension of water supply	conclusion	geological features	to put clothes on 
断定 (だんてい)	conclusion	geological features	to put clothes on 	changing clothes
地質 (ちしつ)	geological features	to put clothes on 	changing clothes	neutrality 
着せる (きせる)	to put clothes on 	changing clothes	neutrality 	intimate friend
着替え (きがえ)	changing clothes	neutrality 	intimate friend	nap 
中性 (ちゅうせい)	neutrality 	intimate friend	nap 	to be in high spirits
仲良し (なかよし)	intimate friend	nap 	to be in high spirits	to carve
昼寝 (ひるね)	nap 	to be in high spirits	to carve	regulation
張り切る (はりきる)	to be in high spirits	to carve	regulation	seasoning
彫る (ほる)	to carve	regulation	seasoning	to jump
調節 (ちょうせつ)	regulation	seasoning	to jump	strong point
調味料 (ちょうみりょう)	seasoning	to jump	strong point	rectangle
跳ねる (はねる)	to jump	strong point	rectangle	right angle
長所 (ちょうしょ)	strong point	rectangle	right angle	direct line
長方形 (ちょうほうけい)	rectangle	right angle	direct line	to pass 
直角 (ちょっかく)	right angle	direct line	to pass 	passbook
直通 (ちょくつう)	direct line	to pass 	passbook	popular use
追い越す (おいこす)	to pass 	passbook	popular use	nail 
通帳 (つうちょう)	passbook	popular use	nail 	stopping 
通用 (つうよう)	popular use	nail 	stopping 	commuter pass
爪 (つめ)	nail 	stopping 	commuter pass	measuring ruler
停車 (ていしゃ)	stopping 	commuter pass	measuring ruler	regular holiday
定期券 (ていきけん)	commuter pass	measuring ruler	regular holiday	nail 
定規 (じょうぎ)	measuring ruler	regular holiday	nail 	railway bridge
定休日 (ていきゅうび)	regular holiday	nail 	railway bridge	gun 
釘 (くぎ)	nail 	railway bridge	gun 	to roll 
鉄橋 (てっきょう)	railway bridge	gun 	to roll 	to roll
鉄砲 (てっぽう)	gun 	to roll 	to roll	to be handed down
転がす (ころがす)	to roll 	to roll	to be handed down	biography
転がる (ころがる)	to roll	to be handed down	biography	contagion
伝わる (つたわる)	to be handed down	biography	contagion	rice planting
伝記 (でんき)	biography	contagion	rice planting	light bulb
伝染 (でんせん)	contagion	rice planting	light bulb	utility pole
田植え (たうえ)	rice planting	light bulb	utility pole	electric current
電球 (でんきゅう)	light bulb	utility pole	electric current	to shout
電柱 (でんちゅう)	utility pole	electric current	to shout	steam
電流 (でんりゅう)	electric current	to shout	steam	lighthouse 
怒鳴る (どなる)	to shout	steam	lighthouse 	lamp oil
湯気 (ゆげ)	steam	lighthouse 	lamp oil	being on duty
灯台 (とうだい)	lighthouse 	lamp oil	being on duty	division into equal parts
灯油 (とうゆ)	lamp oil	being on duty	division into equal parts	to set free
当番 (とうばん)	being on duty	division into equal parts	to set free	to be transparent
等分 (とうぶん)	division into equal parts	to set free	to be transparent	pupil 
逃がす (にがす)	to set free	to be transparent	pupil 	special sale
透き通る (すきとおる)	to be transparent	pupil 	special sale	to run into
瞳 (ひとみ)	pupil 	special sale	to run into	to thrust 
特売 (とくばい)	special sale	to run into	to thrust 	rainbow
突き当たる (つきあたる)	to run into	to thrust 	rainbow	sunrise
突っ込む (つっこむ)	to thrust 	rainbow	sunrise	shade
虹 (にじ)	rainbow	sunrise	shade	daily lesson
日の出 (ひので)	sunrise	shade	daily lesson	day trip
日陰 (ひかげ)	shade	daily lesson	day trip	daily necessities
日課 (にっか)	daily lesson	day trip	daily necessities	to heat
日帰り (ひがえり)	day trip	daily necessities	to heat	efficiency 
日用品 (にちようひん)	daily necessities	to heat	efficiency 	to assume the posture of praying
熱する (ねっする)	to heat	efficiency 	to assume the posture of praying	to carry on one's back 
能率 (のうりつ)	efficiency 	to assume the posture of praying	to carry on one's back 	stand
拝む (おがむ)	to assume the posture of praying	to carry on one's back 	stand	to give shelter to
背負う (せおう)	to carry on one's back 	stand	to give shelter to	to dilute
売店 (ばいてん)	stand	to give shelter to	to dilute	dim
泊める (とめる)	to give shelter to	to dilute	dim	underwear
薄める (うすめる)	to dilute	dim	underwear	bowl
薄暗い (うすぐらい)	dim	underwear	bowl	show 
肌着 (はだぎ)	underwear	bowl	show 	house number
鉢 (はち)	bowl	show 	house number	cowardice
発揮 (はっき)	show 	house number	cowardice	comparatively
番地 (ばんち)	house number	cowardice	comparatively	taking notes
卑怯 (ひきょう)	cowardice	comparatively	taking notes	sign
比較的 (ひかくてき)	comparatively	taking notes	sign	example
筆記 (ひっき)	taking notes	sign	example	bottling
標識 (ひょうしき)	sign	example	bottling	misfortune
標本 (ひょうほん)	example	bottling	misfortune	irregularity
瓶詰め (びんづめ)	bottling	misfortune	irregularity	unclean
不運 (ふうん)	misfortune	irregularity	unclean	suspension
不規則 (ふきそく)	irregularity	unclean	suspension	to float
不潔 (ふけつ)	unclean	suspension	to float	to float
不通 (ふつう)	suspension	to float	to float	sign
浮かべる (うかべる)	to float	to float	sign	copying
浮かぶ (うかぶ)	to float	sign	copying	to deposit
符号 (ふごう)	sign	copying	to deposit	to repay
複写 (ふくしゃ)	copying	to deposit	to repay	ruler
払い込む (はらいこむ)	to deposit	to repay	ruler	dangerous
払い戻す (はらいもどす)	to repay	ruler	dangerous	storage room
物指 (ものさし)	ruler	dangerous	storage room	disassembly
物騒 (ぶっそう)	dangerous	storage room	disassembly	amount
物置 (ものおき)	storage room	disassembly	amount	water fountain
分解 (ぶんかい)	disassembly	amount	water fountain	literary style
分量 (ぶんりょう)	amount	water fountain	literary style	stationery
噴水 (ふんすい)	water fountain	literary style	stationery	context
文体 (ぶんたい)	literary style	stationery	context	hiragana
文房具 (ぶんぼうぐ)	stationery	context	hiragana	coolness
文脈 (ぶんみゃく)	context	hiragana	coolness	ordinary
ひらがな (平仮名)	hiragana	coolness	ordinary	going side-by-side
平気 (へいき)	coolness	ordinary	going side-by-side	katakana
平凡 (へいぼん)	ordinary	going side-by-side	katakana	one-way 
並行 (へいこう)	going side-by-side	katakana	one-way 	to be put in order
かたかな (片仮名)	katakana	one-way 	to be put in order	to knit
片道 (かたみち)	one-way 	to be put in order	to knit	to return
片付く (かたづく)	to be put in order	to knit	to return	toilet
編む (あむ)	to knit	to return	toilet	writing paper
返る (かえる)	to return	toilet	writing paper	to take
便所 (べんじょ)	toilet	writing paper	to take	to compensate for
便箋 (びんせん)	writing paper	to take	to compensate for	to destroy
捕る (とる)	to take	to compensate for	to destroy	direction
補う (おぎなう)	to compensate for	to destroy	direction	equation
崩す (くずす)	to destroy	direction	equation	law
方角 (ほうがく)	direction	equation	law	to sew
方程式 (ほうていしき)	equation	law	to sew	Buddhist priest
法則 (ほうそく)	law	to sew	Buddhist priest	to disturb
縫う (ぬう)	to sew	Buddhist priest	to disturb	to act violently
坊さん (ぼうさん)	Buddhist priest	to disturb	to act violently	to expand
妨げる (さまたげる)	to disturb	to act violently	to expand	North Pole 
暴れる (あばれる)	to act violently	to expand	North Pole 	stock-farming
膨らむ (ふくらむ)	to expand	North Pole 	stock-farming	revision
北極 (ほっきょく)	North Pole 	stock-farming	revision	strengthening
牧畜 (ぼくちく)	stock-farming	revision	strengthening	cultural exchange
改正 (かいせい)	revision	strengthening	cultural exchange	structure
強化 (きょうか)	strengthening	cultural exchange	structure	posture
交流 (こうりゅう)	cultural exchange	structure	posture	circumference
構造 (こうぞう)	structure	posture	circumference	political party
姿勢 (しせい)	posture	circumference	political party	order
周辺 (しゅうへん)	circumference	political party	order	measure
政党 (せいとう)	political party	order	measure	grade
体制 (たいせい)	order	measure	grade	adjustment
対策 (たいさく)	measure	grade	adjustment	eldest son 
段階 (だんかい)	grade	adjustment	eldest son 	unity
調整 (ちょうせい)	adjustment	eldest son 	unity	policy
長男 (ちょうなん)	eldest son 	unity	policy	headquarters
統一 (とういつ)	unity	policy	headquarters	private
方針 (ほうしん)	policy	headquarters	private	union
本部 (ほんぶ)	headquarters	private	union	standard
民間 (みんかん)	private	union	standard	extension
連合 (れんごう)	union	standard	extension	breaking up 
基準 (きじゅん)	standard	extension	breaking up 	reply
延長 (えんちょう)	extension	breaking up 	reply	opening 
解散 (かいさん)	breaking up 	reply	opening 	department of a university 
回答 (かいとう)	reply	opening 	department of a university 	observation
開放 (かいほう)	opening 	department of a university 	observation	foundation
学部 (がくぶ)	department of a university 	observation	foundation	base 
観測 (かんそく)	observation	foundation	base 	public
基礎 (きそ)	foundation	base 	public	formal
基地 (きち)	base 	public	formal	construction work
公共 (こうきょう)	public	formal	construction work	nationality
公式 (こうしき)	formal	construction work	nationality	national
工事 (こうじ)	construction work	nationality	national	materials
国籍 (こくせき)	nationality	national	materials	self-government
国立 (こくりつ)	national	materials	self-government	achievements
資料 (しりょう)	materials	self-government	achievements	real ability
自治 (じち)	self-government	achievements	real ability	taking an examination 
実績 (じっせき)	achievements	real ability	taking an examination 	assumption 
実力 (じつりょく)	real ability	taking an examination 	assumption 	meeting
受験 (じゅけん)	taking an examination 	assumption 	meeting	focus 
就任 (しゅうにん)	assumption 	meeting	focus 	formation
集会 (しゅうかい)	meeting	focus 	formation	maintenance
焦点 (しょうてん)	focus 	formation	maintenance	aim
成立 (せいりつ)	formation	maintenance	aim	confrontation
整備 (せいび)	maintenance	aim	confrontation	middle
狙い (ねらい)	aim	confrontation	middle	immediately following
対立 (たいりつ)	confrontation	middle	immediately following	just before
中間 (ちゅうかん)	middle	immediately following	just before	currency
直後 (ちょくご)	immediately following	just before	currency	suspension
直前 (ちょくぜん)	just before	currency	suspension	development
通貨 (つうか)	currency	suspension	development	north and south
停止 (ていし)	suspension	development	north and south	schedule
展開 (てんかい)	development	north and south	schedule	prevention
南北 (なんぼく)	north and south	schedule	prevention	transport
日程 (にってい)	schedule	prevention	transport	temporary
防止 (ぼうし)	prevention	transport	temporary	Emperor of Japan
輸送 (ゆそう)	transport	temporary	Emperor of Japan	amount sold
臨時 (りんじ)	temporary	Emperor of Japan	amount sold	at least
天皇 (てんのう)	Emperor of Japan	amount sold	at least	mutual
売り上げ (うりあげ)	amount sold	at least	mutual	procedure
少なくとも (すくなくとも)	at least	mutual	procedure	enquiry
相互 (そうご)	mutual	procedure	enquiry	editing
手続き (てつづき)	procedure	enquiry	editing	money order
問い合わせ (といあわせ)	enquiry	editing	money order	fixed
編集 (へんしゅう)	editing	money order	fixed	to recite
為替 (かわせ)	money order	fixed	to recite	proof
一定 (いってい)	fixed	to recite	proof	unmarried woman 
