一毛[不拔]	形容人非常吝嗇。貶義。
養尊[處優]	自處尊貴，生活優裕。
難能[可貴]	指做到了不容易做到的事，所以特別可貴。褒義。
脫胎[換骨]	比喻澈底改變。
養虎[遺患]	比喻不除去仇敵、惡人，將給自己留下後患。
奮不[顧身]	奮勇向前，不顧生死。
身敗[名裂]	指人澈底失敗。
潛移[默化]	人的思想、性格或習慣受到影響，不知不覺中起了變化。
輕而[易舉]	形容非常輕鬆，毫不費力。
漠不[關心]	指冷冷淡淡，不加關心。
笑逐[顏開]	形容心中喜悅而眉開眼笑的樣子。
牛衣[對泣]	比喻夫妻共度貧困的生活。
舞文[弄墨]	寫作、寫字，借以比喻賣弄筆墨文辭。
披肝[瀝膽]	比喻赤誠相待，忠貞不二。
事與[願違]	事實和願望相違背。
暢所[欲言]	痛痛快快、毫無顧忌地把想說的話全部講出來。
目不[見睫]	比喻人無自知之明，不能看見自己的過失。貶義。
兩面[三刀]	比喻陰險狡猾，耍兩面手法，挑撥是非。貶義。
拋頭[露面]	泛指出現在大眾面前。
雨後[春筍]	比喻事物在某一時期後大量湧現，迅速發展。
盡忠[報國]	竭盡忠誠，報效國家。褒義。
金城[湯池]	形容堅固險阻的城池。
戮力[同心]	齊心合力，團結一致。
枉費[心機]	形容徒勞無功。
憂心[如焚]	形容非常焦急憂慮。
以毒[攻毒]	用有毒的藥物來治療毒瘡等疾病。＆比喻用狠毒的手段來對付狠毒的手段或人。
目無[全牛]	比喻技藝純熟高超。褒義。
搜索[枯腸]	比喻竭力思索。
金戈[鐵馬]	形容戰士的雄壯英姿。褒義。
近水[樓臺]	比喻佔得地利之便，先得機會。
四分[五裂]	形容分散而不完整、不團結。
壽比[南山]	壽命如終南山那樣長久。為祝人長壽之辭。
美中[不足]	事物雖美，但仍有缺陷。
枯木[逢春]	比喻雖處於絕境卻重獲生機，或劣境忽然轉好。
腹背[受敵]	前、後都受到敵人的攻擊。
過猶[不及]	做事過分就好比做得不夠一樣，皆不妥當；指事情要做得恰到好處。
咬牙[切齒]	形容非常悲痛憤恨。
威風[凜凜]	威武的氣概逼人，令人敬畏的樣子。
身無[長物]	比喻節儉或貧困。
義無[反顧]	秉持正義，勇往直前，絕不退縮。
裝模[作樣]	故意做作，不是出於自然的表現。貶義。
裝腔[作勢]	指故意裝出某種腔調或姿態。貶義。
愁眉[苦臉]	形容憂傷、愁苦的神色。
枵腹[從公]	形容不顧己身，勤於公事。
入室[操戈]	進入房間，拿起主人的戈來攻擊主人。＆比喻持對方的論點來反駁對方。
趁火[打劫]	比喻趁人之危，從中取利。
勢均[力敵]	指雙方力量情勢相當，不分上下。
相知[恨晚]	憾恨相知不早。
貽笑[大方]	被識見廣博或精通此道的內行人所譏笑。
無能[為力]	指沒有能力做好某事。
方寸[已亂]	心緒煩亂。
殺人[如麻]	形容殺人極多。
風平[浪靜]	無風無浪。＆比喻平靜無事或情勢穩定。
子虛[烏有]	比喻為假設而非實有的事物。
通宵[達旦]	一整夜到天亮。＆徹夜地工作。
氣急[敗壞]	形容惱怒的樣子。
雪上[加霜]	比喻禍患接踵而至，使傷害加重。
尸位[素餐]	指空居職位享受俸祿而不盡職守。貶義。
循序[漸進]	按照一定的次序與步驟逐漸推進。
野心[勃勃]	形容狂妄非分之心或遠大的企圖。
無法[無天]	形容人肆意妄為毫無顧忌。貶義。
人言[可畏]	流言蜚語令人生畏。
坐立[不安]	形容焦急、煩躁，心神不寧的樣子。
好高[騖遠]	一味地嚮往高遠的目標而不切實際。貶義。
孺子[可教]	指年輕人可以教誨裁培。褒義。
將信[將疑]	形容對事情的真假，無法明確判斷。
一傅[眾咻]	比喻學習受到干擾，難有成效。＆比喻寡不勝眾。
微乎[其微]	形容事物非常微小。
蓬頭[垢面]	形容人頭髮散亂、面容骯髒的樣子。貶義。
草草[了事]	指匆忙隨便地解決事情。
紛至[沓來]	形容事物紛紛不斷地到來。
洞天[福地]	神仙居住或修道的地方。＆形容環境極為優美舒適的名山勝境。
揚長[而去]	掉頭不理，大模大樣地離去。
不辨[菽麥]	形容愚昧無知與缺乏常識。
得魚[忘筌]	比喻人在達到目的成功後就忘掉賴以成功的手段或憑藉物。
綱舉[目張]	比喻能執其要領，則細節自能順理而成。＆比喻條理分明。
鷸蚌[相爭]	比喻雙方爭執不相讓，必會造成兩敗俱傷，而讓第三者獲得利益。
鑄成[大錯]	比喻造成重大的錯誤。
瞭如[指掌]	比喻對事情的狀況了解得非常清楚。
與虎[謀皮]	比喻所謀者與對方有利害衝突，事情必辦不成。
尋章[摘句]	讀書時著重搜求、摘取漂亮詞句，而少深入研究。＆寫作時，多套用前人的章法、語句，而不講究創意。
堅壁[清野]	一種作戰策略，使敵人即使在攻下據點之後，也無法長期占領。
應聲[蟲]	比喻胸無定見，隨聲附和的人。
曾參[殺人]	比喻流言可畏或稱誣枉的災禍。
倒屣[相迎]	比喻熱情迎接賓客。
堂堂[正正]	形容光明正大。
盡善[盡美]	形容事物的完善美滿已達極限。褒義。
首屈[一指]	表示第一或最優秀。褒義。
眾望[所歸]	深得眾人擁護、愛戴。
肅然[起敬]	因受感動而莊嚴地興起欽佩恭敬之心。
鴻鵠[之志]	比喻志向遠大。
坦腹[東床]	王羲之坦露腹部，臥於東床，被看中當人女婿的故事。＆指當女婿或指稱女婿。
鳥盡[弓藏]	比喻事成之後，有功之人卻遭到殺戮或疏遠的命運。
揭竿[而起]	比喻起義舉事。
逼上[梁山]	比喻被迫走上絕路，而做出自己不想做或不應做的事。
形影[不離]	形容關係密切，無時無處不在一起。
下里[巴人]	後泛指通俗的文學藝術。
不謀[而合]	事前未經商量，後來意見作為卻一致。
一決[雌雄]	比喻互相較量以決定勝敗、高下。
反覆[無常]	形容變動不定，沒有定準。
方枘[圓鑿]	比喻不能相容。
依樣[畫葫蘆]	比喻一味模仿，毫無創見。
秋風[過耳]	比喻漠不關心、毫不在意。
氣象[萬千]	形容景象千變萬化，極為壯觀。
哀鴻[遍野]	比喻到處都是流離失所的難民。
師心[自用]	形容人固執己見，自以為是。貶義。
簞食[壺漿]	指軍隊受到人民的擁護與愛戴，紛紛慰勞犒賞。
駭人[聽聞]	令人聽了十分震驚。
厲兵[秣馬]	指完成作戰準備。＆比喻完成事前準備工作。
燕雀[處堂]	比喻身處危境而不自知，毫無警惕之心。
結草[銜環]	比喻至死不忘感恩圖報。
疾風[勁草]	比喻在艱難困苦的環境下，才能考驗出人的堅強意志和節操。
偃武[修文]	偃息武備，提倡文教。
禍起[蕭牆]	比喻禍亂發生於內部。
甚囂[塵上]	形容傳聞四起，議論紛紛。＆指極為猖狂、囂張。
捉襟[見肘]	形容衣衫破敗，生活貧困。＆比喻短缺不足，窮於應付的窘態。
超群[絕倫]	形容才能出眾。褒義。
良藥[苦口]	表示能治病的藥，多味苦難嚥。＆比喻諫言多不順耳，但卻有益於人。
忘年[之交]	不拘年歲行輩而結交為友。
自出[機杼]	比喻獨創新意、風格。褒義。
防患[未然]	比喻趁禍患還未發生之前就加以防備。
網開[一面]	比喻寬大仁厚，對犯錯的人從寬處置。
相濡[以沫]	比喻人同處於困境，而互相以微力救助。
縱虎[歸山]	比喻放走敵人，後患無窮。
老嫗[能解]	形容文字通俗明白，淺顯易懂。
木人[石心]	形容人冷酷無情。
坐懷[不亂]	形容男子行事端正，雖與女子同處而不淫亂。褒義。
黨同[伐異]	泛指一切團體之間的鬥爭。
朝令[夕改]	比喻政令、主張或意見反覆無常。
欲罷[不能]	想要停止卻做不到。
破天[荒]	形容從來沒有過的事，或第一次出現的事。
教學[相長]	指通過教授、學習，不但能使學生得到進步，而且教師本身的水準也可藉此提高。
向壁[虛造]	比喻憑空捏造。
酒池[肉林]	比喻生活極端奢侈縱欲，毫無節制。
大喜[過望]	因結果超過原本預期而感到特別高興。
反脣[相稽]	受到指責不服氣，反過來對對方加以計較、譏斥。
百戰[百勝]	形容善於作戰，所向無敵。
藍田[生玉]	比喻名門出俊秀子弟。
響遏[行雲]	形容歌聲響亮高妙。
剖腹[藏珠]	形容人愛財傷身的輕重顛倒行為。
以卵[投石]	比喻自不量力或以弱攻強，結果必然失敗。
魯魚[亥豕]	指因文字形似而致傳寫或刊刻錯誤。
慘綠[少年]	比喻青春年少。＆風度翩翩、意氣風發的青年才俊。＆徬徨苦惱的少年。
殷鑒[不遠]	比喻前人的教訓近在眼前，不可不慎。
摩肩[接踵]	形容人多擁擠不堪。
以管[窺天]	比喻見識片面而狹窄。
野人[獻曝]	比喻平凡人所貢獻的平凡事物。
夢筆[生花]	比喻才思泉湧、文筆富麗。
戶限[為穿]	形容來訪人數眾多。
白頭[偕老]	形容夫妻恩愛到老。
沉魚[落雁]	形容女子容貌美麗出眾。褒義。
耳邊[風]	比喻對所聽到的事毫不關心。
知己[知彼]	正確澈底地了解自己以及對手的實力。
露出[馬腳]	比喻隱蔽的真相洩露出來。
屋下[架屋]	比喻重複模仿，無所創新。貶義。
背水[一戰]	比喻抱著必死的決心，奮戰取勝。
山木[自寇]	比喻人因擁有才能而招致禍患。
尺幅[千里]	指篇幅雖短而內容豐富，氣勢遠大。
嘆為[觀止]	讚美所看到的事物好到極點，無與倫比。褒義。
行屍[走肉]	比喻徒具形骸，毫無生氣，庸碌無為的人。
負重[致遠]	比喻能夠長期擔負重責大任。
登徒[子]	貪戀女色的人。貶義。
明珠[暗投]	比喻懷才不遇，高才屈居下位。＆比喻好人誤入歧途。
休戚[與共]	形容彼此同甘共苦。
助紂[為虐]	比喻協助壞人做壞事。貶義。
直搗[黃龍]	直接進擊敵方都城、巢穴。
防意[如城]	防止私欲的心有如防止敵人攻城。
涇渭[分明]	比喻彼此的區別非常清楚。
反求[諸己]	從自己本身找出原因，自我反省。
一無[所知]	比喻人什麼也不知道。
夢寐[以求]	形容願望強烈、迫切。
玩火[自焚]	比喻盲動、蠻幹的人最後將自食惡果。
黃鐘[毀棄]	比喻賢才不被重用。
見景[生情]	看到眼前的景象而觸發自己的情感。＆比喻隨機應變。
移天[易日]	比喻奸臣盜弄政權，顛倒是非，欺上瞞下。
東道[主]	泛指接待或宴請賓客的主人。
樂而[忘返]	指快樂得忘了回去。
折衝[尊俎]	在酒宴談判間，不以武力制敵取勝。
同流[合汙]	跟壞人一起做壞事。貶義。
勢不[可當]	來勢迅速、猛烈，無法抵擋。
破釜[沉舟]	形容做事果決，義無反顧。
舞文[弄法]	指歪曲法律條文。
遊刃[有餘]	比喻做事能勝任愉快，從容不迫。
如坐[針氈]	比喻身心痛苦，惶恐難安。
魚遊[釜中]	比喻身處險境，危在旦夕。
黃粱[一夢]	比喻榮華富貴如夢般短暫而虛幻，且終歸泡影。
青雲[直上]	比喻順利而迅速地升上高位。
同心[協力]	團結一致，共同努力。
數一[數二]	指獨特突出或名列前茅。
牢不[可破]	形容事情或觀念已經固定，難以改變。
放浪[形骸]	形容縱情放任，不受世俗禮教約束。
我行[我素]	形容人不受外界影響，仍然依照自己的心意行事。
毀家[紓難]	傾盡家產以解救國家危難。
錦心[繡口]	形容心思精巧，能寫出華美的作品。
虛應[故事]	形容做事不認真，敷衍了事。
眉清[目秀]	形容面貌清秀俊麗。
損人[利己]	使別人蒙受損失而讓自己得到利益。
苗而[不秀]	禾苗雖然成長，卻不吐穗開花。＆比喻人的資質雖好，但始終沒有成就。
來日[方長]	將來的日子還很長，指事情未來還有發展或變化。
物腐[蟲生]	比喻事出有因，必先有弱點而後才讓他人有機可乘。
瑕瑜[互見]	比喻缺點與優點同時並存。
青面[獠牙]	形容面容非常凶惡可怕。
拈花[惹草]	比喻男子在外挑逗、勾搭女子，到處留情。＆指種植花木。
碩果[僅存]	比喻經過世事汰換而極少數留存的可貴人物或成果。
冰雪[聰明]	形容人非常聰明。
牽腸[掛肚]	比喻十分掛念，放心不下。
少年[老成]	年紀雖輕，舉止卻成熟穩重，辦事老練。＆年輕人外表較實際年齡成熟或缺乏朝氣與活力。
呼天[搶地]	大聲喊天，用頭撞地。形容極度哀傷、悲痛。
舉目[無親]	指孤單無依。
扶老[攜幼]	指男女老幼全體出動的情況。
中庸[之道]	不偏不倚、無過與不及的處事態度。
弄瓦[之喜]	祝賀人生女之辭。
錦衣[玉食]	形容豪華奢侈的生活。
蓬蓽[生輝]	比喻他人所贈之物或貴客之來訪令人倍感光彩。
延年[益壽]	拉長歲數，增加壽命。
譁眾[取寵]	用迎合眾人喜好的言語行動，博取他人對自己的喜愛。
應有[盡有]	形容事物齊備。
我見[猶憐]	形容女子容貌美麗，惹人憐愛。
束手[待斃]	比喻危難時不想辦法解決，坐等敗亡。
龍潭[虎穴]	比喻危及生命的凶險之地。
臨淵[羨魚]	比喻雖有欲望，卻沒有實際行動。
豁達[大度]	形容心胸寬闊、度量宏大，能容人。
作姦[犯科]	指為非作歹，違法亂紀。
有始[有終]	指有開頭，有結尾。比喻做事能貫徹到底。
乘龍[快婿]	比喻好女婿。
牝雞[司晨]	比喻女性當權。多含貶義。
冰清[玉潔]	如同冰一樣清澈晶瑩，如同玉一般潔淨無瑕。＆ 比喻品行高潔磊落。＆ 比喻女子堅守貞操。
不期[而遇]	指未經約定而意外相見。
顧影[自憐]	看著自己的形影，想到自己的遭遇，自我憐憫。 ＆看著自己美好的形影，自我欣賞。
好大[喜功]	指行事作風鋪張浮誇，不切實際。
好為[人師]	指人自以為是，喜歡教導別人。
近朱[者赤，近墨者黑]	指環境會影響和改變人的習性。
如花[似玉]	比喻女子美麗動人。
如狼[似虎]	形容像狼、虎般行動迅速，威武勇猛。＆比喻性情、手段凶狠殘暴。
吟風[弄月]	指詩人以清風、明月等題材來吟詠詩句。＆比喻吟詩作對的閒情逸致。＆指作品空泛不切實際。
姑息[養奸]	指過分縱容，助長壞人壞事。
不念[舊惡]	不記以往的過錯嫌隙。
弔民[伐罪]	征討殘暴有罪的統治者，以撫慰受難的百姓。
五世[其昌]	指後代子孫昌盛顯赫。
日暮[途窮]	比喻處境非常艱困。＆比喻年事已高，人生將盡。
