centigrade	攝氏的	計劃	忍受	廢除;廢止
trout	鱒魚	把...塞進;使有褶襉	學費	鮪魚
tuck	把...塞進;使有褶襉	學費	鮪魚	暴君
tuition	學費	鮪魚	暴君	仲裁
tuna	鮪魚	暴君	仲裁	大學生;大學肄業生
tyrant	暴君	仲裁	大學生;大學肄業生	劃線於...之下;強調
umpire	仲裁	大學生;大學肄業生	劃線於...之下;強調	下面的;底層的
undergraduate	大學生;大學肄業生	劃線於...之下;強調	下面的;底層的	可理解的;能懂的
underline	劃線於...之下;強調	下面的;底層的	可理解的;能懂的	毫無疑問地;肯定地
underneath	下面的;底層的	可理解的;能懂的	毫無疑問地;肯定地	使...合乎時代;更新
understandable	可理解的;能懂的	毫無疑問地;肯定地	使...合乎時代;更新	直立的
undoubtedly	毫無疑問地;肯定地	使...合乎時代;更新	直立的	向上的;升高的
update	使...合乎時代;更新	直立的	向上的;升高的	向上的;升高的
upright	直立的	向上的;升高的	向上的;升高的	發出(聲音等);說;講
upward	向上的;升高的	向上的;升高的	發出(聲音等);說;講	空;空白;空房
upward	向上的;升高的	發出(聲音等);說;講	空;空白;空房	吸塵
utter	發出(聲音等);說;講	空;空白;空房	吸塵	模糊不清的
vacancy	空;空白;空房	吸塵	模糊不清的	自負;虛榮;梳妝臺
vacuum	吸塵	模糊不清的	自負;虛榮;梳妝臺	水汽
vague	模糊不清的	自負;虛榮;梳妝臺	水汽	植被;草木
vanity	自負;虛榮;梳妝臺	水汽	植被;草木	用帷幕分隔;掩飾;戴面紗
vapor	水汽	植被;草木	用帷幕分隔;掩飾;戴面紗	血管
vegetation	植被;草木	用帷幕分隔;掩飾;戴面紗	血管	天鵝絨製的;柔軟光滑的
veil	用帷幕分隔;掩飾;戴面紗	血管	天鵝絨製的;柔軟光滑的	冒險;大膽行事
vein	血管	天鵝絨製的;柔軟光滑的	冒險;大膽行事	言辭上的;動詞的
velvet	天鵝絨製的;柔軟光滑的	冒險;大膽行事	言辭上的;動詞的	相對於～
venture	冒險;大膽行事	言辭上的;動詞的	相對於～	垂直的
verbal	言辭上的;動詞的	相對於～	垂直的	否決;反對
versus	相對於～	垂直的	否決;反對	經由
vertical	垂直的	否決;反對	經由	顫動;振動;震動
veto	否決;反對	經由	顫動;振動;震動	將(節目)錄到帶子上
via 	經由	顫動;振動;震動	將(節目)錄到帶子上	觀看者;觀眾
vibrate	顫動;振動;震動	將(節目)錄到帶子上	觀看者;觀眾	vigor
videotape	將(節目)錄到帶子上	觀看者;觀眾	vigor	精力充沛的
viewer	觀看者;觀眾	vigor	精力充沛的	壞人;反派角色
vigor	vigor	精力充沛的	壞人;反派角色	藤;藤蔓;葡萄樹
vigorous	精力充沛的	壞人;反派角色	藤;藤蔓;葡萄樹	小提琴手
villain	壞人;反派角色	藤;藤蔓;葡萄樹	小提琴手	簽證
vine	藤;藤蔓;葡萄樹	小提琴手	簽證	發誓要;鄭重宣告
violinist	小提琴手	簽證	發誓要;鄭重宣告	涉水而行;艱難地前進
visa	簽證	發誓要;鄭重宣告	涉水而行;艱難地前進	慟哭;(警笛等)尖嘯;哀訴
vow	發誓要;鄭重宣告	涉水而行;艱難地前進	慟哭;(警笛等)尖嘯;哀訴	病房
wade	涉水而行;艱難地前進	慟哭;(警笛等)尖嘯;哀訴	病房	(特定種類的)陶器;貨物
wail	慟哭;(警笛等)尖嘯;哀訴	病房	(特定種類的)陶器;貨物	把...存入倉庫
ward 	病房	(特定種類的)陶器;貨物	把...存入倉庫	武士;戰士;勇士
ware	(特定種類的)陶器;貨物	把...存入倉庫	武士;戰士;勇士	小心翼翼的;謹防的
warehouse	把...存入倉庫	武士;戰士;勇士	小心翼翼的;謹防的	疲倦的;厭倦的
warrior	武士;戰士;勇士	小心翼翼的;謹防的	疲倦的;厭倦的	怪誕的
wary	小心翼翼的;謹防的	疲倦的;厭倦的	怪誕的	靠碼頭
weary	疲倦的;厭倦的	怪誕的	靠碼頭	輪椅
weird	怪誕的	靠碼頭	輪椅	在哪裡
wharf	靠碼頭	輪椅	在哪裡	而
wheelchair	輪椅	在哪裡	而	發哀鳴聲;發牢騷
whereabouts	在哪裡	而	發哀鳴聲;發牢騷	旋轉;迴旋
whereas	而	發哀鳴聲;發牢騷	旋轉;迴旋	攪拌器
whine	發哀鳴聲;發牢騷	旋轉;迴旋	攪拌器	威士忌酒
whirl	旋轉;迴旋	攪拌器	威士忌酒	批發的
whisk	攪拌器	威士忌酒	批發的	有益健康的;強健的
whiskey/whisky	威士忌酒	批發的	有益健康的;強健的	分佈(或散佈)廣的
wholesale	批發的	有益健康的;強健的	分佈(或散佈)廣的	寡婦(或鰥夫)
wholesome	有益健康的;強健的	分佈(或散佈)廣的	寡婦(或鰥夫)	假髮
widespread	分佈(或散佈)廣的	寡婦(或鰥夫)	假髮	荒野,荒漠
widow/widower	寡婦(或鰥夫)	假髮	荒野,荒漠	野生生物
wig	假髮	荒野,荒漠	野生生物	枯萎;凋謝
wilderness	荒野,荒漠	野生生物	枯萎;凋謝	悲哀;災難
wildlife	野生生物	枯萎;凋謝	悲哀;災難	啄木鳥
wither	枯萎;凋謝	悲哀;災難	啄木鳥	作坊;研討會
woe	悲哀;災難	啄木鳥	作坊;研討會	崇拜;拜神;做禮拜
woodpecker	啄木鳥	作坊;研討會	崇拜;拜神;做禮拜	值得花費時間(或金錢)的
workshop	作坊;研討會	崇拜;拜神;做禮拜	值得花費時間(或金錢)的	值得的
worship	崇拜;拜神;做禮拜	值得花費時間(或金錢)的	值得的	花圈;花冠
worthwhile	值得花費時間(或金錢)的	值得的	花圈;花冠	絞;擰;緊握
worthy	值得的	花圈;花冠	絞;擰;緊握	快艇
wreath	花圈;花冠	絞;擰;緊握	快艇	講故事;長談
wring	絞;擰;緊握	快艇	講故事;長談	酵母;酵母片
yacht	快艇	講故事;長談	酵母;酵母片	出產
yarn	講故事;長談	酵母;酵母片	出產	瑜珈
yeast	酵母;酵母片	出產	瑜珈	鋅
yield	出產	瑜珈	鋅	拉鍊
yoga	瑜珈	鋅	拉鍊	發出嗡嗡聲;將畫面推近或拉遠
zinc	鋅	拉鍊	發出嗡嗡聲;將畫面推近或拉遠	助手
zip/ZIP/zone improvement	拉鍊	發出嗡嗡聲;將畫面推近或拉遠	助手	生物;有機體
zoom	發出嗡嗡聲;將畫面推近或拉遠	助手	生物;有機體	發言人
