唱える (となえる)	to recite	proof	unmarried woman 	to propose
出動 (しゅつどう)	sailing	exhibit	whereabouts	possession
出品 (しゅっぴん)	exhibit	whereabouts	possession	news 
所在 (しょざい)	whereabouts	possession	news 	believer
所持 (しょじ)	possession	news 	believer	oscillation
消息 (しょうそく)	news 	believer	oscillation	to deepen
信者 (しんじゃ)	believer	oscillation	to deepen	duty
振動 (しんどう)	oscillation	to deepen	duty	simple
深める (ふかめる)	to deepen	duty	simple	ornament
責務 (せきむ)	duty	simple	ornament	settlement
素朴 (そぼく)	simple	ornament	settlement	elasticity
装飾 (そうしょく)	ornament	settlement	elasticity	assertion
妥結 (だけつ)	settlement	elasticity	assertion	interruption
弾力 (だんりょく)	elasticity	assertion	interruption	poisoning 
断言 (だんげん)	assertion	interruption	poisoning 	presentation
中断 (ちゅうだん)	interruption	poisoning 	presentation	genius
中毒 (ちゅうどく)	poisoning 	presentation	genius	job transfer
提示 (ていじ)	presentation	genius	job transfer	the country
天才 (てんさい)	genius	job transfer	the country	source of electricity
転勤 (てんきん)	job transfer	the country	source of electricity	foundation
田園 (でんえん)	the country	source of electricity	foundation	shaking
電源 (でんげん)	source of electricity	foundation	shaking	privilege
土台 (どだい)	foundation	shaking	privilege	the body
動揺 (どうよう)	shaking	privilege	the body	fixed date
特権 (とっけん)	privilege	the body	fixed date	woodcut
肉体 (にくたい)	the body	fixed date	woodcut	shriek
日取り (ひどり)	fixed date	woodcut	shriek	blockade 
版画 (はんが)	woodcut	shriek	blockade 	dispersion
悲鳴 (ひめい)	shriek	blockade 	dispersion	convenience
封鎖 (ふうさ)	blockade 	dispersion	convenience	to grow violent
分散 (ぶんさん)	dispersion	convenience	to grow violent	to satisfy 
便宜 (べんぎ)	convenience	to grow violent	to satisfy 	silence
募る (つのる)	to grow violent	to satisfy 	silence	without permission
満たす (みたす)	to satisfy 	silence	without permission	model
無言 (むごん)	silence	without permission	model	superiority
無断 (むだん)	without permission	model	superiority	abuse
模型 (もけい)	model	superiority	abuse	senility
優勢 (ゆうせい)	superiority	abuse	senility	clue
乱用 (らんよう)	abuse	senility	clue	magnificent
老衰 (ろうすい)	senility	clue	magnificent	department
手がかり (てがかり)	clue	magnificent	department	repair
堂々 (どうどう)	magnificent	department	repair	foreign
科 (か)	department	repair	foreign	conviction
改修 (かいしゅう)	repair	foreign	conviction	feel 
外来 (がいらい)	foreign	conviction	feel 	custom
確信 (かくしん)	conviction	feel 	custom	noble
感触 (かんしょく)	feel 	custom	noble	play
慣例 (かんれい)	custom	noble	play	ultimate
貴族 (きぞく)	noble	play	ultimate	teaching
戯曲 (ぎきょく)	play	ultimate	teaching	subject
究極 (きゅうきょく)	ultimate	teaching	subject	inclination
教え (おしえ)	teaching	subject	inclination	encouragement
教科 (きょうか)	subject	inclination	encouragement	popularity
傾斜 (けいしゃ)	inclination	encouragement	popularity	bank clerk
激励 (げきれい)	encouragement	popularity	bank clerk	composition
好評 (こうひょう)	popularity	bank clerk	composition	the very best
行員 (こういん)	bank clerk	composition	the very best	miscellaneous goods
合成 (ごうせい)	composition	the very best	miscellaneous goods	way
最善 (さいぜん)	the very best	miscellaneous goods	way	dentistry
雑貨 (ざっか)	miscellaneous goods	way	dentistry	businessman
仕様 (しよう)	way	dentistry	businessman	celebration
歯科 (しか)	dentistry	businessman	celebration	shield
実業家 (じつぎょうか)	businessman	celebration	shield	consent
祝賀 (しゅくが)	celebration	shield	consent	sentiment
盾 (たて)	shield	consent	sentiment	proposal
承諾 (しょうだく)	consent	sentiment	proposal	to be intimate with
心情 (しんじょう)	sentiment	proposal	to be intimate with	precise
申し出 (もうしで)	proposal	to be intimate with	precise	earnest
親しむ (したしむ)	to be intimate with	precise	earnest	arriving first
精密 (せいみつ)	precise	earnest	arriving first	to insert
切実 (せつじつ)	earnest	arriving first	to insert	talk
先着 (せんちゃく)	arriving first	to insert	talk	script
組み込む (くみこむ)	to insert	talk	script	large part
対談 (たいだん)	talk	script	large part	shame
台本 (だいほん)	script	large part	shame	accumulation
大方 (おおかた)	large part	shame	accumulation	collection 
恥 (はじ)	shame	accumulation	collection 	chase
蓄積 (ちくせき)	accumulation	collection 	chase	correction
徴収 (ちょうしゅう)	collection 	chase	correction	adaptation
追跡 (ついせき)	chase	correction	adaptation	throwing into
訂正 (ていせい)	correction	adaptation	throwing into	coexistence
適応 (てきおう)	adaptation	throwing into	coexistence	inland
投入 (とうにゅう)	throwing into	coexistence	inland	difficulty
同居 (どうきょ)	coexistence	inland	difficulty	acquisition
内陸 (ないりく)	inland	difficulty	acquisition	bathing 
難 (なん)	difficulty	acquisition	bathing 	payment 
入手 (にゅうしゅ)	acquisition	bathing 	payment 	distribution
入浴 (にゅうよく)	bathing 	payment 	distribution	divine punishment
納入 (のうにゅう)	payment 	distribution	divine punishment	specific gravity
配布 (はいふ)	distribution	divine punishment	specific gravity	manure
罰 (ばち)	divine punishment	specific gravity	manure	injury
比重 (ひじゅう)	specific gravity	manure	injury	walking 
肥料 (ひりょう)	manure	injury	walking 	expansion
負傷 (ふしょう)	injury	walking 	expansion	home
歩み (あゆみ)	walking 	expansion	home	membrane
膨張 (ぼうちょう)	expansion	home	membrane	fierce
本場 (ほんば)	home	membrane	fierce	good prospects
膜 (まく)	membrane	fierce	good prospects	to feel down
猛烈 (もうれつ)	fierce	good prospects	to feel down	forestry
有望 (ゆうぼう)	good prospects	to feel down	forestry	sacred lotus 
落ち込む (おちこむ)	to feel down	forestry	sacred lotus 	company
林業 (りんぎょう)	forestry	sacred lotus 	company	reading aloud
はす (蓮)	sacred lotus 	company	reading aloud	I
連中 (れんちゅう)	company	reading aloud	I	advice
朗読 (ろうどく)	reading aloud	I	advice	to make 
俺 (おれ)	I	advice	to make 	division
助言 (じょげん)	advice	to make 	division	end
生かす (いかす)	to make 	division	end	exploration
区画 (くかく)	division	end	exploration	average
仕上げ (しあげ)	end	exploration	average	to plan
探検 (たんけん)	exploration	average	to plan	to swell 
並 (なみ)	average	to plan	to swell 	request
図る (はかる)	to plan	to swell 	request	clothes
膨れる (ふくれる)	to swell 	request	clothes	darkness
頼み (たのみ)	request	clothes	darkness	breeding
衣類 (いるい)	clothes	darkness	breeding	uniform
闇 (やみ)	darkness	breeding	uniform	lead 
育ち (そだち)	breeding	uniform	lead 	domestic animals
一様 (いちよう)	uniform	lead 	domestic animals	load
鉛 (なまり)	lead 	domestic animals	load	highway 
家畜 (かちく)	domestic animals	load	highway 	carefree
荷 (に)	load	highway 	carefree	cease-fire
街道 (かいどう)	highway 	carefree	cease-fire	husband and wife both working
気楽 (きらく)	carefree	cease-fire	husband and wife both working	forcing
休戦 (きゅうせん)	cease-fire	husband and wife both working	forcing	birth-place
共働き (ともばたらき)	husband and wife both working	forcing	birth-place	punctuation
強行 (きょうこう)	forcing	birth-place	punctuation	course
郷里 (きょうり)	birth-place	punctuation	course	crystal
区切り (くぎり)	punctuation	course	crystal	atom
経路 (けいろ)	course	crystal	atom	strict
結晶 (けっしょう)	crystal	atom	strict	oral
原子 (げんし)	atom	strict	oral	agreement
厳密 (げんみつ)	strict	oral	agreement	balance
口頭 (こうとう)	oral	agreement	balance	reappearance
合致 (がっち)	agreement	balance	reappearance	plan
差額 (さがく)	balance	reappearance	plan	maternity and gynaecology department 
再現 (さいげん)	reappearance	plan	maternity and gynaecology department 	product
策 (さく)	plan	maternity and gynaecology department 	product	magnetism
産婦人科 (さんふじんか)	maternity and gynaecology department 	product	magnetism	freely
産物 (さんぶつ)	product	magnetism	freely	copybook 
磁気 (じき)	magnetism	freely	copybook 	prescribed
自在 (じざい)	freely	copybook 	prescribed	assistance
手本 (てほん)	copybook 	prescribed	assistance	small build
所定 (しょてい)	prescribed	assistance	small build	invitation
助け (たすけ)	assistance	small build	invitation	mental attitude
小柄 (こがら)	small build	invitation	mental attitude	swing
招き (まねき)	invitation	mental attitude	swing	humanity
心がけ (こころがけ)	mental attitude	swing	humanity	quick
振り (ふり)	swing	humanity	quick	maturity
人情 (にんじょう)	humanity	quick	maturity	stillness
迅速 (じんそく)	quick	maturity	stillness	fast
成熟 (せいじゅく)	maturity	stillness	fast	to keep someone from doing
静止 (せいし)	stillness	fast	to keep someone from doing	magnificent
素早い (すばやい)	fast	to keep someone from doing	magnificent	waiting expectantly
阻む (はばむ)	to keep someone from doing	magnificent	waiting expectantly	attention
壮大 (そうだい)	magnificent	waiting expectantly	attention	to turn
待望 (たいぼう)	waiting expectantly	attention	to turn	transmission 
着目 (ちゃくもく)	attention	to turn	transmission 	being produced in a particular region
転じる (てんじる)	to turn	transmission 	being produced in a particular region	burning
伝達 (でんたつ)	transmission 	being produced in a particular region	burning	to afflict
特産 (とくさん)	being produced in a particular region	burning	to afflict	edition
燃焼 (ねんしょう)	burning	to afflict	edition	rejection
悩ます (なやます)	to afflict	edition	rejection	depiction
版 (はん)	edition	rejection	depiction	economic slump
否決 (ひけつ)	rejection	depiction	economic slump	to bear
描写 (びょうしゃ)	depiction	economic slump	to bear	capture
不景気 (ふけいき)	economic slump	to bear	capture	peak
負う (おう)	to bear	capture	peak	flavour
捕獲 (ほかく)	capture	peak	flavour	unmarried
峰 (みね)	peak	flavour	unmarried	not yet known
味わい (あじわい)	flavour	unmarried	not yet known	density
未婚 (みこん)	unmarried	not yet known	density	useless
未知 (みち)	not yet known	density	useless	groping 
密度 (みつど)	density	useless	groping 	post
無用 (むよう)	useless	groping 	post	advantage
模索 (もさく)	groping 	post	advantage	passport
役職 (やくしょく)	post	advantage	passport	calendar
利点 (りてん)	advantage	passport	calendar	open
旅券 (りょけん)	passport	calendar	open	one long straight object 
暦 (こよみ)	calendar	open	one long straight object 	price reduction
露骨 (ろこつ)	open	one long straight object 	price reduction	waiting room
一筋 (ひとすじ)	one long straight object 	price reduction	waiting room	advance sale
値引き (ねびき)	price reduction	waiting room	advance sale	territorial waters
控え室 (ひかえしつ)	waiting room	advance sale	territorial waters	quantity
前売り (まえうり)	advance sale	territorial waters	quantity	fault
領海 (りょうかい)	territorial waters	quantity	fault	dissection
高 (たか)	quantity	fault	dissection	seashell
過ち (あやまち)	fault	dissection	seashell	outward appearance
解剖 (かいぼう)	dissection	seashell	outward appearance	recommendation
貝殻 (かいがら)	seashell	outward appearance	recommendation	invitation
外観 (がいかん)	outward appearance	recommendation	invitation	main line
勧め (すすめ)	recommendation	invitation	main line	rod
勧誘 (かんゆう)	invitation	main line	rod	outward looks
幹線 (かんせん)	main line	rod	outward looks	duty
竿 (さお)	rod	outward looks	duty	bow 
顔つき (かおつき)	outward looks	duty	bow 	help
義理 (ぎり)	duty	bow 	help	permission
弓 (ゆみ)	bow 	help	permission	bad harvest
救い (すくい)	help	permission	bad harvest	to approach
許容 (きょよう)	permission	bad harvest	to approach	to pass
凶作 (きょうさく)	bad harvest	to approach	to pass	stalk
近づく (ちかづく)	to approach	to pass	stalk	point of view
経る (へる)	to pass	stalk	point of view	wise
茎 (くき)	stalk	point of view	wise	guard
見地 (けんち)	point of view	wise	guard	mutual
賢明 (けんめい)	wise	guard	mutual	another meeting
護衛 (ごえい)	guard	mutual	another meeting	-years-old
交互 (こうご)	mutual	another meeting	-years-old	work
再会 (さいかい)	another meeting	-years-old	work	fortune
歳 (さい)	-years-old	work	fortune	cruelty
細工 (さいく)	work	fortune	cruelty	time difference
財 (ざい)	fortune	cruelty	time difference	staple food
残酷 (ざんこく)	cruelty	time difference	staple food	the defensive 
時差 (じさ)	time difference	staple food	the defensive 	engaging in 
主食 (しゅしょく)	staple food	the defensive 	engaging in 	beast
受身 (うけみ)	the defensive 	engaging in 	beast	fate
従事 (じゅうじ)	engaging in 	beast	fate	success in life
獣 (けもの)	beast	fate	success in life	adjustment
宿命 (しゅくめい)	fate	success in life	adjustment	expenses
出世 (しゅっせ)	success in life	adjustment	expenses	punishment
出直し (でなおし)	adjustment	expenses	punishment	to keep in mind
出費 (しゅっぴ)	expenses	punishment	to keep in mind	feeling
処罰 (しょばつ)	punishment	to keep in mind	feeling	newly-wed
心がける (こころがける)	to keep in mind	feeling	newly-wed	evolution
心地 (ここち)	feeling	newly-wed	evolution	to hold back 
新婚 (しんこん)	newly-wed	evolution	to hold back 	Bible
進化 (しんか)	evolution	to hold back 	Bible	height of prosperity
制する (せいする)	to hold back 	Bible	height of prosperity	image
聖書 (せいしょ)	Bible	height of prosperity	image	large amount of money
全盛 (ぜんせい)	height of prosperity	image	large amount of money	terrain
像 (ぞう)	image	large amount of money	terrain	landowner
大金 (たいきん)	large amount of money	terrain	landowner	to hurt
地形 (ちけい)	terrain	landowner	to hurt	heavenly body
地主 (じぬし)	landowner	to hurt	heavenly body	fall
痛む (いたむ)	to hurt	heavenly body	fall	reaching
天体 (てんたい)	heavenly body	fall	reaching	urine
転落 (てんらく)	fall	reaching	urine	to entrust
到達 (とうたつ)	reaching	urine	to entrust	grasp
尿 (にょう)	urine	to entrust	grasp	persecution
任す (まかす)	to entrust	grasp	persecution	alma mater
把握 (はあく)	grasp	persecution	alma mater	release
迫害 (はくがい)	persecution	alma mater	release	pastor
母校 (ぼこう)	alma mater	release	pastor	exemption
放出 (ほうしゅつ)	release	pastor	exemption	look
牧師 (ぼくし)	pastor	exemption	look	ambition
免除 (めんじょ)	exemption	look	ambition	check
目つき (めつき)	look	ambition	check	desire
野心 (やしん)	ambition	check	desire	calmness
抑圧 (よくあつ)	check	desire	calmness	sink 
欲望 (よくぼう)	desire	calmness	sink 	finish
落ち着き (おちつき)	calmness	sink 	finish	conscience
流し (ながし)	sink 	finish	conscience	resemblance
了 (りょう)	finish	conscience	resemblance	Japanese style 
良心 (りょうしん)	conscience	resemblance	Japanese style 	planet
類似 (るいじ)	resemblance	Japanese style 	planet	emotion
和風 (わふう)	Japanese style 	planet	emotion	furnished with
惑星 (わくせい)	planet	emotion	furnished with	wholesale store
情緒 (じょうちょ)	emotion	furnished with	wholesale store	grandiose
付き (つき)	furnished with	wholesale store	grandiose	to exchange 
問屋 (とんや)	wholesale store	grandiose	to exchange 	origin
大げさ (おおげさ)	grandiose	to exchange 	origin	model
交わす (かわす)	to exchange 	origin	model	retail
起源 (きげん)	origin	model	retail	to be careful
軌範 (きはん)	model	retail	to be careful	thorn
小売 (こうり)	retail	to be careful	thorn	universal
慎む (つつしむ)	to be careful	thorn	universal	appendix
刺 (とげ)	thorn	universal	appendix	allotment
普遍 (ふへん)	universal	appendix	allotment	better
付録 (ふろく)	appendix	allotment	better	flattery
割り当て (わりあて)	allotment	better	flattery	bad fellow
まし (増し)	better	flattery	bad fellow	pressure 
お世辞 (おせじ)	flattery	bad fellow	pressure 	rest
悪者 (わるもの)	bad fellow	pressure 	rest	hint
圧迫 (あっぱく)	pressure 	rest	hint	just as one thought
安静 (あんせい)	rest	hint	just as one thought	the opposite sex 
暗示 (あんじ)	hint	just as one thought	the opposite sex 	unconditionally
案の定 (あんのじょう)	just as one thought	the opposite sex 	unconditionally	all present
異性 (いせい)	the opposite sex 	unconditionally	all present	part
一概に (いちがいに)	unconditionally	all present	part	stamp
一同 (いちどう)	all present	part	stamp	to cause
一部分 (いちぶぶん)	part	stamp	to cause	to take over
印鑑 (いんかん)	stamp	to cause	to take over	to drag along
引き起こす (ひきおこす)	to cause	to take over	to drag along	to hang 
引き取る (ひきとる)	to take over	to drag along	to hang 	gloomy
引きずる (ひきずる)	to drag along	to hang 	gloomy	rain gear
引っ掛ける (ひっかける)	to hang 	gloomy	rain gear	rainy weather
陰気 (いんき)	gloomy	rain gear	rainy weather	to run 
雨具 (あまぐ)	rain gear	rainy weather	to run 	to prosper
雨天 (うてん)	rainy weather	to run 	to prosper	English letter
営む (いとなむ)	to run 	to prosper	English letter	liquid
栄える (さかえる)	to prosper	English letter	liquid	inspection
英字 (えいじ)	English letter	liquid	inspection	harmonious
液 (えき)	liquid	inspection	harmonious	futures 
閲覧 (えつらん)	inspection	harmonious	futures 	to run along
円満 (えんまん)	harmonious	futures 	to run along	along railway line
延べ (のべ)	futures 	to run along	along railway line	to perform 
沿う (そう)	to run along	along railway line	to perform 	to perform
沿線 (えんせん)	along railway line	to perform 	to perform	veranda
演じる (えんじる)	to perform 	to perform	veranda	marriage proposal
演ずる (えんずる)	to perform	veranda	marriage proposal	to go away
縁側 (えんがわ)	veranda	marriage proposal	to go away	long way
縁談 (えんだん)	marriage proposal	to go away	long way	nephew
遠ざかる (とおざかる)	to go away	long way	nephew	cowardice
遠方 (えんぽう)	long way	nephew	cowardice	preliminary investigation
甥 (おい)	nephew	cowardice	preliminary investigation	diarrhoea
臆病 (おくびょう)	cowardice	preliminary investigation	diarrhoea	to take the form of 
下調べ (したしらべ)	preliminary investigation	diarrhoea	to take the form of 	a little
下痢 (げり)	diarrhoea	to take the form of 	a little	how ..!
化ける (ばける)	to take the form of 	a little	how ..!	running away from home
なんだか (何だか)	a little	how ..!	running away from home	to accomplish
なんて (何て)	how ..!	running away from home	to accomplish	spark
家出 (いえで)	running away from home	to accomplish	spark	Mars 
果たす (はたす)	to accomplish	spark	Mars 	flower petal
火花 (ひばな)	spark	Mars 	flower petal	pollen
火星 (かせい)	Mars 	flower petal	pollen	packing
花びら (はなびら)	flower petal	pollen	packing	money
花粉 (かふん)	pollen	packing	money	pleasant
荷造り (にづくり)	packing	money	pleasant	to be renewed
貨幣 (かへい)	money	pleasant	to be renewed	maritime
快い (こころよい)	pleasant	to be renewed	maritime	height above sea level
改まる (あらたまる)	to be renewed	maritime	height above sea level	ocean current
海運 (かいうん)	maritime	height above sea level	ocean current	cliff
海抜 (かいばつ)	height above sea level	ocean current	cliff	corresponding to
海流 (かいりゅう)	ocean current	cliff	corresponding to	status
崖 (がけ)	cliff	corresponding to	status	memory
該当 (がいとう)	corresponding to	status	memory	theory
格 (かく)	status	memory	theory	score
覚え (おぼえ)	memory	theory	score	chin
学説 (がくせつ)	theory	score	chin	credit 
楽譜 (がくふ)	score	chin	credit 	smooth 
あご (顎)	chin	credit 	smooth 	funny
掛け (かけ)	credit 	smooth 	funny	chill
滑らか (なめらか)	smooth 	funny	chill	to accustom
滑稽 (こっけい)	funny	chill	to accustom	practice
寒気 (かんき)	chill	to accustom	practice	usual 
慣らす (ならす)	to accustom	practice	usual 	Japanese word of Chinese origin
慣れ (なれ)	practice	usual 	Japanese word of Chinese origin	to behave like a spoiled child
慣習 (かんしゅう)	usual 	Japanese word of Chinese origin	to behave like a spoiled child	to become loose
漢語 (かんご)	Japanese word of Chinese origin	to behave like a spoiled child	to become loose	to make round
甘える (あまえる)	to behave like a spoiled child	to become loose	to make round	cancer
緩む (ゆるむ)	to become loose	to make round	cancer	ophthalmology
丸める (まるめる)	to make round	cancer	ophthalmology	stubborn
がん (癌)	cancer	ophthalmology	stubborn	solid
眼科 (がんか)	ophthalmology	stubborn	solid	written application
頑固 (がんこ)	stubborn	solid	written application	organ 
頑丈 (がんじょう)	solid	written application	organ 	odd number
願書 (がんしょ)	written application	organ 	odd number	end of term
器官 (きかん)	organ 	odd number	end of term	returning to Tokyo 
奇数 (きすう)	odd number	end of term	returning to Tokyo 	constraint
期末 (きまつ)	end of term	returning to Tokyo 	constraint	disposition
帰京 (ききょう)	returning to Tokyo 	constraint	disposition	steamship
気兼ね (きがね)	constraint	disposition	steamship	dramatization 
気質 (きしつ)	disposition	steamship	dramatization 	handstand
汽船 (きせん)	steamship	dramatization 	handstand	hill
脚色 (きゃくしょく)	dramatization 	handstand	hill	long 
逆立ち (さかだち)	handstand	hill	long 	temporary absence from school
丘陵 (きゅうりょう)	hill	long 	temporary absence from school	and
久しい (ひさしい)	long 	temporary absence from school	and	narrow
休学 (きゅうがく)	temporary absence from school	and	narrow	refusal
及び (および)	and	narrow	refusal	fishing village
窮屈 (きゅうくつ)	narrow	refusal	fishing village	husband and wife earning a living together
拒絶 (きょぜつ)	refusal	fishing village	husband and wife earning a living together	shout
漁村 (ぎょそん)	fishing village	husband and wife earning a living together	shout	one's circumstances
共稼ぎ (ともかせぎ)	husband and wife earning a living together	shout	one's circumstances	to force
叫び (さけび)	shout	one's circumstances	to force	to get strong
境遇 (きょうぐう)	one's circumstances	to force	to get strong	to threaten
強いる (しいる)	to force	to get strong	to threaten	nostalgia
強まる (つよまる)	to get strong	to threaten	nostalgia	wonder
脅す (おどす)	to threaten	nostalgia	wonder	to look up 
郷愁 (きょうしゅう)	nostalgia	wonder	to look up 	Sukhavati 
驚異 (きょうい)	wonder	to look up 	Sukhavati 	place of work
仰ぐ (あおぐ)	to look up 	Sukhavati 	place of work	diligent
極楽 (ごくらく)	Sukhavati 	place of work	diligent	to prohibit
勤め先 (つとめさき)	place of work	diligent	to prohibit	to forbid
勤勉 (きんべん)	diligent	to prohibit	to forbid	taboo
禁じる (きんじる)	to prohibit	to forbid	taboo	myopia
禁ずる (きんずる)	to forbid	taboo	myopia	close examination
禁物 (きんもつ)	taboo	myopia	close examination	to torment
近視 (きんし)	myopia	close examination	to torment	to run 
吟味 (ぎんみ)	close examination	to torment	to run 	running fast
苦しめる (くるしめる)	to torment	to run 	running fast	foolish
駆ける (かける)	to run 	running fast	foolish	idle complaint
駆け足 (かけあし)	running fast	foolish	idle complaint	empty stomach
愚か (おろか)	foolish	idle complaint	empty stomach	bending
愚痴 (ぐち)	idle complaint	empty stomach	bending	to swarm
空腹 (くうふく)	empty stomach	bending	to swarm	warship
屈折 (くっせつ)	bending	to swarm	warship	to engage in
群がる (むらがる)	to swarm	warship	to engage in	to succeed 
軍艦 (ぐんかん)	warship	to engage in	to succeed 	police inspector
携わる (たずさわる)	to engage in	to succeed 	police inspector	light 
継ぐ (つぐ)	to succeed 	police inspector	light 	scorn
警部 (けいぶ)	police inspector	light 	scorn	rash
軽快 (けいかい)	light 	scorn	rash	want
軽蔑 (けいべつ)	scorn	rash	want	combination
軽率 (けいそつ)	rash	want	combination	monthly tuition fee
欠乏 (けつぼう)	want	combination	monthly tuition fee	every month 
結合 (けつごう)	combination	monthly tuition fee	every month 	thrift
月謝 (げっしゃ)	monthly tuition fee	every month 	thrift	vigorous
月並み (つきなみ)	every month 	thrift	vigorous	one part
倹約 (けんやく)	thrift	vigorous	one part	subject
健やか (すこやか)	vigorous	one part	subject	interview
一部 (いちぶ)	one part	subject	interview	conversation
課題 (かだい)	subject	interview	conversation	reform
会見 (かいけん)	interview	conversation	reform	development
会談 (かいだん)	conversation	reform	development	Foreign Minister
改革 (かいかく)	reform	development	Foreign Minister	stock 
開発 (かいはつ)	development	Foreign Minister	stock 	management
外相 (がいしょう)	Foreign Minister	stock 	management	crisis
株式 (かぶしき)	stock 	management	crisis	mechanism
幹部 (かんぶ)	management	crisis	mechanism	regulation
危機 (きき)	crisis	mechanism	regulation	scale
機構 (きこう)	mechanism	regulation	scale	conference
規制 (きせい)	regulation	scale	conference	fear
規模 (きぼ)	scale	conference	fear	trader
協議 (きょうぎ)	conference	fear	trader	military affairs
恐れ (おそれ)	fear	trader	military affairs	resolution
業者 (ぎょうしゃ)	trader	military affairs	resolution	viewpoint
軍事 (ぐんじ)	military affairs	resolution	viewpoint	principle
決議 (けつぎ)	resolution	viewpoint	principle	actual place
見方 (みかた)	viewpoint	principle	actual place	negotiations
原則 (げんそく)	principle	actual place	negotiations	administration
現地 (げんち)	actual place	negotiations	administration	agreement
交渉 (こうしょう)	negotiations	administration	agreement	United Nations
行政 (ぎょうせい)	administration	agreement	United Nations	public finance 
合意 (ごうい)	agreement	United Nations	public finance 	cut
国連 (こくれん)	United Nations	public finance 	cut	support
財政 (ざいせい)	public finance 	cut	support	institution
削減 (さくげん)	cut	support	institution	funds
支持 (しじ)	support	institution	funds	project
施設 (しせつ)	institution	funds	project	head
資金 (しきん)	funds	project	head	up to now
事業 (じぎょう)	project	head	up to now	first
首脳 (しゅのう)	head	up to now	first	state of things
従来 (じゅうらい)	up to now	first	state of things	treaty
初 (はつ)	first	state of things	treaty	staff member
情勢 (じょうせい)	state of things	treaty	staff member	deliberation
条約 (じょうやく)	treaty	staff member	deliberation	propulsion
職員 (しょくいん)	staff member	deliberation	propulsion	influence
審議 (しんぎ)	deliberation	propulsion	influence	political administration
推進 (すいしん)	propulsion	influence	political administration	political measures
勢力 (せいりょく)	influence	political administration	political measures	declaration
政権 (せいけん)	political administration	political measures	declaration	election
政策 (せいさく)	political measures	declaration	election	measure
宣言 (せんげん)	declaration	election	measure	search 
選挙 (せんきょ)	election	measure	search 	general meeting
措置 (そち)	measure	search 	general meeting	correspondence 
捜査 (そうさ)	search 	general meeting	correspondence 	big
総会 (そうかい)	general meeting	correspondence 	big	home area
対応 (たいおう)	correspondence 	big	home area	investigation
大幅 (おおはば)	big	home area	investigation	investment
地元 (じもと)	home area	investigation	investment	movement
調べ (しらべ)	investigation	investment	movement	cabinet 
投資 (とうし)	investment	movement	cabinet 	dispatch
動き (うごき)	movement	cabinet 	dispatch	background
内閣 (ないかく)	cabinet 	dispatch	background	statement
派遣 (はけん)	dispatch	background	statement	judicial decision
背景 (はいけい)	background	statement	judicial decision	recession
発言 (はつげん)	statement	judicial decision	recession	division 
判決 (はんけつ)	judicial decision	recession	division 	protection
不況 (ふきょう)	recession	division 	protection	information
部門 (ぶもん)	division 	protection	information	defense
保護 (ほご)	protection	information	defense	democracy
報道 (ほうどう)	information	defense	democracy	opposition party
防衛 (ぼうえい)	defense	democracy	opposition party	ruling party
民主 (みんしゅ)	democracy	opposition party	ruling party	dominion
野党 (やとう)	opposition party	ruling party	dominion	commonwealth
与党 (よとう)	ruling party	dominion	commonwealth	intention
領土 (りょうど)	dominion	commonwealth	intention	male 
連邦 (れんぽう)	commonwealth	intention	male 	synthesis
意向 (いこう)	intention	male 	synthesis	transactions
おす (雄)	male 	synthesis	transactions	unobstructed view
総合 (そうごう)	synthesis	transactions	unobstructed view	people
取引 (とりひき)	transactions	unobstructed view	people	management
見通し (みとおし)	unobstructed view	people	management	reflection
民族 (みんぞく)	people	management	reflection	holding 
運営 (うんえい)	management	reflection	holding 	pit 
映像 (えいぞう)	reflection	holding 	pit 	guarantee
開催 (かいさい)	holding 	pit 	guarantee	revolution 
核 (かく)	pit 	guarantee	revolution 	bureaucrat
確保 (かくほ)	guarantee	revolution 	bureaucrat	monitoring
革命 (かくめい)	revolution 	bureaucrat	monitoring	relief
官僚 (かんりょう)	bureaucrat	monitoring	relief	tariff 
監視 (かんし)	monitoring	relief	tariff 	planning
緩和 (かんわ)	relief	tariff 	planning	association
関税 (かんぜい)	tariff 	planning	association	arrangement
企画 (きかく)	planning	association	arrangement	karma 
協会 (きょうかい)	association	arrangement	karma 	urgency
協定 (きょうてい)	arrangement	karma 	urgency	settlement of accounts
業 (ごう)	karma 	urgency	settlement of accounts	decision of a contest
緊急 (きんきゅう)	urgency	settlement of accounts	decision of a contest	political power
決算 (けっさん)	settlement of accounts	decision of a contest	political power	employment 
決勝 (けっしょう)	decision of a contest	political power	employment 	public performance 
権力 (けんりょく)	political power	employment 	public performance 	opening to the public
雇用 (こよう)	employment 	public performance 	opening to the public	plan
公演 (こうえん)	public performance 	opening to the public	plan	act
公開 (こうかい)	opening to the public	plan	act	purchase
構想 (こうそう)	plan	act	purchase	national defence
行為 (こうい)	act	purchase	national defence	being in the black
購入 (こうにゅう)	purchase	national defence	being in the black	use
国防 (こくぼう)	national defence	being in the black	use	tactics
黒字 (くろじ)	being in the black	use	tactics	death
採用 (さいよう)	use	tactics	death	property
作戦 (さくせん)	tactics	death	property	medical treatment
死 (し)	death	property	medical treatment	self
資産 (しさん)	property	medical treatment	self	self-confidence
治療 (ちりょう)	medical treatment	self	self-confidence	true state
自己 (じこ)	self	self-confidence	true state	sponsorship 
自信 (じしん)	self-confidence	true state	sponsorship 	news coverage
実態 (じったい)	true state	sponsorship 	news coverage	disposal
